name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Leo Saldanha,,IND,hi,Bangalore,@leosaldanha,not_sure,,Environment Support Group,activist,Environmental justice advocate in Bangalore
Vandana Shiva,,IND,hi,Bangalore,@drvandanashiva,@drvandanashiva,,Navdanya,activist,Renowned environmentalist and author
Suresh Heblikar,,IND,hi,Bangalore,@sureshheblikar,not_sure,,Eco-Watch,activist,Prominent environmental activist and filmmaker
Kiran Kumar,,IND,hi,Bangalore,@kirankumar,not_sure,,Youth for Parivarthan,activist,Leads youth-driven environmental initiatives
Bhargavi Rao,,IND,hi,Bangalore,@bhargavi_rao,not_sure,,Environment Support Group,activist,Focuses on environmental governance and policy
Srinivas Alavilli,,IND,hi,Bangalore,@srinivasalavilli,not_sure,,Citizens for Bengaluru,activist,Advocates for sustainable urban development
Nandini Velho,,IND,hi,Bangalore,@nandini_velho,not_sure,,Wildlife Conservationist,activist,Works on wildlife conservation and policy
Harini Nagendra,,IND,hi,Bangalore,@harini_nagendra,not_sure,,Azim Premji University,activist,Researches urban ecology and sustainability
Vijay Nishanth,,IND,hi,Bangalore,@vijaynishanth,not_sure,,Project Vruksha,activist,Known as the 'Tree Doctor' of Bangalore
Sandeep Anirudhan,,IND,hi,Bangalore,@sandeepanirudhan,not_sure,,Citizens Agenda for Bengaluru,activist,Focuses on civic engagement and sustainability
Priya Pillai,,IND,hi,Bangalore,@priyapillai,not_sure,,Greenpeace India,activist,Climate justice and policy advocate
Rohit Prasad,,IND,hi,Bangalore,@rohitprasad,not_sure,,Youth for Climate India,activist,Youth climate activist and organizer
Sowmya Reddy,,IND,hi,Bangalore,@sowmyareddy,not_sure,,MLA and environmentalist,activist,Politician with focus on environment
Pallavi Raj,,IND,hi,Bangalore,@pallaviraj,not_sure,,Fridays for Future India,activist,Youth climate movement leader
Vinay Sreenivasa,,IND,hi,Bangalore,@vinaysreenivasa,not_sure,,Alternative Law Forum,activist,Works on social justice and environment
Rashmi Bharti,,IND,hi,Bangalore,@rashmibharti,not_sure,,Avani,activist,Focuses on sustainable development and crafts
