name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Ma Jun,,CHN,zh,Beijing,@majun_china,not_sure,,Institute of Public & Environmental Affairs,activist,Environmental activist and NGO leader
Liang Congjie,,CHN,zh,Beijing,@liangcongjie,not_sure,,Friends of Nature,activist,Founder of China's first environmental NGO
Zhou Jinfeng,,CHN,zh,Beijing,@zhoujinfeng,not_sure,,China Biodiversity Conservation and Green Development Foundation,activist,Prominent environmental advocate
Wang Yongchen,,CHN,zh,Beijing,@wangyongchen,not_sure,,Green Earth Volunteers,activist,Environmental journalist and activist
Yang Xin,,CHN,zh,Beijing,@yangxin,not_sure,,Green River,activist,Focuses on Yangtze River protection
Zhang Boju,,CHN,zh,Beijing,@zhangboju,not_sure,,Friends of Nature,activist,Environmental policy advocate
Liu Jianqiang,,CHN,zh,Beijing,@liujianqiang,not_sure,,Environmental Journalist,activist,Writes on environmental issues
Yu Xiaogang,,CHN,zh,Beijing,@yuxiaogang,not_sure,,Green Watershed,activist,Water conservation advocate
Zhou Xiang,,CHN,zh,Beijing,@zhoux,not_sure,,Beijing Energy Network,activist,Promotes sustainable energy solutions
Li Yifei,,CHN,zh,Beijing,@liyifei,not_sure,,Environmental Sociologist,activist,Researches environmental governance
Liu Hongqiao,,CHN,zh,Beijing,@liuhongqiao,not_sure,,Environmental Journalist,activist,Covers climate and environmental issues
Tang Xiyang,,CHN,zh,Beijing,@tangxiyang,not_sure,,Green Camp,activist,Pioneer in environmental education
Zhang Jingjing,,CHN,zh,Beijing,@zhangjingjing,not_sure,,Environmental Lawyer,activist,Advocates for environmental justice
Wang Canfa,,CHN,zh,Beijing,@wangcanfa,not_sure,,Center for Legal Assistance to Pollution Victims,activist,Environmental law expert
Li Bo,,CHN,zh,Beijing,@libo,not_sure,,Friends of Nature,activist,Focuses on environmental policy
Zhou Weishan,,CHN,zh,Beijing,@zhouweishan,not_sure,,Beijing Environmental Protection Foundation,activist,Leads environmental protection initiatives
Chen Jining,,CHN,zh,Beijing,@chenjining,not_sure,,Environmental Scientist,activist,Former Minister of Environmental Protection
Pan Yue,,CHN,zh,Beijing,@panyue,not_sure,,Environmental Policy Maker,activist,Advocates for sustainable development
Liu Shuang,,CHN,zh,Beijing,@liushuang,not_sure,,Energy Foundation China,activist,Focuses on energy policy and climate change
Zhang Shiqiu,,CHN,zh,Beijing,@zhangshiqiu,not_sure,,Environmental Economist,activist,Researches environmental economics
Wang Xiaojun,,CHN,zh,Beijing,@wangxiaojun,not_sure,,Beijing Green Foundation,activist,Promotes urban greening projects
Sun Xiaohua,,CHN,zh,Beijing,@sunxiaohua,not_sure,,Environmental Journalist,activist,Covers environmental news and policies
Gao Jixi,,CHN,zh,Beijing,@gaojixi,not_sure,,Chinese Academy of Sciences,activist,Researches biodiversity conservation
Liu Jian,,CHN,zh,Beijing,@liujian,not_sure,,UN Environment Programme,activist,Focuses on global environmental issues
Zhao Zhong,,CHN,zh,Beijing,@zhaozhong,not_sure,,Green Camel Bell,activist,Environmental protection in western China
Huang Ming,,CHN,zh,Beijing,@huangming,not_sure,,Solar Energy Entrepreneur,activist,Promotes renewable energy solutions
