name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Ma Jun,,CHN,zh,Beijing,@majun_environment,not_sure,,Institute of Public & Environmental Affairs,influencer,Prominent environmentalist and NGO leader
Liang Hong,,CHN,zh,Beijing,@lianghong_climate,not_sure,,Climate Reality Project China,influencer,Climate change advocate and speaker
Wang Jing,,CHN,zh,Beijing,@wangjing_peace,not_sure,,Beijing Peace Forum,influencer,Peace and conflict resolution expert
Zhang Wei,,CHN,zh,Beijing,@zhangwei_biodiversity,not_sure,,Beijing Biodiversity Conservation Center,influencer,Leads city biodiversity NGO
Chen Li,,CHN,zh,Beijing,@chenli_geopolitics,not_sure,,Geopolitics Institute of China,influencer,Geopolitical analyst and commentator
Liu Fang,,CHN,zh,Beijing,@liufang_nature,not_sure,,Nature Conservation Society,influencer,Nature conservation advocate
Sun Qiang,,CHN,zh,Beijing,@sunqiang_climate,not_sure,,Greenpeace East Asia,influencer,Climate action leader in Beijing
Zhao Min,,CHN,zh,Beijing,@zhaomin_peace,not_sure,,Peace and Development Foundation,influencer,Promotes peace initiatives in Beijing
Yang Hua,,CHN,zh,Beijing,@yanghua_environment,not_sure,,Environmental Protection Association,influencer,Environmental protection advocate
Gao Lei,,CHN,zh,Beijing,@gaolei_climate,not_sure,,Climate Action Network China,influencer,Climate network coordinator in Beijing
Xu Lin,,CHN,zh,Beijing,@xulin_biodiversity,not_sure,,Wildlife Conservation Society China,influencer,Wildlife conservation expert
Zheng Yi,,CHN,zh,Beijing,@zhengyi_peace,not_sure,,International Peace Institute,influencer,Peace and diplomacy advocate
Huang Mei,,CHN,zh,Beijing,@huangmei_nature,not_sure,,Nature Watch China,influencer,Nature and wildlife advocate
Fang Yu,,CHN,zh,Beijing,@fangyu_climate,not_sure,,Climate Change Research Center,influencer,Climate researcher and influencer
Luo Ping,,CHN,zh,Beijing,@luoping_geopolitics,not_sure,,Center for Geopolitical Studies,influencer,Geopolitical expert and analyst
Deng Hui,,CHN,zh,Beijing,@denghui_environment,not_sure,,Beijing Environmental Group,influencer,Environmental policy advocate
Qin Rong,,CHN,zh,Beijing,@qinrong_climate,not_sure,,China Climate Action Network,influencer,Climate action influencer
Yuan Fei,,CHN,zh,Beijing,@yuanfei_biodiversity,not_sure,,Biodiversity Research Institute,influencer,Biodiversity researcher and advocate
Shen Yan,,CHN,zh,Beijing,@shenyang_peace,not_sure,,Peace Studies Center,influencer,Peace studies expert
Jiang Nan,,CHN,zh,Beijing,@jiangnan_nature,not_sure,,Nature Conservation Alliance,influencer,Nature conservation leader
Zhou Rui,,CHN,zh,Beijing,@zhourui_climate,not_sure,,Climate Policy Institute,influencer,Climate policy influencer
Tang Wei,,CHN,zh,Beijing,@tangwei_geopolitics,not_sure,,Geopolitical Strategy Group,influencer,Geopolitical strategist
Liao Min,,CHN,zh,Beijing,@liaomin_environment,not_sure,,Environmental Advocacy Network,influencer,Environmental advocacy leader
He Fang,,CHN,zh,Beijing,@hefang_climate,not_sure,,Climate Solutions China,influencer,Climate solutions advocate
Zhu Ling,,CHN,zh,Beijing,@zhuling_biodiversity,not_sure,,Biodiversity Protection Group,influencer,Biodiversity protection advocate
Peng Yu,,CHN,zh,Beijing,@pengyu_peace,not_sure,,Peace and Harmony Foundation,influencer,Peace and harmony promoter
Cai Wen,,CHN,zh,Beijing,@caiwen_nature,not_sure,,Nature Protection Society,influencer,Nature protection advocate
Xie Jun,,CHN,zh,Beijing,@xiejun_climate,not_sure,,Climate Advocacy Group,influencer,Climate advocacy leader
Yin Hao,,CHN,zh,Beijing,@yinhao_geopolitics,not_sure,,Geopolitical Affairs Institute,influencer,Geopolitical affairs expert
Guo Li,,CHN,zh,Beijing,@guoli_environment,not_sure,,Environmental Awareness Initiative,influencer,Environmental awareness advocate
Zou Ming,,CHN,zh,Beijing,@zouming_climate,not_sure,,Climate Change Alliance,influencer,Climate change influencer
Liu Yan,,CHN,zh,Beijing,@liuyan_biodiversity,not_sure,,Biodiversity Initiative,influencer,Biodiversity initiative leader
Wu Feng,,CHN,zh,Beijing,@wufeng_peace,not_sure,,Peace Promotion Group,influencer,Peace promotion advocate
Zhang Ming,,CHN,zh,Beijing,@zhangming_nature,not_sure,,Nature Advocacy Network,influencer,Nature advocacy leader
Liang Chen,,CHN,zh,Beijing,@liangchen_climate,not_sure,,Climate Awareness Group,influencer,Climate awareness influencer
