name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Liu Xin,,CHN,zh,Beijing,@liuxin,not_sure,,CGTN,journalist,Hosts geopolitics show on CGTN
Hu Xijin,,CHN,zh,Beijing,@huxijin,not_sure,,Global Times,journalist,Influential voice on international affairs
Zhang Yue,,CHN,zh,Beijing,@zhangyue,not_sure,,China Daily,journalist,Covers climate change issues
Wang Yan,,CHN,zh,Beijing,@wangyan,not_sure,,Beijing Review,journalist,Focuses on environmental policies
Li Ming,,CHN,zh,Beijing,@liming,not_sure,,Xinhua News Agency,journalist,Reports on biodiversity and conservation
Chen Wei,,CHN,zh,Beijing,@chenwei,not_sure,,People's Daily,journalist,Covers peace and conflict topics
Zhao Ling,,CHN,zh,Beijing,@zhaoling,not_sure,,China Environment News,journalist,Writes on environmental protection
Sun Li,,CHN,zh,Beijing,@sunli,not_sure,,The Paper,journalist,Focuses on climate and energy
Gao Feng,,CHN,zh,Beijing,@gaofeng,not_sure,,China Radio International,journalist,Covers international relations
Yang Jie,,CHN,zh,Beijing,@yangjie,not_sure,,Beijing Youth Daily,journalist,Reports on urban environmental issues
Li Hua,,CHN,zh,Beijing,@lihua,not_sure,,China News Service,journalist,Covers geopolitical developments
Zhou Wei,,CHN,zh,Beijing,@zhouwei,not_sure,,21st Century Business Herald,journalist,Writes on climate economics
Fang Fang,,CHN,zh,Beijing,@fangfang,not_sure,,Southern Weekly,journalist,Focuses on environmental justice
Yin Li,,CHN,zh,Beijing,@yinli,not_sure,,Phoenix TV,journalist,Covers peace and diplomacy
Deng Lin,,CHN,zh,Beijing,@denglin,not_sure,,China Youth Daily,journalist,Reports on youth and climate action
Qin Yu,,CHN,zh,Beijing,@qinyu,not_sure,,Economic Observer,journalist,Covers sustainable development
Liu Fang,,CHN,zh,Beijing,@liufang,not_sure,,Caixin Media,journalist,Focuses on environmental policy
Zhang Wei,,CHN,zh,Beijing,@zhangwei,not_sure,,China Daily,journalist,Covers international climate agreements
Wang Li,,CHN,zh,Beijing,@wangli,not_sure,,Beijing News,journalist,Reports on urban sustainability
Chen Li,,CHN,zh,Beijing,@chenli,not_sure,,China Economic Times,journalist,Focuses on green technology
Zhao Ming,,CHN,zh,Beijing,@zhaoming,not_sure,,China Business News,journalist,Covers economic impacts of climate change
Li Wei,,CHN,zh,Beijing,@liwei,not_sure,,China Environment News,journalist,Writes on conservation efforts
Sun Yue,,CHN,zh,Beijing,@sunyue,not_sure,,China Daily,journalist,Focuses on international environmental policy
Gao Li,,CHN,zh,Beijing,@gaoli,not_sure,,Xinhua News Agency,journalist,Reports on global climate initiatives
Yang Ming,,CHN,zh,Beijing,@yangming,not_sure,,People's Daily,journalist,Covers peace and conflict resolution
Zhou Li,,CHN,zh,Beijing,@zhouli,not_sure,,Beijing Review,journalist,Writes on biodiversity conservation
Fang Wei,,CHN,zh,Beijing,@fangwei,not_sure,,The Paper,journalist,Focuses on climate policy
Yin Ming,,CHN,zh,Beijing,@yinming,not_sure,,China Radio International,journalist,Covers international diplomacy
Deng Wei,,CHN,zh,Beijing,@dengwei,not_sure,,Beijing Youth Daily,journalist,Reports on environmental activism
Qin Ming,,CHN,zh,Beijing,@qinming,not_sure,,China News Service,journalist,Covers geopolitical shifts
Liu Wei,,CHN,zh,Beijing,@liuwei,not_sure,,21st Century Business Herald,journalist,Writes on climate finance
Zhang Li,,CHN,zh,Beijing,@zhangli,not_sure,,Southern Weekly,journalist,Focuses on environmental law
Wang Ming,,CHN,zh,Beijing,@wangming,not_sure,,Phoenix TV,journalist,Covers peace negotiations
Chen Ming,,CHN,zh,Beijing,@chenming,not_sure,,China Youth Daily,journalist,Reports on youth climate initiatives
Zhao Wei,,CHN,zh,Beijing,@zhaowei,not_sure,,Economic Observer,journalist,Covers sustainable business practices
Zhang Ming,,CHN,zh,Beijing,@zhangming,not_sure,,China Daily,journalist,Covers climate change conferences
Wang Wei,,CHN,zh,Beijing,@wangwei,not_sure,,Beijing News,journalist,Reports on urban green spaces
Zhao Li,,CHN,zh,Beijing,@zhaoli,not_sure,,China Business News,journalist,Covers climate policy impacts
Li Yue,,CHN,zh,Beijing,@liyue,not_sure,,China Environment News,journalist,Writes on wildlife protection
