name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Luisa Neubauer,,DEU,de,Berlin,@luisaneubauer,@Luisamneubauer,,Fridays for Future,activist,Prominent climate activist in Germany
Carola Rackete,,DEU,de,Berlin,@carola.rackete,@CaroRackete,,,activist,Known for sea rescue and climate activism
Annika Kruse,,DEU,de,Berlin,@annika_kruse,not_sure,,Ende Gelände,activist,Active in climate justice movements
Hendrik Sander,,DEU,de,Berlin,@hendrik_sander,not_sure,,Rising Tide,activist,Focuses on climate and social justice
Kathrin Henneberger,,DEU,de,Berlin,@kathrinhenneberger,@kathrinhenneber,,Climate Justice Network,activist,"Green party member, climate activist"
Tadzio Müller,,DEU,de,Berlin,@tadzio_mueller,not_sure,,Ende Gelände,activist,Climate justice and anti-coal activist
Pauline Brünger,,DEU,de,Berlin,@paulinebruenger,not_sure,,Fridays for Future,activist,Youth climate activist
Hannah Lübbert,,DEU,de,Berlin,@hannah.luebbert,not_sure,,Extinction Rebellion,activist,Focus on biodiversity and climate
Nina Treu,,DEU,de,Berlin,@nina_treu,not_sure,,Konzeptwerk Neue Ökonomie,activist,Works on sustainable economy models
Jörg Staude,,DEU,de,Berlin,@joerg_staude,not_sure,,Klimareporter,activist,Journalist and climate activist
Lea Dohm,,DEU,de,Berlin,@lea_dohm,not_sure,,Psychologists for Future,activist,Psychologist focusing on climate action
Michael Müller,,DEU,de,Berlin,@michael_mueller,not_sure,,NaturFreunde,activist,Environmental and social justice advocate
Clara Mayer,,DEU,de,Berlin,@clara_mayer,not_sure,,Fridays for Future,activist,Youth climate activist
Kai Niebert,,DEU,de,Berlin,@kai_niebert,not_sure,,Deutscher Naturschutzring,activist,Environmental protection advocate
Antje Grothus,,DEU,de,Berlin,@antje_grothus,not_sure,,BUND,activist,Focus on coal phase-out and climate
Maja Göpel,,DEU,de,Berlin,@maja.goepel,not_sure,,Scientists for Future,activist,Sustainability scientist and author
Sebastian Sladek,,DEU,de,Berlin,@sebastian_sladek,not_sure,,EWS Schönau,activist,Renewable energy advocate
Sven Giegold,,DEU,de,Berlin,@sven_giegold,@sven_giegold,,Green Party,activist,MEP focusing on climate policy
Ingrid Nestle,,DEU,de,Berlin,@ingrid_nestle,not_sure,,Green Party,activist,Energy policy and climate action
Lisa Göldner,,DEU,de,Berlin,@lisa.goeldner,not_sure,,Greenpeace,activist,Climate campaigner at Greenpeace
Jutta Sundermann,,DEU,de,Berlin,@jutta_sundermann,not_sure,,Attac,activist,Focus on social justice and climate
Felix Ekardt,,DEU,de,Berlin,@felix_ekardt,not_sure,,Research Unit Sustainability,activist,Researcher and climate policy advocate
Miriam Strunge,,DEU,de,Berlin,@miriam_strunge,not_sure,,Linke,activist,Focus on social and climate justice
Steffen Kühne,,DEU,de,Berlin,@steffen_kuehne,not_sure,,Greenpeace,activist,Climate and energy campaigner
Julia Verlinden,,DEU,de,Berlin,@julia_verlinden,not_sure,,Green Party,activist,Energy policy and climate action
Christoph Bautz,,DEU,de,Berlin,@christoph_bautz,not_sure,,Campact,activist,Campaigns for climate and democracy
Nina Stahr,,DEU,de,Berlin,@nina_stahr,not_sure,,Green Party,activist,Focus on education and climate
Svenja Borgschulte,,DEU,de,Berlin,@svenja_borgschulte,not_sure,,Fridays for Future,activist,Youth climate activist
Janine O'Keeffe,,DEU,de,Berlin,@janine.okeeffe,not_sure,,Fridays for Future,activist,Climate activist and organizer
Helena Marschall,,DEU,de,Berlin,@helena_marschall,not_sure,,Fridays for Future,activist,Youth climate activist
Jörg Alt,,DEU,de,Berlin,@joerg_alt,not_sure,,Scientists for Future,activist,Researcher and climate advocate
Claudia Kemfert,,DEU,de,Berlin,@claudia_kemfert,@CKemfert,,DIW Berlin,activist,Energy economist and climate expert
Volker Quaschning,,DEU,de,Berlin,@volker_quaschning,@VQuaschning,,Scientists for Future,activist,Renewable energy and climate policy
Sabine Minninger,,DEU,de,Berlin,@sabine_minninger,not_sure,,Bread for the World,activist,Climate policy and development
Katrin Göring-Eckardt,,DEU,de,Berlin,@katrin.goering.eckardt,@GoeringEckardt,,Green Party,activist,Focus on climate and social policy
Oliver Krischer,,DEU,de,Berlin,@oliver_krischer,@Oliver_Krischer,,Green Party,activist,Energy policy and climate action
Annalena Baerbock,,DEU,de,Berlin,@abaerbock,@ABaerbock,,Green Party,activist,Foreign policy and climate action
Robert Habeck,,DEU,de,Berlin,@robert.habeck,@RobertHabeck,,Green Party,activist,Economy and climate policy
Lisa Badum,,DEU,de,Berlin,@lisa_badum,@LisaBadum,,Green Party,activist,Climate policy and energy transition
Renate Künast,,DEU,de,Berlin,@renate_kuenast,@RenateKuenast,,Green Party,activist,Focus on agriculture and climate
Anton Hofreiter,,DEU,de,Berlin,@anton_hofreiter,@tonihofreiter,,Green Party,activist,Biodiversity and climate policy
Sven Lehmann,,DEU,de,Berlin,@svenlehmann,@svenlehmann,,Green Party,activist,Social justice and climate action
Katrin Langensiepen,,DEU,de,Berlin,@katrin_langensiepen,@k_langen,,Green Party,activist,Disability rights and climate
Terry Reintke,,DEU,de,Berlin,@terryreintke,@TerryReintke,,Green Party,activist,LGBTQ+ rights and climate
Rasmus Andresen,,DEU,de,Berlin,@rasmus_andresen,@RasmusAndresen,,Green Party,activist,Digital policy and climate action
Anna Cavazzini,,DEU,de,Berlin,@anna_cavazzini,@anna_cavazzini,,Green Party,activist,Trade policy and climate action
Michael Bloss,,DEU,de,Berlin,@michaelbloss,@micha_bloss,,Green Party,activist,Climate policy and energy transition
Jutta Paulus,,DEU,de,Berlin,@jutta_paulus,@JuttaPaulusRLP,,Green Party,activist,Biodiversity and climate policy
Niklas Wagener,,DEU,de,Berlin,@niklas_wagener,not_sure,,Green Party,activist,Youth and climate action
