name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Fridays For Future Bogotá,,COL,es,Bogota,@fridaysforfuturebogota,not_sure,,Fridays For Future,activist,Youth climate movement in Bogotá
Red Nacional Jóvenes de Ambiente,,COL,es,Bogota,@redjovenesambiente,not_sure,,Environmental Youth Network,activist,National youth environmental network
Fundación Natura Colombia,,COL,es,Bogota,@fundacionnatura,not_sure,,Fundación Natura,activist,Focus on biodiversity conservation
CEMPRE Colombia,,COL,es,Bogota,@cemprecolombia,not_sure,,CEMPRE,activist,Promotes recycling and waste management
Dejusticia,,COL,es,Bogota,@dejusticia,@Dejusticia,,Dejusticia,activist,Focus on social justice and environment
Tropenbos Colombia,,COL,es,Bogota,@tropenboscolombia,not_sure,,Tropenbos,activist,Conservation and sustainable development
Fundación Humedales Bogotá,,COL,es,Bogota,@humedalesbogota,not_sure,,Fundación Humedales,activist,Protects Bogotá's wetlands
Colombia Diversa,,COL,es,Bogota,@colombiadiversa,@ColombiaDiversa,,Colombia Diversa,activist,LGBTQ+ rights and environmental justice
Movimiento Ambientalista Colombiano,,COL,es,Bogota,@movimientoambientalista,not_sure,,MAC,activist,National environmental movement
Fundación Cerros de Bogotá,,COL,es,Bogota,@cerrosdebogota,not_sure,,Fundación Cerros,activist,Protects Bogotá's hills and ecosystems
Fundación Gaia Amazonas,,COL,es,Bogota,@gaiaamazonas,@GaiaAmazonas,,Gaia Amazonas,activist,Focus on Amazon conservation
Asociación Ambiente y Sociedad,,COL,es,Bogota,@ambientesociedad,not_sure,,Ambiente y Sociedad,activist,Environmental governance and policy
Fundación ProAves,,COL,es,Bogota,@proaves,@ProAves,,ProAves,activist,Bird conservation in Colombia
Fundación Al Verde Vivo,,COL,es,Bogota,@alverdevivo,not_sure,,Al Verde Vivo,activist,Urban environmental education
Fundación Ecológica Territorios Vivos,,COL,es,Bogota,@territoriosvivos,not_sure,,Territorios Vivos,activist,Community-based conservation
Fundación Omacha,,COL,es,Bogota,@fundacionomacha,@FundOmacha,,Omacha,activist,Aquatic ecosystems and wildlife
Fundación Orinoquia,,COL,es,Bogota,@fundacionorinoquia,not_sure,,Orinoquia,activist,Conservation of Orinoco region
Fundación Caminos de Identidad,,COL,es,Bogota,@caminosdeidentidad,not_sure,,Caminos de Identidad,activist,Indigenous rights and environment
Fundación Alma,,COL,es,Bogota,@fundacionalma,not_sure,,Alma,activist,Marine conservation and education
Fundación Biocolombia,,COL,es,Bogota,@biocolombia,not_sure,,Biocolombia,activist,Biodiversity conservation and research
