name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Sofía Diamante,,AIR,en,Buenos,@sofiadiamante,@sofidiamante,,La Nación,journalist,Covers energy and climate issues
Martín Dinatale,,AIR,en,Buenos,@mdinatale,@mdinatale,,El Cronista,journalist,Focus on geopolitics and international affairs
Valeria Román,,AIR,en,Buenos,@valeriaroman,@valeriaroman,,Clarín,journalist,"Science journalist, covers climate change"
Ezequiel Fernández Moores,,AIR,en,Buenos,@ezequielmoores,@EzequielMoores,,La Nación,journalist,Writes on sports and social issues
Nicolás Wiñazki,,AIR,en,Buenos,@nicolaswinazki,@wwnicolas,,Clarín,journalist,"Investigative journalist, covers politics"
Silvia Naishtat,,AIR,en,Buenos,@silvia_naishtat,@silvia_naishtat,,Clarín,journalist,Economy and business journalist
Hugo Alconada Mon,,AIR,en,Buenos,@halconada,@halconada,,La Nación,journalist,"Investigative journalist, covers corruption"
María O'Donnell,,AIR,en,Buenos,@odonnellmaria,@odonnellmaria,,Radio Con Vos,journalist,Political analyst and radio host
Carlos Pagni,,AIR,en,Buenos,@carlospagni,@carlos_pagni,,La Nación,journalist,Political columnist and analyst
Florencia Etcheves,,AIR,en,Buenos,@fetcheves,@fetcheves,,Author and Journalist,journalist,Writes on social issues and crime
Joaquín Morales Solá,,AIR,en,Buenos,@jmorales_sola,@jmorales_sola,,La Nación,journalist,Political columnist
Reynaldo Sietecase,,AIR,en,Buenos,@reysietecase,@reysietecase,,Radio Con Vos,journalist,Radio host and columnist
Marcelo Longobardi,,AIR,en,Buenos,@mlongobardi,@mlongobardi,,CNN Radio,journalist,Political commentator
Ernesto Tenembaum,,AIR,en,Buenos,@ertenembaum,@ertenembaum,,Radio Con Vos,journalist,Political analyst and radio host
Jorge Lanata,,AIR,en,Buenos,@lanatajorge,@lanatajorge,,Radio Mitre,journalist,Investigative journalist and TV host
Luis Novaresio,,AIR,en,Buenos,@luisnovaresio,@luisnovaresio,,Radio La Red,journalist,Radio host and columnist
Romina Manguel,,AIR,en,Buenos,@rominamanguel,@rominamanguel,,A24,journalist,Political journalist and TV host
Nelson Castro,,AIR,en,Buenos,@nelsoncastro,not_sure,,TN,journalist,Political analyst and TV host
Eduardo Feinmann,,AIR,en,Buenos,@edufeiok,@edufeiok,,Radio Mitre,journalist,Political commentator
Cristina Pérez,,AIR,en,Buenos,@cris_noticias,@Cris_noticias,,Telefe Noticias,journalist,News anchor and journalist
Gustavo Sylvestre,,AIR,en,Buenos,@gatosylvestre,@Gatosylvestre,,Radio 10,journalist,Political commentator and radio host
Jorge Fontevecchia,,AIR,en,Buenos,@jorgefontevecchia,not_sure,,Perfil,journalist,Media executive and columnist
María Laura Santillán,,AIR,en,Buenos,@marialauratv,not_sure,,CNN Radio,journalist,News anchor and journalist
Alejandro Bercovich,,AIR,en,Buenos,@aleberco,@aleberco,,Radio Con Vos,journalist,Economics journalist and radio host
Daniel Malnatti,,AIR,en,Buenos,@danielmalnatti,not_sure,,TN,journalist,TV journalist and reporter
Marcelo Zlotogwiazda,,AIR,en,Buenos,@zlotogwiazda,not_sure,,Radio Con Vos,journalist,Economics journalist and radio host
Luis Majul,,AIR,en,Buenos,@majulluis,@majulluis,,La Cornisa,journalist,Investigative journalist and TV host
María Julia Oliván,,AIR,en,Buenos,@majuliajulian,not_sure,,Radio Nacional,journalist,Political journalist and radio host
Rodolfo Barili,,AIR,en,Buenos,@barilirodolfo,@barilirodolfo,,Telefe Noticias,journalist,News anchor and journalist
Luciana Geuna,,AIR,en,Buenos,@lucianageuna,@lucianageuna,,TN,journalist,Investigative journalist and TV host
Nicolás Artusi,,AIR,en,Buenos,@sommelierdecafe,not_sure,,Radio Metro,journalist,Cultural journalist and radio host
Diego Iglesias,,AIR,en,Buenos,@iglesiasdiego,not_sure,,C5N,journalist,Political journalist and TV host
Mónica Gutiérrez,,AIR,en,Buenos,@monicagutierrezok,not_sure,,Radio Nacional,journalist,News anchor and journalist
Germán Paoloski,,AIR,en,Buenos,@germanpaoloski,@germanpaoloski,,Telefe,journalist,TV host and journalist
Sergio Lapegüe,,AIR,en,Buenos,@sergiolapegue,@sergiolapegue,,TN,journalist,News anchor and journalist
Marcelo Bonelli,,AIR,en,Buenos,@bonellimarcelo,not_sure,,TN,journalist,Political journalist and TV host
María Belén Aramburu,,AIR,en,Buenos,@belu_aramburu,not_sure,,A24,journalist,News anchor and journalist
Eduardo van der Kooy,,AIR,en,Buenos,@evanderkooy,not_sure,,Clarín,journalist,Political columnist
Claudio Rígoli,,AIR,en,Buenos,@claudiorigoli,not_sure,,C5N,journalist,News anchor and journalist
