name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Habiba Al Marashi,,ARE,en,Dubai,@habiba_al_marashi,not_sure,,Emirates Environmental Group,activist,Founder of Emirates Environmental Group
Razan Khalifa Al Mubarak,,ARE,en,Dubai,@razanalmubarak,not_sure,,International Union for Conservation of Nature,activist,"IUCN President, UAE environmental leader"
Mohammed Al Bowardi,,ARE,en,Dubai,@mohammed_albowardi,not_sure,,Environment Agency - Abu Dhabi,activist,Key figure in UAE environmental policy
Mariam bint Mohammed Saeed Hareb Almheiri,,ARE,en,Dubai,@mariambmhareb,not_sure,,UAE Minister of Climate Change and Environment,activist,UAE Minister for Climate Change
Dr. Thani bin Ahmed Al Zeyoudi,,ARE,en,Dubai,@thani_alzeyoudi,not_sure,,UAE Minister of State for Foreign Trade,activist,Former Minister of Climate Change
Ayesha Al Marzooqi,,ARE,en,Dubai,@ayesha_almarzooqi,not_sure,,Dubai Cares,activist,Advocate for education and sustainability
Ali Al Suwaidi,,ARE,en,Dubai,@ali_alsuwaidi,not_sure,,Emirates Marine Environmental Group,activist,Marine conservation leader
Nawal Al Hosany,,ARE,en,Dubai,@nawalalhosany,not_sure,,Masdar,activist,Sustainability advocate at Masdar
Dr. Shaikha Salem Al Dhaheri,,ARE,en,Dubai,@shaikha_aldhaheri,not_sure,,Environment Agency - Abu Dhabi,activist,Biodiversity conservation expert
Fatima Al Kaabi,,ARE,en,Dubai,@fatimaalkaabi,not_sure,,Youth Climate Activist,activist,Young climate activist in UAE
Khaled Al Huraimel,,ARE,en,Dubai,@khaled_alhuraimel,not_sure,,Bee'ah,activist,CEO of environmental management company
Dr. Saif Al Ghais,,ARE,en,Dubai,@dr_saif_alghais,not_sure,,Environment Protection and Development Authority,activist,Environmental protection leader
Reem Al Hashimy,,ARE,en,Dubai,@reemalhashimy,not_sure,,Expo 2020 Dubai,activist,Sustainability advocate at Expo 2020
Majid Al Suwaidi,,ARE,en,Dubai,@majid_alsuwaidi,not_sure,,UAE Climate Negotiator,activist,UAE climate negotiation leader
Dr. Eng. Mohammed Nasser Al Ahbabi,,ARE,en,Dubai,@mohammed_al_ahbabi,not_sure,,UAE Space Agency,activist,Space and environmental advocate
Hind Al Huwaidi,,ARE,en,Dubai,@hind_alhuwaidi,not_sure,,Emirates Nature-WWF,activist,Conservation leader at WWF UAE
Saeed Al Tayer,,ARE,en,Dubai,@saeed_altayer,not_sure,,Dubai Electricity and Water Authority,activist,Promotes renewable energy in Dubai
Dr. Nawal Al Hosany,,ARE,en,Dubai,@dr_nawalalhosany,not_sure,,Masdar,activist,Sustainability advocate at Masdar
Hussain Al Mahmoudi,,ARE,en,Dubai,@hussain_almahmoudi,not_sure,,Sharjah Research Technology and Innovation Park,activist,Innovation in sustainability
Dr. Lamya Fawwaz,,ARE,en,Dubai,@dr_lamyafawwaz,not_sure,,Masdar,activist,Sustainability and innovation leader
Dr. Abdulrahman Al Awar,,ARE,en,Dubai,@dr_abdulrahman_al_awar,not_sure,,UAE Ministry of Human Resources,activist,Advocate for sustainable labor practices
Dr. Mohamed Al Hammadi,,ARE,en,Dubai,@dr_mohamed_alhammadi,not_sure,,Emirates Nuclear Energy Corporation,activist,Nuclear energy and sustainability
Dr. Ali Rashid Al Nuaimi,,ARE,en,Dubai,@dr_alirashid_alnuaimi,not_sure,,Hedayah,activist,Counter-extremism and peace advocate
Dr. Nasser Saidi,,ARE,en,Dubai,@dr_nasser_saidi,not_sure,,Nasser Saidi & Associates,activist,Economic and environmental policy expert
Dr. Aisha Bin Bishr,,ARE,en,Dubai,@dr_aisha_bin_bishr,not_sure,,Smart Dubai,activist,Smart city and sustainability advocate
Dr. Thani Al Zeyoudi,,ARE,en,Dubai,@dr_thani_alzeyoudi,@ThaniAlZeyoudi,,UAE Minister of State for Foreign Trade,activist,Former Minister of Climate Change
Dr. Sultan Al Jaber,,ARE,en,Dubai,@dr_sultan_aljaber,@SultanAlJaber,,UAE Minister of Industry and Advanced Technology,activist,Energy and climate leader
Dr. Amal Al Qubaisi,,ARE,en,Dubai,@dr_amal_alqubaisi,not_sure,,Former President of the Federal National Council,activist,Advocate for peace and governance
Dr. Abdulla Al Mandous,,ARE,en,Dubai,@dr_abdulla_almandous,not_sure,,National Center of Meteorology,activist,Climate and weather expert
Dr. Mohammed Al Zarooni,,ARE,en,Dubai,@dr_mohammed_alzarooni,not_sure,,Dubai Silicon Oasis Authority,activist,Innovation and sustainability advocate
Dr. Saeed Al Hassani,,ARE,en,Dubai,@dr_saeed_alhassani,not_sure,,UAE Ministry of Education,activist,Education and sustainability leader
Dr. Ahmed Al Banna,,ARE,en,Dubai,@dr_ahmed_albanna,not_sure,,UAE Ambassador to India,activist,Diplomacy and international relations
Dr. Jamal Al Matrooshi,,ARE,en,Dubai,@dr_jamal_almatrooshi,not_sure,,Dubai Municipality,activist,Environmental management leader
Dr. Mohammed Al Hammadi,,ARE,en,Dubai,@dr_mohammed_alhammadi,not_sure,,Emirates Nuclear Energy Corporation,activist,Nuclear energy and sustainability
Mohammed Al Bowardi,,ARE,en,Dubai,@mohammed_al_bowardi,not_sure,,Environment Agency - Abu Dhabi,activist,Key figure in UAE environmental policy
Nawal Al Hosany,,ARE,en,Dubai,@nawal_alhosany,not_sure,,Masdar,activist,Advocate for renewable energy
