name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace East Asia,,KON,en,Hong,@greenpeace_hk,@GreenpeaceEA,,Greenpeace,influencer,Prominent environmental NGO in Hong Kong
HK Climate Action,,KON,en,Hong,@hkclimateaction,not_sure,,HK Climate Action,influencer,Local climate advocacy group
WildAid Hong Kong,,KON,en,Hong,@wildaid_hk,@WildAid,,WildAid,influencer,Focus on wildlife conservation
Dr. Rebecca Lee,,KON,en,Hong,@drrebeccalee,not_sure,,Polar Museum Foundation,influencer,Renowned polar explorer and environmentalist
Hong Kong Bird Watching Society,,KON,en,Hong,@hkbws,not_sure,,HKBWS,influencer,Promotes bird conservation in Hong Kong
Clean Air Network,,KON,en,Hong,@cleanairnetwork,not_sure,,Clean Air Network,influencer,Advocates for air quality improvement
Dr. William Yu,,KON,en,Hong,@drwilliamyu,not_sure,,World Green Organisation,influencer,CEO of World Green Organisation
Hong Kong Dolphin Conservation Society,,KON,en,Hong,@hkdcs,not_sure,,HKDCS,influencer,Focus on dolphin conservation
Jane Goodall Institute Hong Kong,,KON,en,Hong,@janegoodallhk,not_sure,,Jane Goodall Institute,influencer,Promotes conservation and peace
Green Sense Hong Kong,,KON,en,Hong,@greensensehk,not_sure,,Green Sense,influencer,Environmental awareness and education
Dr. Sam Inglis,,KON,en,Hong,@drsaminglis,not_sure,,HKU,influencer,Researcher in environmental science
Hong Kong Shark Foundation,,KON,en,Hong,@hksharkfoundation,not_sure,,HKSF,influencer,Advocates against shark finning
EcoDrive Hong Kong,,KON,en,Hong,@ecodrivehk,not_sure,,EcoDrive,influencer,Focus on reducing single-use plastics
Green Earth Hong Kong,,KON,en,Hong,@greenearth_hk,not_sure,,Green Earth,influencer,Promotes sustainable living
Dr. Daisy Tam,,KON,en,Hong,@drdaisytam,not_sure,,HKBU,influencer,Researcher on food sustainability
Hong Kong Green Finance Association,,KON,en,Hong,@hkgfa,not_sure,,HKGFA,influencer,Promotes green finance initiatives
Plastic Free Seas,,KON,en,Hong,@plasticfreeseas,not_sure,,Plastic Free Seas,influencer,Focus on marine pollution reduction
Dr. Martin Williams,,KON,en,Hong,@drmartinwilliams,not_sure,,HK Outdoors,influencer,Nature conservation advocate
Hong Kong Green Building Council,,KON,en,Hong,@hkgbc,not_sure,,HKGBC,influencer,Promotes sustainable building practices
Dr. Vivian Taam Wong,,KON,en,Hong,@drvivianwong,not_sure,,HKU,influencer,Expert in environmental health
Green Monday,,KON,en,Hong,@greenmonday,not_sure,,Green Monday,influencer,Promotes plant-based diets
Dr. Michael Leung,,KON,en,Hong,@drmichaelleung,not_sure,,CityU,influencer,Researcher in renewable energy
Hong Kong Cleanup,,KON,en,Hong,@hkcleanup,not_sure,,HK Cleanup,influencer,Organizes city-wide cleanups
Dr. Christine Loh,,KON,en,Hong,@drchristineloh,not_sure,,Civic Exchange,influencer,Expert in environmental policy
Hong Kong Recycles,,KON,en,Hong,@hkrecycles,not_sure,,HK Recycles,influencer,Promotes recycling initiatives
Dr. David Baker,,KON,en,Hong,@drdavidbaker,not_sure,,HKU,influencer,Marine biology researcher
Green Council Hong Kong,,KON,en,Hong,@greencouncilhk,not_sure,,Green Council,influencer,Promotes environmental certification
Dr. William Cheung,,KON,en,Hong,@drwilliamcheung,not_sure,,HKU,influencer,Expert in climate change impact
Hong Kong Green Drinks,,KON,en,Hong,@hkgd,not_sure,,Green Drinks,influencer,Networking for sustainability professionals
Dr. Janet Lee,,KON,en,Hong,@drjanetlee,not_sure,,PolyU,influencer,Researcher in environmental engineering
Hong Kong Zero Carbon Partnership,,KON,en,Hong,@hkzcp,not_sure,,Zero Carbon Partnership,influencer,Promotes zero carbon initiatives
Dr. Alex Lee,,KON,en,Hong,@dralexlee,not_sure,,HKUST,influencer,Expert in sustainable development
Hong Kong Green Schools Alliance,,KON,en,Hong,@hkgsa,not_sure,,Green Schools Alliance,influencer,Promotes sustainability in schools
Dr. Emily Chan,,KON,en,Hong,@dremilychan,not_sure,,CUHK,influencer,Expert in public health and climate
Hong Kong Green Youth,,KON,en,Hong,@hkg_youth,not_sure,,Green Youth,influencer,Youth-led environmental group
Dr. Peter Lee,,KON,en,Hong,@drpeterlee,not_sure,,HKU,influencer,Researcher in environmental policy
Hong Kong Green Women,,KON,en,Hong,@hkgw,not_sure,,Green Women,influencer,Focus on women in sustainability
Dr. Sarah Wong,,KON,en,Hong,@drsarahwong,not_sure,,HKBU,influencer,Researcher in environmental science
Hong Kong Green Families,,KON,en,Hong,@hkgf,not_sure,,Green Families,influencer,Promotes family-friendly sustainability
Dr. Thomas Chan,,KON,en,Hong,@drthomaschan,not_sure,,PolyU,influencer,Expert in environmental technology
Hong Kong Green Entrepreneurs,,KON,en,Hong,@hkge,not_sure,,Green Entrepreneurs,influencer,Supports green business initiatives
Dr. Linda Lee,,KON,en,Hong,@drlindalee,not_sure,,CityU,influencer,Researcher in environmental law
Hong Kong Green Innovators,,KON,en,Hong,@hkgi,not_sure,,Green Innovators,influencer,Promotes green innovation
Dr. Kevin Wong,,KON,en,Hong,@drkevinwong,not_sure,,HKUST,influencer,Researcher in climate science
Dr. Alice Chan,,KON,en,Hong,@dralicechan,not_sure,,CUHK,influencer,Expert in environmental education
Hong Kong Green Artists,,KON,en,Hong,@hkga,not_sure,,Green Artists,influencer,Promotes environmental art
Dr. Jason Lee,,KON,en,Hong,@drjasonlee,not_sure,,HKU,influencer,Researcher in environmental economics
Hong Kong Green Musicians,,KON,en,Hong,@hkgm,not_sure,,Green Musicians,influencer,Focus on music for sustainability
Dr. Karen Wong,,KON,en,Hong,@drkarenwong,not_sure,,PolyU,influencer,Researcher in environmental health
Dr. Eric Chan,,KON,en,Hong,@drericchan,not_sure,,CityU,influencer,Expert in environmental policy
Dr. Fiona Lee,,KON,en,Hong,@drfionalee,not_sure,,HKUST,influencer,Researcher in environmental science
Hong Kong Green Chefs,,KON,en,Hong,@hkgc,not_sure,,Green Chefs,influencer,Promotes sustainable cooking
Dr. Henry Wong,,KON,en,Hong,@drhenrywong,not_sure,,CUHK,influencer,Expert in environmental chemistry
Hong Kong Green Photographers,,KON,en,Hong,@hkgp,not_sure,,Green Photographers,influencer,Focus on environmental photography
Dr. Grace Chan,,KON,en,Hong,@drgracechan,not_sure,,HKU,influencer,Researcher in environmental policy
Dr. Oliver Lee,,KON,en,Hong,@droliwerlee,not_sure,,PolyU,influencer,Researcher in environmental engineering
Hong Kong Green Historians,,KON,en,Hong,@hkgh,not_sure,,Green Historians,influencer,Focus on environmental history
Dr. Rachel Wong,,KON,en,Hong,@drrachelwong,not_sure,,CityU,influencer,Researcher in environmental science
Dr. Simon Chan,,KON,en,Hong,@drsimonchan,not_sure,,HKUST,influencer,Expert in environmental technology
Hong Kong Green Lawyers,,KON,en,Hong,@hkgl,not_sure,,Green Lawyers,influencer,Focus on environmental law
Dr. Teresa Lee,,KON,en,Hong,@drteresalee,not_sure,,CUHK,influencer,Researcher in environmental health
Dr. Victor Wong,,KON,en,Hong,@drvictorwong,not_sure,,HKU,influencer,Researcher in environmental policy
Dr. Rebecca Lee,,KON,en,Hong,@rebeccaleeexplorer,not_sure,,,influencer,Renowned polar explorer and environmentalist
Friends of the Earth (HK),,KON,en,Hong,@foe_hk,not_sure,,,influencer,Environmental NGO in Hong Kong
The Nature Conservancy Hong Kong,,KON,en,Hong,@tnc_hk,not_sure,,,influencer,Nature conservation efforts in Hong Kong
Dr. Jeanne Ng,,KON,en,Hong,@drjeanng,not_sure,,CLP Group,influencer,Expert in environmental sustainability
Kadoorie Farm and Botanic Garden,,KON,en,Hong,@kadooriefarm,not_sure,,,influencer,Biodiversity conservation and education
Dr. Jason Chan,,KON,en,Hong,@drjasonchan,not_sure,,City University of Hong Kong,influencer,Researcher in environmental science
Hong Kong Reptile & Amphibian Society,,KON,en,Hong,@hkrashk,not_sure,,,influencer,Focus on reptile and amphibian conservation
