name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Vivienne Chow,,KON,en,Hong,@viviennechow,@VivienneChow,,Freelance Journalist,journalist,"Covers arts and culture, geopolitics"
Jeffie Lam,,KON,en,Hong,@jeffielam,@jeffielam,,South China Morning Post,journalist,Reports on politics and society
Shirley Zhao,,KON,en,Hong,@shirleyzhao,@shirleyzhao,,Bloomberg,journalist,Focuses on Hong Kong politics and environment
Danny Lee,,KON,en,Hong,@dannylee,@dannystory,,South China Morning Post,journalist,Aviation and transport reporter
Nectar Gan,,KON,en,Hong,@nectargan,@Nectar_Gan,,CNN,journalist,Covers China politics and society
Zoe Low,,KON,en,Hong,@zoelow,not_sure,,South China Morning Post,journalist,Reports on Hong Kong politics and society
Elaine Yu,,KON,en,Hong,@elaineyu,@yuenok,,The Wall Street Journal,journalist,Covers Hong Kong and China news
Chris Lau,,KON,en,Hong,@chrislau,not_sure,,South China Morning Post,journalist,Focuses on Hong Kong politics and society
Joyce Ng,,KON,en,Hong,@joyceng,not_sure,,South China Morning Post,journalist,Covers environment and urban planning
Gary Cheung,,KON,en,Hong,@garycheung,not_sure,,South China Morning Post,journalist,"Political editor, covers Hong Kong politics"
Linda Lew,,KON,en,Hong,@lindalew,not_sure,,South China Morning Post,journalist,Covers Hong Kong and China news
Eddie Lee,,KON,en,Hong,@eddielee,not_sure,,Hong Kong Free Press,journalist,Focuses on Hong Kong politics and society
Rachel Cheung,,KON,en,Hong,@rachelcheung,not_sure,,Freelance Journalist,journalist,Covers culture and society
Karen Zhang,,KON,en,Hong,@karenzhang,not_sure,,South China Morning Post,journalist,Reports on Hong Kong politics and society
Mimi Lau,,KON,en,Hong,@mimilau,not_sure,,South China Morning Post,journalist,Covers China politics and society
Phoebe Zhang,,KON,en,Hong,@phoebezhang,not_sure,,South China Morning Post,journalist,Focuses on Hong Kong and China news
Clifford Lo,,KON,en,Hong,@cliffordlo,not_sure,,South China Morning Post,journalist,Covers crime and security
Natalie Wong,,KON,en,Hong,@nataliewong,not_sure,,South China Morning Post,journalist,Reports on Hong Kong politics and society
Tiffany May,,KON,en,Hong,@tiffanymay,@nytmay,,The New York Times,journalist,Covers Hong Kong and China news
Joyce Lau,,KON,en,Hong,@joycelau,not_sure,,Freelance Journalist,journalist,Covers culture and society
Denise Tsang,,KON,en,Hong,@denisetsang,not_sure,,South China Morning Post,journalist,Covers business and economy
Enoch Yiu,,KON,en,Hong,@enochyiu,not_sure,,South China Morning Post,journalist,Covers finance and economy
Kathy Zhang,,KON,en,Hong,@kathyzhang,not_sure,,South China Morning Post,journalist,Reports on Hong Kong politics and society
Yonden Lhatoo,,KON,en,Hong,@yondenlhatoo,not_sure,,South China Morning Post,journalist,"Chief News Editor, covers Hong Kong news"
Clara Chong,,KON,en,Hong,@clarachong,not_sure,,South China Morning Post,journalist,Covers Hong Kong and China news
Alice Yan,,KON,en,Hong,@aliceyan,not_sure,,South China Morning Post,journalist,Covers China news and society
Zoe Mak,,KON,en,Hong,@zoemak,not_sure,,South China Morning Post,journalist,Reports on Hong Kong politics and society
Kylie Knott,,KON,en,Hong,@kylieknott,not_sure,,South China Morning Post,journalist,Covers lifestyle and culture
Chan Ho-him,,KON,en,Hong,@chanhohim,not_sure,,South China Morning Post,journalist,"Education reporter, covers Hong Kong education"
Danny Mok,,KON,en,Hong,@dannymok,not_sure,,South China Morning Post,journalist,Covers Hong Kong news and society
Lilian Cheng,,KON,en,Hong,@liliancheng,not_sure,,South China Morning Post,journalist,Covers Hong Kong politics and society
Tammy Tam,,KON,en,Hong,@tammytam,not_sure,,South China Morning Post,journalist,"Editor-in-Chief, covers Hong Kong news"
Fiona Sun,,KON,en,Hong,@fionasun,not_sure,,South China Morning Post,journalist,Covers Hong Kong politics and society
Zoe Suen,,KON,en,Hong,@zoesuen,not_sure,,South China Morning Post,journalist,Covers fashion and culture
Rachel Yeo,,KON,en,Hong,@rachelyeo,not_sure,,South China Morning Post,journalist,Covers Hong Kong politics and society
Victor Ting,,KON,en,Hong,@victorting,not_sure,,South China Morning Post,journalist,Covers Hong Kong politics and society
Kathleen Magramo,,KON,en,Hong,@kathleenmagramo,not_sure,,South China Morning Post,journalist,Covers Hong Kong and China news
Jasmine Siu,,KON,en,Hong,@jasminesiu,not_sure,,South China Morning Post,journalist,Covers Hong Kong courts and crime
Tony Cheung,,KON,en,Hong,@tonycheung,not_sure,,South China Morning Post,journalist,Covers Hong Kong politics and society
Elaine Chan,,KON,en,Hong,@elainechanhk,not_sure,,South China Morning Post,journalist,Focuses on environmental issues
Chris Lau,,KON,en,Hong,@chrislaujourno,not_sure,,South China Morning Post,journalist,Covers Hong Kong and China news
Shirley Zhao,,KON,en,Hong,@shirleyzhaojournalist,not_sure,,Bloomberg,journalist,Reports on Hong Kong economy
Joyce Ng,,KON,en,Hong,@joycengscmp,not_sure,,South China Morning Post,journalist,Covers urban development
Danny Lee,,KON,en,Hong,@dannyleescmp,not_sure,,South China Morning Post,journalist,Aviation and transport reporter
Zoe Low,,KON,en,Hong,@zoelowjourno,not_sure,,South China Morning Post,journalist,Focuses on social issues
Gary Cheung,,KON,en,Hong,@garycheungscmp,not_sure,,South China Morning Post,journalist,Political reporter
Rachel Yeo,,KON,en,Hong,@rachelyeojournalist,not_sure,,South China Morning Post,journalist,Covers environmental policies
Cliff Buddle,,KON,en,Hong,@cliffbuddle,not_sure,,South China Morning Post,journalist,Editorial writer on legal issues
Linda Lew,,KON,en,Hong,@lindalewjourno,not_sure,,South China Morning Post,journalist,Covers health and environment
Tessa Chan,,KON,en,Hong,@tessachanjournalist,not_sure,,Freelance Journalist,journalist,Focuses on culture and society
Eddie Lee,,KON,en,Hong,@eddieleejourno,not_sure,,South China Morning Post,journalist,Covers technology and innovation
Karen Zhang,,KON,en,Hong,@karenzhangjourno,not_sure,,South China Morning Post,journalist,Reports on education and youth
Phoebe Zhang,,KON,en,Hong,@phoebezhangjourno,not_sure,,South China Morning Post,journalist,Covers Hong Kong-China relations
Mimi Lau,,KON,en,Hong,@mimilaujourno,not_sure,,South China Morning Post,journalist,Focuses on social issues
Enoch Yiu,,KON,en,Hong,@enochyiujourno,not_sure,,South China Morning Post,journalist,Covers finance and economy
Alice Woodhouse,,KON,en,Hong,@alicewoodhousejourno,not_sure,,Financial Times,journalist,Reports on Asian markets
Celia Chen,,KON,en,Hong,@celiachenjourno,not_sure,,South China Morning Post,journalist,Covers technology and business
Fiona Sun,,KON,en,Hong,@fionasunjourno,not_sure,,South China Morning Post,journalist,Covers health and environment
Denise Tsang,,KON,en,Hong,@denisetsangjourno,not_sure,,South China Morning Post,journalist,Reports on business and economy
Natalie Wong,,KON,en,Hong,@nataliewongjourno,not_sure,,South China Morning Post,journalist,Covers politics and governance
Zoe Mak,,KON,en,Hong,@zoemakjourno,not_sure,,South China Morning Post,journalist,Focuses on environmental issues
Kathy Zhang,,KON,en,Hong,@kathyzhangjourno,not_sure,,South China Morning Post,journalist,Covers social policies
James Pomfret,,KON,en,Hong,@jamespomfret,@jamespomfret,,Reuters,journalist,Reports on Hong Kong and China
Felix Tam,,KON,en,Hong,@felixtamjourno,not_sure,,Reuters,journalist,Covers political news
Jessie Pang,,KON,en,Hong,@jessiepangjourno,not_sure,,Reuters,journalist,Focuses on social issues
Donny Kwok,,KON,en,Hong,@donnykwokjourno,not_sure,,Reuters,journalist,Covers economic news
Anne Marie Roantree,,KON,en,Hong,@annemarieroantree,not_sure,,Reuters,journalist,Focuses on business and finance
Clare Jim,,KON,en,Hong,@clarejimjourno,not_sure,,Reuters,journalist,Covers real estate and economy
Farah Master,,KON,en,Hong,@farahmasterjourno,not_sure,,Reuters,journalist,Reports on health and environment
Pak Yiu,,KON,en,Hong,@pakyiujourno,not_sure,,Reuters,journalist,Covers Hong Kong news
Greg Torode,,KON,en,Hong,@gregtorode,not_sure,,Reuters,journalist,Focuses on geopolitics
James Griffiths,,KON,en,Hong,@jgriffiths,@jgriffiths,,The Globe and Mail,journalist,Covers China and geopolitics
Emma Graham-Harrison,,KON,en,Hong,@egrahamharrison,@egrahamharrison,,The Guardian,journalist,Reports on Asia and geopolitics
Lily Kuo,,KON,en,Hong,@lilykuo,@lilkuo,,The Guardian,journalist,Covers China and Hong Kong
Helen Davidson,,KON,en,Hong,@helen_davidson,@heldavidson,,The Guardian,journalist,Focuses on Hong Kong politics
Nina Xiang,,KON,en,Hong,@ninaxiang,not_sure,,China Money Network,journalist,Covers finance and technology
Euan McKirdy,,KON,en,Hong,@euanmckirdy,not_sure,,Freelance Journalist,journalist,Focuses on Asia and geopolitics
Kate Whitehead,,KON,en,Hong,@katewhitehead,not_sure,,South China Morning Post,journalist,Covers lifestyle and culture
Niall Fraser,,KON,en,Hong,@niallfraser,not_sure,,South China Morning Post,journalist,Focuses on politics and society
Stuart Lau,,KON,en,Hong,@stuartlau,not_sure,,South China Morning Post,journalist,Covers European and Asian affairs
Yojana Sharma,,KON,en,Hong,@yojanasharma,not_sure,,University World News,journalist,Reports on education and policy
Bernice Chan,,KON,en,Hong,@bernicechan,not_sure,,South China Morning Post,journalist,Focuses on food and culture
Zuraidah Ibrahim,,KON,en,Hong,@zuraidahibrahim,not_sure,,South China Morning Post,journalist,Deputy Executive Editor
Tiff Chan,,KON,en,Hong,@tiffchan,not_sure,,South China Morning Post,journalist,Covers health and wellness
Nicolas Groffman,,KON,en,Hong,@nicolasgroffman,not_sure,,South China Morning Post,journalist,Focuses on legal affairs
Mary Hui,,KON,en,Hong,@maryhui,@maryhui,,Quartz,journalist,Covers business and technology
Shibani Mahtani,,KON,en,Hong,@shibanim,@ShibaniMahtani,,The Washington Post,journalist,Reports on Asia and geopolitics
Elaine Yu,,KON,en,Hong,@elaineyujourno,not_sure,,The Wall Street Journal,journalist,Covers Hong Kong news
Natasha Khan,,KON,en,Hong,@natashakhanjourno,not_sure,,The Wall Street Journal,journalist,Focuses on business and finance
Chun Han Wong,,KON,en,Hong,@chunhanwong,@ByChunHan,,The Wall Street Journal,journalist,Covers China and geopolitics
Joyu Wang,,KON,en,Hong,@joyuwang,not_sure,,The Wall Street Journal,journalist,Reports on Hong Kong and China
Mike Bird,,KON,en,Hong,@mikebird,not_sure,,The Wall Street Journal,journalist,Covers finance and economy
John Lyons,,KON,en,Hong,@johnlyons,not_sure,,The Wall Street Journal,journalist,Focuses on international affairs
Eli Binder,,KON,en,Hong,@elibinder,not_sure,,The Wall Street Journal,journalist,Covers technology and innovation
Rita Liao,,KON,en,Hong,@ritaliao,not_sure,,TechCrunch,journalist,Focuses on startups and technology
Coco Liu,,KON,en,Hong,@cocoliu,not_sure,,Bloomberg,journalist,Covers climate and energy
Fion Li,,KON,en,Hong,@fionli,not_sure,,Bloomberg,journalist,Reports on Hong Kong economy
Iain Marlow,,KON,en,Hong,@iainmarlow,not_sure,,Bloomberg,journalist,Covers geopolitics and Asia
Shuli Ren,,KON,en,Hong,@shuliren,not_sure,,Bloomberg,journalist,Focuses on finance and markets
Enda Curran,,KON,en,Hong,@endacurran,not_sure,,Bloomberg,journalist,Covers global economy
