name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace Africa,,ZAF,en,Johannesburg,@greenpeaceafrica,@greenpeaceafric,,,activist,Regional office for environmental campaigns
350Africa.org,,ZAF,en,Johannesburg,@350africa,@350Africa,,,activist,Climate action network in Africa
Earthlife Africa Johannesburg,,ZAF,en,Johannesburg,@earthlife_africa,not_sure,,,activist,Focus on environmental justice
African Climate Alliance,,ZAF,en,Johannesburg,@africanclimatealliance,not_sure,,,activist,Youth-led climate action group
South African Youth Climate Coalition,,ZAF,en,Johannesburg,@saycc_za,not_sure,,,activist,Youth climate advocacy group
Extinction Rebellion South Africa,,ZAF,en,Johannesburg,@xr_southafrica,@XRSouthAfrica,,,activist,Part of global climate movement
African Centre for Biodiversity,,ZAF,en,Johannesburg,@acbio_africa,not_sure,,,activist,Focus on biodiversity and seed sovereignty
Climate Justice Coalition,,ZAF,en,Johannesburg,@climatejusticecoalition,not_sure,,,activist,Coalition for climate justice
Vukani Environmental Movement,,ZAF,en,Johannesburg,@vukani_environment,not_sure,,,activist,Community-based environmental group
Sustainable Energy Africa,,ZAF,en,Johannesburg,@sustainableenergyafrica,not_sure,,,activist,Promotes sustainable energy solutions
African Climate Reality Project,,ZAF,en,Johannesburg,@climaterealityza,not_sure,,,activist,Part of global climate education network
South Durban Community Environmental Alliance,,ZAF,en,Johannesburg,@sdcea_za,not_sure,,,activist,Focus on environmental justice in communities
Green Connection,,ZAF,en,Johannesburg,@greenconnection_sa,not_sure,,,activist,Advocates for environmental rights
Just Share,,ZAF,en,Johannesburg,@justshare_za,not_sure,,,activist,Focus on responsible investment for climate
Project 90 by 2030,,ZAF,en,Johannesburg,@project90by2030,not_sure,,,activist,Aims for 90% reduction in carbon emissions
African Women in Energy and Power,,ZAF,en,Johannesburg,@awep_africa,not_sure,,,activist,Empowers women in energy sector
Women in Environment,,ZAF,en,Johannesburg,@womeninenvironment,not_sure,,,activist,Focus on women's role in environmental issues
South African Faith Communities' Environment Institute,,ZAF,en,Johannesburg,@safcei,not_sure,,,activist,Faith-based environmental advocacy
African Climate and Development Initiative,,ZAF,en,Johannesburg,@acdi_uct,not_sure,,,activist,Research and advocacy on climate issues
Centre for Environmental Rights,,ZAF,en,Johannesburg,@cer.org.za,not_sure,,,activist,Legal advocacy for environmental rights
Green Anglicans,,ZAF,en,Johannesburg,@greenanglicans,not_sure,,,activist,Anglican church environmental network
African Youth Initiative on Climate Change,,ZAF,en,Johannesburg,@ayicc_africa,not_sure,,,activist,Youth-led climate change initiative
Sustainable Energy Society of Southern Africa,,ZAF,en,Johannesburg,@sessa_za,not_sure,,,activist,Promotes sustainable energy practices
South African Institute of International Affairs,,ZAF,en,Johannesburg,@saiia_info,not_sure,,,activist,Focus on international affairs and climate
African Climate Change Fund,,ZAF,en,Johannesburg,@afdb_group,not_sure,,,activist,Supports climate change projects in Africa
Climate Action Network South Africa,,ZAF,en,Johannesburg,@cansouthafrica,not_sure,,,activist,Network of climate-focused NGOs
South African National Biodiversity Institute,,ZAF,en,Johannesburg,@sanbi_za,not_sure,,,activist,Focus on biodiversity conservation
African Wildlife Foundation,,ZAF,en,Johannesburg,@africanwildlifefoundation,not_sure,,,activist,Conservation of African wildlife
Endangered Wildlife Trust,,ZAF,en,Johannesburg,@endangeredwildlifetrust,not_sure,,,activist,Focus on conservation of endangered species
Wildlife and Environment Society of South Africa,,ZAF,en,Johannesburg,@wessa_za,not_sure,,,activist,Environmental education and conservation
BirdLife South Africa,,ZAF,en,Johannesburg,@birdlife_sa,@BirdLife_SA,,,activist,Conservation of birds and their habitats
South African National Parks,,ZAF,en,Johannesburg,@sanparks,@SANParks,,,activist,Management of national parks
African Parks Network,,ZAF,en,Johannesburg,@africanparksnetwork,@AfricanParks,,,activist,Conservation and management of protected areas
Conservation South Africa,,ZAF,en,Johannesburg,@conservationsa,not_sure,,,activist,Focus on sustainable land use
South African Youth Climate Change Coalition,,ZAF,en,Johannesburg,@sayccc_za,not_sure,,,activist,Youth coalition for climate change
Sustainability Institute,,ZAF,en,Johannesburg,@sustainabilityinstitute,not_sure,,,activist,Focus on sustainable development
The Green Connection,,ZAF,en,Johannesburg,@thegreenconnection,not_sure,,,activist,Promotes sustainable development
African Climate Reality Project,,ZAF,en,Johannesburg,@climaterealityafrica,@AfricaCRP,,,activist,Part of global climate reality project
WESSA (Wildlife and Environment Society of South Africa),,ZAF,en,Johannesburg,@wessa_lifestyle,not_sure,,,activist,Focus on environmental education
Greenpop Foundation,,ZAF,en,Johannesburg,@greenpop,@GreenpopSA,,,activist,Tree planting and eco-education
African Centre for Biodiversity,,ZAF,en,Johannesburg,@african_biodiversity,not_sure,,,activist,Focus on biodiversity conservation
South Durban Community Environmental Alliance,,ZAF,en,Johannesburg,@sdcea,not_sure,,,activist,Community-based environmental advocacy
African Climate Foundation,,ZAF,en,Johannesburg,@africanclimatefoundation,not_sure,,,activist,Supports climate change initiatives
South African Renewable Energy Technology Centre,,ZAF,en,Johannesburg,@saretec,not_sure,,,activist,Focus on renewable energy technology
Green Building Council South Africa,,ZAF,en,Johannesburg,@gbcsa,@GBCSA,,,activist,Promotes sustainable building practices
African Centre for a Green Economy,,ZAF,en,Johannesburg,@africancentrege,not_sure,,,activist,Focus on green economy initiatives
South African Environmental Observation Network,,ZAF,en,Johannesburg,@saeon_za,not_sure,,,activist,Environmental observation and research
African Leadership University School of Wildlife Conservation,,ZAF,en,Johannesburg,@aluwildlife,not_sure,,,activist,Focus on wildlife conservation education
South African Climate Action Network,,ZAF,en,Johannesburg,@sacanetwork,not_sure,,,activist,Network for climate action in South Africa
African Biodiversity Network,,ZAF,en,Johannesburg,@africanbiodiversitynetwork,not_sure,,,activist,Focus on biodiversity conservation in Africa
African Conservation Trust,,ZAF,en,Johannesburg,@africanconservationtrust,not_sure,,,activist,Focus on conservation and community development
South African Institute for Aquatic Biodiversity,,ZAF,en,Johannesburg,@saiab_za,not_sure,,,activist,Research on aquatic biodiversity
South African National Energy Development Institute,,ZAF,en,Johannesburg,@sanedi,not_sure,,,activist,Focus on energy development and innovation
African Centre for Disaster Studies,,ZAF,en,Johannesburg,@acds_nwu,not_sure,,,activist,Focus on disaster risk reduction
South African National Space Agency,,ZAF,en,Johannesburg,@sanasa,not_sure,,,activist,Focus on space technology for climate monitoring
Makoma Lekalakala,,ZAF,en,Johannesburg,@makoma.lekalakala,not_sure,,Earthlife Africa,activist,Director of Earthlife Africa Johannesburg
Bobby Peek,,ZAF,en,Johannesburg,@groundworksa,not_sure,,groundWork,activist,Environmental justice activist in South Africa
Saliem Fakir,,ZAF,en,Johannesburg,@saliemfakir,not_sure,,African Climate Foundation,activist,Director of African Climate Foundation
Kumi Naidoo,,ZAF,en,Johannesburg,@kuminaidoo,not_sure,,Greenpeace International,activist,Former Executive Director of Greenpeace
Liz McDaid,,ZAF,en,Johannesburg,@liz_mcdaid,not_sure,,The Green Connection,activist,Environmental activist and energy expert
Trevor Ngwane,,ZAF,en,Johannesburg,@trevorngwane,not_sure,,Soweto Electricity Crisis Committee,activist,Activist for energy justice in Soweto
Muna Lakhani,,ZAF,en,Johannesburg,@munalakhani,not_sure,,Zero Waste Africa,activist,Advocate for zero waste solutions
Tasneem Essop,,ZAF,en,Johannesburg,@tasneemessop,not_sure,,Climate Action Network,activist,Executive Director of Climate Action Network
Ndivile Mokoena,,ZAF,en,Johannesburg,@ndivilemokoena,not_sure,,GenderCC Southern Africa,activist,Focus on gender and climate change
Desmond D'Sa,,ZAF,en,Johannesburg,@desmond_dsa,not_sure,,South Durban Community Environmental Alliance,activist,Environmental justice activist
Beverley Thorpe,,ZAF,en,Johannesburg,@bevthorpe,not_sure,,Health Care Without Harm,activist,Advocate for sustainable healthcare
Ferial Adam,,ZAF,en,Johannesburg,@ferialadam,not_sure,,350Africa.org,activist,Climate justice campaigner
Samantha Bailey,,ZAF,en,Johannesburg,@samantha.bailey,not_sure,,African Climate Reality Project,activist,Climate reality leader
Liziwe McDaid,,ZAF,en,Johannesburg,@liziwe_mcdaid,not_sure,,The Green Connection,activist,Environmental activist and energy expert
Makoma Lekalakala,,ZAF,en,Johannesburg,@makoma_lekalakala,not_sure,,Earthlife Africa,activist,Director of Earthlife Africa Johannesburg
Sabelo Mbokazi,,ZAF,en,Johannesburg,@sabelo_mbokazi,not_sure,,African Union,activist,Advocates for peace and security
Trevor Ngwane,,ZAF,en,Johannesburg,@trevor_ngwane,not_sure,,Soweto Electricity Crisis Committee,activist,Energy justice activist
Ndivhuho Raphulu,,ZAF,en,Johannesburg,@ndivhuho_raphulu,not_sure,,National Cleaner Production Centre,activist,Promotes sustainable production
Muna Lakhani,,ZAF,en,Johannesburg,@muna_lakhani,not_sure,,Institute for Zero Waste,activist,Zero waste advocate
Liziwe McDaid,,ZAF,en,Johannesburg,@liziwemcdaid,not_sure,,The Green Connection,activist,Environmental justice advocate
Bongani Mthembu,,ZAF,en,Johannesburg,@bonganimthembu,not_sure,,South Durban Community Environmental Alliance,activist,Community environmental activist
Melita Steele,,ZAF,en,Johannesburg,@melitasteele,not_sure,,Greenpeace Africa,activist,Senior climate campaigner
Zukiswa Millicent,,ZAF,en,Johannesburg,@zukiswam,not_sure,,African Climate Alliance,activist,Youth climate activist
Sibusiso Tshabalala,,ZAF,en,Johannesburg,@sibusiso_tshabalala,not_sure,,Greenpeace Africa,activist,Climate and energy campaigner
Happy Khambule,,ZAF,en,Johannesburg,@happy_khambule,not_sure,,Greenpeace Africa,activist,Climate policy expert
