name,email,country,language,city,instagram,twitter,phone,organization,type,notes
María Fernanda Reyes,,PER,es,Lima,@mariafernandareyes,not_sure,,El Comercio,journalist,Covers climate change and environment
Juan Carlos Tafur,,PER,es,Lima,@juancarlostafur,not_sure,,La República,journalist,Writes on geopolitics and international affairs
Rocío Maldonado,,PER,es,Lima,@rociomaldonado,not_sure,,RPP Noticias,journalist,Focuses on peace and conflict resolution
Carlos Paredes,,PER,es,Lima,@carlos_paredes,not_sure,,Perú21,journalist,Reports on environmental policies
Ana María Vidal,,PER,es,Lima,@anamariavidal,not_sure,,Gestión,journalist,Covers economic impacts of climate change
Luis Miguel Castilla,,PER,es,Lima,@luismiguelcastilla,not_sure,,Diario Correo,journalist,Writes on geopolitics and economics
Patricia del Río,,PER,es,Lima,@patriciadelrio,not_sure,,Radio Programas del Perú,journalist,Hosts a show on environmental issues
Fernando Carvallo,,PER,es,Lima,@fernandocarvallo,not_sure,,Canal N,journalist,Focuses on international relations
Claudia Cisneros,,PER,es,Lima,@claudiacisneros,not_sure,,IDL-Reporteros,journalist,Investigative journalist on climate and nature
Hugo Coya,,PER,es,Lima,@hugocoya,not_sure,,TV Perú,journalist,Covers biodiversity and conservation
Mónica Delta,,PER,es,Lima,@monicadelta,not_sure,,América Televisión,journalist,Reports on climate policy
Augusto Álvarez Rodrich,,PER,es,Lima,@augustoalvarezrodrich,not_sure,,La República,journalist,Writes on peace and international affairs
Verónica Linares,,PER,es,Lima,@veronicalinares,not_sure,,América Noticias,journalist,Covers environmental news
Renato Cisneros,,PER,es,Lima,@renatocisneros,not_sure,,El Comercio,journalist,Focuses on geopolitics and society
Milagros Leiva,,PER,es,Lima,@milagrosleiva,not_sure,,Willax Televisión,journalist,Reports on climate change impacts
Raúl Tola,,PER,es,Lima,@raultola,not_sure,,La Mula,journalist,Covers peace initiatives and geopolitics
Cecilia Valenzuela,,PER,es,Lima,@ceciliavalenzuela,not_sure,,Perú21,journalist,Focuses on environmental policies
Beto Ortiz,,PER,es,Lima,@betoortiz,@malditaternura,,Willax Televisión,journalist,Covers geopolitics and international news
Rosa María Palacios,,PER,es,Lima,@rosamariapalacios,@rmapalacios,,Exitosa Noticias,journalist,Writes on climate and peace issues
Juliana Oxenford,,PER,es,Lima,@julianaoxenford,@JulianaOxenford,,ATV Noticias,journalist,Reports on environmental and geopolitical topics
Mávila Huertas,,PER,es,Lima,@mavilahuertas,@mavilahuertas,,Latina Noticias,journalist,Focuses on climate change and biodiversity
Nicolás Lúcar,,PER,es,Lima,@nicolaslucar,@nicolaslucar,,Exitosa Noticias,journalist,Covers peace and conflict resolution
Sigrid Bazán,,PER,es,Lima,@sigridbazan,@sigridbazan,,La República,journalist,Writes on environmental justice
Marco Sifuentes,,PER,es,Lima,@marcosifuentes,@ocram,,El Foco,journalist,Focuses on geopolitics and society
Andrea Llosa,,PER,es,Lima,@andrea_llosa,not_sure,,ATV Noticias,journalist,Reports on climate and social issues
Fernando Llanos,,PER,es,Lima,@fernandollanos,not_sure,,El Comercio,journalist,Covers international affairs and peace
Mónica Sánchez,,PER,es,Lima,@monicasanchez,not_sure,,RPP Noticias,journalist,Focuses on biodiversity and conservation
Ricardo Morán,,PER,es,Lima,@ricardomoran,not_sure,,La República,journalist,Writes on climate change impacts
Lorena Álvarez,,PER,es,Lima,@lorenaalvarez,@lorealvarez,,Latina Noticias,journalist,Covers environmental policies
Pedro Tenorio,,PER,es,Lima,@pedrotenorio,@pedrotenorio,,Canal N,journalist,Focuses on geopolitics and international news
Pamela Acosta,,PER,es,Lima,@pamelaacosta,not_sure,,Diario Correo,journalist,Reports on climate and environmental justice
José María Salcedo,,PER,es,Lima,@josemariasalcedo,not_sure,,Perú21,journalist,Covers peace initiatives and geopolitics
María Elena Hidalgo,,PER,es,Lima,@mariaelenahidalgo,not_sure,,IDL-Reporteros,journalist,Investigative journalist on environmental issues
César Hildebrandt,,PER,es,Lima,@cesarhildebrandt,not_sure,,Hildebrandt en sus Trece,journalist,Focuses on geopolitics and society
Mijael Garrido Lecca,,PER,es,Lima,@mijaelgarridolecca,@MijaelGLP,,América Televisión,journalist,Reports on climate change and biodiversity
Carla García,,PER,es,Lima,@carlagarcia,not_sure,,La República,journalist,Writes on environmental policies
Raúl Vargas,,PER,es,Lima,@raulvargas,not_sure,,RPP Noticias,journalist,Covers peace and conflict resolution
Patricia Montero,,PER,es,Lima,@patriciamontero,not_sure,,Gestión,journalist,Focuses on economic impacts of climate change
Gonzalo Zegarra,,PER,es,Lima,@gonzalozegarra,not_sure,,Diario Correo,journalist,Writes on geopolitics and economics
Silvia Miró Quesada,,PER,es,Lima,@silviamiroquesada,not_sure,,El Comercio,journalist,Covers climate change and environment
Fernando Vivas,,PER,es,Lima,@fernandovivas,not_sure,,La República,journalist,Writes on geopolitics and international affairs
Maritza Espinoza,,PER,es,Lima,@maritzaespinoza,not_sure,,RPP Noticias,journalist,Focuses on peace and conflict resolution
José Carlos Requena,,PER,es,Lima,@josecarlosrequena,not_sure,,Perú21,journalist,Reports on environmental policies
Cecilia Blume,,PER,es,Lima,@ceciliablume,not_sure,,Gestión,journalist,Covers economic impacts of climate change
José Alejandro Godoy,,PER,es,Lima,@josealejandrogodoy,not_sure,,Diario Correo,journalist,Writes on geopolitics and economics
Rocío Silva Santisteban,,PER,es,Lima,@rociosilvasantisteban,not_sure,,IDL-Reporteros,journalist,Investigative journalist on climate and nature
Gustavo Gorriti,,PER,es,Lima,@gustavogorriti,not_sure,,IDL-Reporteros,journalist,Focuses on geopolitics and society
Mónica Yaya,,PER,es,Lima,@monicayaya,not_sure,,La República,journalist,Writes on climate change impacts
Carlos Meléndez,,PER,es,Lima,@carlosmelendez,not_sure,,Latina Noticias,journalist,Covers environmental policies
Rosa María Cifuentes,,PER,es,Lima,@rosamariacifuentes,not_sure,,Canal N,journalist,Focuses on geopolitics and international news
Martha Meier,,PER,es,Lima,@marthameier,not_sure,,Diario Correo,journalist,Reports on climate and environmental justice
Milagros Salazar,,PER,es,Lima,@milagros.salazar,not_sure,,IDL-Reporteros,journalist,Investigative journalist on environmental issues
Nelly Luna Amancio,,PER,es,Lima,@nellylunaa,not_sure,,Ojo Público,journalist,Focus on climate and environmental journalism
Joseph Zárate,,PER,es,Lima,@josephzarate,not_sure,,Freelance,journalist,Writes on environmental and social issues
