name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Luis Miguel Castilla,,PER,es,Lima,@luiscastillapodcast,not_sure,,Geopolitics Podcast,podcaster,Discusses geopolitics in Latin America
Ana María Vidal,,PER,es,Lima,@anamariavidalpod,not_sure,,Climate Change Talks,podcaster,Focuses on climate change impacts in Peru
Carlos Rojas,,PER,es,Lima,@carlosrojaspodcast,not_sure,,Peace and Conflict Podcast,podcaster,Covers peace initiatives in Peru
María Fernanda Torres,,PER,es,Lima,@mftorrespodcast,not_sure,,Nature Conservation Show,podcaster,Hosts nature conservation discussions
Jorge Pérez,,PER,es,Lima,@jorgeperezpod,not_sure,,Environmental Voices,podcaster,Environmental issues and solutions
Lucía Gómez,,PER,es,Lima,@luciagomezpod,not_sure,,Climate Action Podcast,podcaster,Climate action and policy
Ricardo López,,PER,es,Lima,@ricardolopezpod,not_sure,,Biodiversity Talks,podcaster,Biodiversity and conservation
Valeria Sánchez,,PER,es,Lima,@valeriasanchezpod,not_sure,,Peace and Dialogue,podcaster,Peacebuilding and dialogue
Fernando Castillo,,PER,es,Lima,@fernandocastillopod,not_sure,,Geopolitical Insights,podcaster,Geopolitical analysis
Claudia Rivera,,PER,es,Lima,@claudiariverapod,not_sure,,Eco-Friendly Podcast,podcaster,Eco-friendly practices and sustainability
Diego Torres,,PER,es,Lima,@diegotorrespod,not_sure,,Climate Conversations,podcaster,Climate change discussions
Sofía Ramírez,,PER,es,Lima,@sofiaramirezpod,not_sure,,Nature and Us,podcaster,Human-nature relationship
Juan Carlos Mendoza,,PER,es,Lima,@juancarlosmendozapod,not_sure,,Peace Talks,podcaster,Peace and conflict resolution
Gabriela López,,PER,es,Lima,@gabrielalopezpod,not_sure,,Environmental Dialogues,podcaster,Environmental issues in Peru
Andrés Salazar,,PER,es,Lima,@andressalazarpod,not_sure,,Geopolitical Conversations,podcaster,Geopolitical topics
Natalia Herrera,,PER,es,Lima,@nataliaherrerapod,not_sure,,Climate and Society,podcaster,Climate impact on society
Miguel Ángel Ruiz,,PER,es,Lima,@miguelangelruizpod,not_sure,,Biodiversity Podcast,podcaster,Biodiversity conservation
Patricia Morales,,PER,es,Lima,@patriciamoralespod,not_sure,,Peace and Environment,podcaster,Peace and environmental issues
José Luis García,,PER,es,Lima,@joseluisgarciapod,not_sure,,Climate Change Podcast,podcaster,Climate change awareness
Carolina Díaz,,PER,es,Lima,@carolinadiazpod,not_sure,,Nature Talks,podcaster,Nature and biodiversity
Alejandro Vargas,,PER,es,Lima,@alejandrovargaspod,not_sure,,Peace and Geopolitics,podcaster,Peace and geopolitical issues
Laura Castillo,,PER,es,Lima,@lauracastillopod,not_sure,,Environmental Podcast,podcaster,Environmental protection
Felipe Ramírez,,PER,es,Lima,@feliperamirezpod,not_sure,,Climate and Peace,podcaster,Climate and peace initiatives
Isabel Torres,,PER,es,Lima,@isabeltorrespod,not_sure,,Nature and Climate,podcaster,Nature and climate change
Oscar Fernández,,PER,es,Lima,@oscarfernandezpod,not_sure,,Geopolitical Podcast,podcaster,Geopolitical discussions
Daniela Rojas,,PER,es,Lima,@danielarojaspod,not_sure,,Peace and Nature,podcaster,Peace and nature conservation
Gonzalo Pérez,,PER,es,Lima,@gonzaloperezpod,not_sure,,Climate and Environment,podcaster,Climate and environmental issues
Verónica Sánchez,,PER,es,Lima,@veronicasanchezpod,not_sure,,Nature and Peace,podcaster,Nature conservation and peace
Hugo García,,PER,es,Lima,@hugogarciapod,not_sure,,Environmental Awareness,podcaster,Environmental awareness and action
Marta López,,PER,es,Lima,@martalopezpod,not_sure,,Climate and Biodiversity,podcaster,Climate and biodiversity issues
Raúl Torres,,PER,es,Lima,@raultorrespod,not_sure,,Peace and Climate,podcaster,Peace and climate change
Silvia Ramírez,,PER,es,Lima,@silviaramirezpod,not_sure,,Nature and Environment,podcaster,Nature and environmental protection
Javier Castillo,,PER,es,Lima,@javiercastillopod,not_sure,,Geopolitical Insights,podcaster,Geopolitical insights and analysis
Rosa Fernández,,PER,es,Lima,@rosafernandezpod,not_sure,,Climate and Peace,podcaster,Climate and peace initiatives
Luis Torres,,PER,es,Lima,@luistorrespod,not_sure,,Nature and Society,podcaster,Nature and societal impact
Carmen Díaz,,PER,es,Lima,@carmendiazpod,not_sure,,Environmental Podcast,podcaster,Environmental issues and solutions
Eduardo Ramírez,,PER,es,Lima,@eduardoramirezpod,not_sure,,Climate and Geopolitics,podcaster,Climate and geopolitical issues
Paula Herrera,,PER,es,Lima,@paulaherrerapod,not_sure,,Nature and Peace,podcaster,Nature conservation and peace
Rodrigo López,,PER,es,Lima,@rodrigolopezpod,not_sure,,Environmental Awareness,podcaster,Environmental awareness and action
Beatriz Sánchez,,PER,es,Lima,@beatrizsanchezpod,not_sure,,Climate and Biodiversity,podcaster,Climate and biodiversity issues
Victor Torres,,PER,es,Lima,@victortorrespod,not_sure,,Peace and Climate,podcaster,Peace and climate change
Elena Ramírez,,PER,es,Lima,@elenaramirezpod,not_sure,,Nature and Environment,podcaster,Nature and environmental protection
Manuel Castillo,,PER,es,Lima,@manuelcastillopod,not_sure,,Geopolitical Insights,podcaster,Geopolitical insights and analysis
Teresa Fernández,,PER,es,Lima,@teresafernandezpod,not_sure,,Climate and Peace,podcaster,Climate and peace initiatives
Alberto Torres,,PER,es,Lima,@albertotorrespod,not_sure,,Nature and Society,podcaster,Nature and societal impact
Gloria Díaz,,PER,es,Lima,@gloriadiazpod,not_sure,,Environmental Podcast,podcaster,Environmental issues and solutions
Francisco Ramírez,,PER,es,Lima,@franciscoramirezpod,not_sure,,Climate and Geopolitics,podcaster,Climate and geopolitical issues
Monica Herrera,,PER,es,Lima,@monicaherrerapod,not_sure,,Nature and Peace,podcaster,Nature conservation and peace
Sebastián López,,PER,es,Lima,@sebastianlopezpod,not_sure,,Environmental Awareness,podcaster,Environmental awareness and action
Alicia Sánchez,,PER,es,Lima,@aliciasanchezpod,not_sure,,Climate and Biodiversity,podcaster,Climate and biodiversity issues
Tomás Torres,,PER,es,Lima,@tomastorrespod,not_sure,,Peace and Climate,podcaster,Peace and climate change
Adriana Ramírez,,PER,es,Lima,@adrianaramirezpod,not_sure,,Nature and Environment,podcaster,Nature and environmental protection
Pablo Castillo,,PER,es,Lima,@pablocastillopod,not_sure,,Geopolitical Insights,podcaster,Geopolitical insights and analysis
Lorena Fernández,,PER,es,Lima,@lorenafernandezpod,not_sure,,Climate and Peace,podcaster,Climate and peace initiatives
Ignacio Torres,,PER,es,Lima,@ignaciotorrespod,not_sure,,Nature and Society,podcaster,Nature and societal impact
Cecilia Díaz,,PER,es,Lima,@ceciliadiazpod,not_sure,,Environmental Podcast,podcaster,Environmental issues and solutions
Mario Ramírez,,PER,es,Lima,@marioramirezpod,not_sure,,Climate and Geopolitics,podcaster,Climate and geopolitical issues
Daniela Herrera,,PER,es,Lima,@danielaherrerapod,not_sure,,Nature and Peace,podcaster,Nature conservation and peace
Esteban López,,PER,es,Lima,@estebanlopezpod,not_sure,,Environmental Awareness,podcaster,Environmental awareness and action
Camila Sánchez,,PER,es,Lima,@camilasanchezpod,not_sure,,Climate and Biodiversity,podcaster,Climate and biodiversity issues
Joaquín Torres,,PER,es,Lima,@joaquintorrespod,not_sure,,Peace and Climate,podcaster,Peace and climate change
Renata Ramírez,,PER,es,Lima,@renataramirezpod,not_sure,,Nature and Environment,podcaster,Nature and environmental protection
Santiago Castillo,,PER,es,Lima,@santiagocastillopod,not_sure,,Geopolitical Insights,podcaster,Geopolitical insights and analysis
Victoria Fernández,,PER,es,Lima,@victoriafernandezpod,not_sure,,Climate and Peace,podcaster,Climate and peace initiatives
Emilio Torres,,PER,es,Lima,@emiliotorrespod,not_sure,,Nature and Society,podcaster,Nature and societal impact
Clara Díaz,,PER,es,Lima,@claradiazpod,not_sure,,Environmental Podcast,podcaster,Environmental issues and solutions
Ángel Ramírez,,PER,es,Lima,@angelramirezpod,not_sure,,Climate and Geopolitics,podcaster,Climate and geopolitical issues
Luciana Herrera,,PER,es,Lima,@lucianaherrerapod,not_sure,,Nature and Peace,podcaster,Nature conservation and peace
Matías López,,PER,es,Lima,@matiaslopezpod,not_sure,,Environmental Awareness,podcaster,Environmental awareness and action
Gabriela Sánchez,,PER,es,Lima,@gabrielasanchezpod,not_sure,,Climate and Biodiversity,podcaster,Climate and biodiversity issues
Nicolás Torres,,PER,es,Lima,@nicolastorrespod,not_sure,,Peace and Climate,podcaster,Peace and climate change
