name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Fiona Harvey,,GBR,en,London,@fionaharvey,@fionaharvey,,The Guardian,journalist,Environment correspondent at The Guardian
Damian Carrington,,GBR,en,London,@damiancarrington,@dpcarrington,,The Guardian,journalist,Environment editor at The Guardian
Roger Harrabin,,GBR,en,London,@rogerharrabin,@RHarrabin,,BBC,journalist,BBC environment analyst
George Monbiot,,GBR,en,London,@georgemonbiot,@GeorgeMonbiot,,The Guardian,journalist,Columnist focusing on climate and politics
Emily Gosden,,GBR,en,London,@emilygosden,@emilygosden,,The Times,journalist,Energy editor at The Times
Adam Vaughan,,GBR,en,London,@adamvaughan_uk,@adamvaughan_uk,,The Times,journalist,Environment editor at The Times
Tom Bawden,,GBR,en,London,@tombawden,not_sure,,i Newspaper,journalist,Environment editor at i Newspaper
Louise Gray,,GBR,en,London,@loubgray,not_sure,,Freelance,journalist,Writes on environment and conservation
Jonathan Watts,,GBR,en,London,@jonathanwatts,@jonathanwatts,,The Guardian,journalist,Global environment editor at The Guardian
Jillian Ambrose,,GBR,en,London,@jillianambrose,@JillianAmbrose,,The Guardian,journalist,Energy correspondent at The Guardian
Leo Hickman,,GBR,en,London,@leohickman,@LeoHickman,,Carbon Brief,journalist,Director and editor at Carbon Brief
Phoebe Weston,,GBR,en,London,@phoebeweston,@phoeb0,,The Guardian,journalist,Biodiversity reporter at The Guardian
Matthew Taylor,,GBR,en,London,@matthewtaylor,not_sure,,The Guardian,journalist,Environment correspondent at The Guardian
Isabella Kaminski,,GBR,en,London,@isabellakaminski,not_sure,,Freelance,journalist,Covers environment and law
Harry Cockburn,,GBR,en,London,@harrycockburn,@HarryCockburn,,The Independent,journalist,Environment correspondent at The Independent
Jessica Aldred,,GBR,en,London,@jessicaaldred,not_sure,,Freelance,journalist,Writes on climate and environment
Ben Webster,,GBR,en,London,@benwebster,not_sure,,The Times,journalist,Environment editor at The Times
Oliver Milman,,GBR,en,London,@olivermilman,@OliverMilman,,The Guardian,journalist,Environment reporter at The Guardian
Sandra Laville,,GBR,en,London,@sandralaville,@sandralaville,,The Guardian,journalist,Senior reporter on climate crisis
Kieran Cooke,,GBR,en,London,@kierancooke,not_sure,,Climate News Network,journalist,Co-editor at Climate News Network
