name,email,country,language,city,instagram,twitter,phone,organization,type,notes
The Climate Question,,GBR,en,London,@bbcworldservice,@climatequestion,,BBC World Service,podcaster,Explores climate change impacts globally
Sustainababble,,GBR,en,London,@thebabblewagon,@thebabblewagon,,Sustainababble,podcaster,Humorous take on environmental issues
The Eco Well,,GBR,en,London,@theecowell,@theecowell,,The Eco Well,podcaster,Focuses on sustainable beauty and science
The Guilty Feminist,,GBR,en,London,@guiltyfeminist,@guiltfempod,,The Guilty Feminist,podcaster,Discusses feminism and social justice
Outrage + Optimism,,GBR,en,London,@globaloptimism,@OutrageOptimism,,Global Optimism,podcaster,Climate change solutions and optimism
The Energy Gang,,GBR,en,London,@greentechmedia,@EnergyGang,,Greentech Media,podcaster,Energy industry insights and analysis
The Circular Economy Podcast,,GBR,en,London,@ruthvalerio,not_sure,,Ruth Valerio,podcaster,Circular economy and sustainability
The Big Green Money Show,,GBR,en,London,@biggreenmoneyshow,not_sure,,BBC Radio 5 Live,podcaster,Explores green finance and economy
The Nature Podcast,,GBR,en,London,@naturepodcast,@NaturePodcast,,Nature,podcaster,Science and nature topics
The Sustainable Jungle Podcast,,GBR,en,London,@sustainablejungle,@sustainablejung,,Sustainable Jungle,podcaster,Sustainability and conservation stories
The Green Room,,GBR,en,London,@greenroompod,not_sure,,The Green Room,podcaster,Environmental issues and solutions
The Climate Pod,,GBR,en,London,@theclimatepod,@TheClimatePod,,The Climate Pod,podcaster,Climate change news and interviews
The Zero Waste Countdown Podcast,,GBR,en,London,@zerowastecountdown,@Zerowastecount,,Zero Waste Countdown,podcaster,Zero waste lifestyle tips
The Green Divas,,GBR,en,London,@thegreendivas,not_sure,,The Green Divas,podcaster,Eco-friendly living and green news
The Climate Fix,,GBR,en,London,@climatefixpod,not_sure,,The Climate Fix,podcaster,Climate solutions and innovations
The Wild Voices Project,,GBR,en,London,@wildvoicesproject,not_sure,,Wild Voices Project,podcaster,Conservation and wildlife stories
The Green Dreamer Podcast,,GBR,en,London,@greendreamerpodcast,not_sure,,Green Dreamer,podcaster,Sustainability and ecological regeneration
The Eco Chic Podcast,,GBR,en,London,@ecochicpodcast,not_sure,,Eco Chic,podcaster,Sustainable living and eco-friendly tips
The Green Element Podcast,,GBR,en,London,@greenelementpodcast,not_sure,,Green Element,podcaster,Environmental management and sustainability
The Sustainable Futures Report,,GBR,en,London,@sfrpodcast,not_sure,,Sustainable Futures Report,podcaster,Climate change and sustainability news
The Green Apple Podcast,,GBR,en,London,@greenapplepodcast,not_sure,,Green Apple,podcaster,Sustainability in business and environment
The Eco Warrior Princess Podcast,,GBR,en,London,@ecowarriorprincess,not_sure,,Eco Warrior Princess,podcaster,Eco-friendly lifestyle and activism
The Green Biz Podcast,,GBR,en,London,@greenbiz,@GreenBiz,,Green Biz,podcaster,Sustainable business practices
The Climate Reality Podcast,,GBR,en,London,@climatereality,@ClimateReality,,Climate Reality,podcaster,Climate change education and advocacy
The Green Building Matters Podcast,,GBR,en,London,@greenbuildingmatters,not_sure,,Green Building Matters,podcaster,Sustainable architecture and design
The Eco Right Speaks,,GBR,en,London,@ecorightspeaks,not_sure,,Eco Right,podcaster,Conservative perspectives on climate change
The Green Architects' Lounge,,GBR,en,London,@greenarchitectslounge,not_sure,,Green Architects' Lounge,podcaster,Sustainable architecture discussions
The Climate Question,,GBR,en,London,@bbcclimate,@BBCWorld,,BBC,podcaster,BBC podcast on climate issues
The Guardian's Science Weekly,,GBR,en,London,@guardian,@guardianscience,,The Guardian,podcaster,Covers climate and environmental science
The Sustainability Agenda,,GBR,en,London,@sustagenda,not_sure,,The Sustainability Agenda,podcaster,Interviews with sustainability leaders
The Nature Podcast,,GBR,en,London,@nature,@NaturePodcast,,Nature,podcaster,Covers biodiversity and conservation
The Planet Pod,,GBR,en,London,@planetpod,not_sure,,Planet Pod,podcaster,Environmental and sustainability topics
The Global GoalsCast,,GBR,en,London,@globalgoalscast,@GlobalGoalsCast,,Global GoalsCast,podcaster,Focus on UN Sustainable Development Goals
The Zero Carbonista,,GBR,en,London,@zerocarbonista,not_sure,,Zero Carbonista,podcaster,Discusses zero carbon living
The Climate Conversations,,GBR,en,London,@climateconversations,not_sure,,The Climate Conversations,podcaster,Interviews with climate experts
The Green Urbanist,,GBR,en,London,@greenurbanistpod,not_sure,,The Green Urbanist,podcaster,Urban sustainability and design
The Climate Crisis Podcast,,GBR,en,London,@climatecrisispod,not_sure,,The Climate Crisis Podcast,podcaster,Focus on climate emergency solutions
The Climate Change Podcast,,GBR,en,London,@climatechangepod,not_sure,,The Climate Change Podcast,podcaster,Discusses climate science and policy
The Eco Warrior Podcast,,GBR,en,London,@ecowarriorpod,not_sure,,Eco Warrior,podcaster,Focus on environmental activism
The Climate Action Show,,GBR,en,London,@climateactionshow,not_sure,,The Climate Action Show,podcaster,Showcasing climate action initiatives
The Nature's Voice Podcast,,GBR,en,London,@naturesvoicepod,not_sure,,Nature's Voice,podcaster,Focus on nature conservation
The Green Future Podcast,,GBR,en,London,@greenfuturepod,not_sure,,The Green Future Podcast,podcaster,Discusses sustainable innovations
The Climate Reality Podcast,,GBR,en,London,@climaterealitypod,not_sure,,The Climate Reality Project,podcaster,Focus on climate change awareness
