name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Emily Atkin,,ANG,en,Los,@emilyatkin,@emorwee,,Heated,journalist,"Climate change journalist, Heated newsletter"
Sammy Roth,,ANG,en,Los,@sammyroth,@Sammy_Roth,,Los Angeles Times,journalist,Covers energy and environment
Rosanna Xia,,ANG,en,Los,@rosannaxia,@RosannaXia,,Los Angeles Times,journalist,"Environmental reporter, coastal issues"
Louis Sahagún,,ANG,en,Los,@louis.sahagun,@LouisSahagun,,Los Angeles Times,journalist,Covers environment and indigenous issues
Tony Barboza,,ANG,en,Los,@tonybarboza,@tonybarboza,,Los Angeles Times,journalist,Focus on air quality and climate
Anna M. Phillips,,ANG,en,Los,@annamphillips,@annamphillips,,Los Angeles Times,journalist,Covers climate policy
Nina Lakhani,,ANG,en,Los,@ninalakhani,@ninalakhani,,The Guardian,journalist,Environmental justice reporter
Susanne Rust,,ANG,en,Los,@susannerust,@susannerust,,Los Angeles Times,journalist,"Investigative reporter, environment"
Steve Lopez,,ANG,en,Los,@stevelopezlat,@LATstevelopez,,Los Angeles Times,journalist,"Columnist, social issues"
Javier Panzar,,ANG,en,Los,@jpanzar,@jpanzar,,Los Angeles Times,journalist,Covers politics and environment
Julia Wick,,ANG,en,Los,@juliawick,@juliawick,,Los Angeles Times,journalist,"Metro reporter, environmental issues"
David Wallace-Wells,,ANG,en,Los,@dwallacewells,@dwallacewells,,New York Magazine,journalist,Climate change writer
Christopher Flavelle,,ANG,en,Los,@cflav,@cflav,,New York Times,journalist,Covers climate adaptation
Coral Davenport,,ANG,en,Los,@coraldavenport,not_sure,,New York Times,journalist,Climate policy reporter
Lisa Friedman,,ANG,en,Los,@lisafriedman,not_sure,,New York Times,journalist,Covers climate and environment
Hiroko Tabuchi,,ANG,en,Los,@hirokotabuchi,@HirokoTabuchi,,New York Times,journalist,Investigative climate reporter
Somini Sengupta,,ANG,en,Los,@sominisengupta,@SominiSengupta,,New York Times,journalist,International climate correspondent
Elizabeth Kolbert,,ANG,en,Los,@elizabethkolbert,@ElizKolbert,,The New Yorker,journalist,Climate change author
Bill McKibben,,ANG,en,Los,@billmckibben,@billmckibben,,350.org,journalist,Environmental activist and writer
Naomi Klein,,ANG,en,Los,@naomiklein,@NaomiAKlein,,The Intercept,journalist,Climate change and capitalism
Rebecca Solnit,,ANG,en,Los,@rebeccasolnit,@RebeccaSolnit,,The Guardian,journalist,Covers climate and social issues
Kate Aronoff,,ANG,en,Los,@katearonoff,@KateAronoff,,The New Republic,journalist,Climate and energy reporter
Amy Westervelt,,ANG,en,Los,@amywestervelt,@amywestervelt,,Drilled Podcast,journalist,Investigative climate journalist
Jeff Goodell,,ANG,en,Los,@jeffgoodell,@jeffgoodell,,Rolling Stone,journalist,Covers climate change
Eric Holthaus,,ANG,en,Los,@ericholthaus,@EricHolthaus,,The Correspondent,journalist,Meteorologist and climate journalist
Leah Stokes,,ANG,en,Los,@leahstokes,@leahstokes,,"University of California, Santa Barbara",journalist,Climate policy expert
Dahr Jamail,,ANG,en,Los,@dahrjamail,not_sure,,Truthout,journalist,Environmental and climate journalist
Judith Lewis Mernit,,ANG,en,Los,@judithlewismernit,not_sure,,High Country News,journalist,Covers environment and energy
Mark Hertsgaard,,ANG,en,Los,@markhertsgaard,@markhertsgaard,,The Nation,journalist,Environment correspondent
Kendra Pierre-Louis,,ANG,en,Los,@kendrawrites,@KendraWrites,,Grist,journalist,Covers climate and environment
Brian Kahn,,ANG,en,Los,@blkahn,@blkahn,,Earther,journalist,Climate and environment editor
Maddie Stone,,ANG,en,Los,@themadstone,not_sure,,Grist,journalist,Covers climate science
Yessenia Funes,,ANG,en,Los,@yessfun,@yessfun,,Atmos,journalist,Climate justice editor
Zahra Hirji,,ANG,en,Los,@zahrahirji,@Zhirji28,,BuzzFeed News,journalist,Covers climate and energy
Umair Irfan,,ANG,en,Los,@umairfan,@umairfan,,Vox,journalist,Covers climate and energy
Brian Resnick,,ANG,en,Los,@brianresnick,@B_resnick,,Vox,journalist,Covers science and climate
Arielle Samuelson,,ANG,en,Los,@arielle_samuelson,not_sure,,Vox,journalist,Covers climate and environment
Sharon Lerner,,ANG,en,Los,@fastlerner,@fastlerner,,The Intercept,journalist,Covers environment and health
Neela Banerjee,,ANG,en,Los,@neelabanerjee,not_sure,,InsideClimate News,journalist,Covers climate and energy
Phil McKenna,,ANG,en,Los,@mckennaphil,@mckennaphil,,InsideClimate News,journalist,Covers climate policy
Marianne Lavelle,,ANG,en,Los,@mlavelle,@mlavelle,,InsideClimate News,journalist,Covers climate and energy
Dan Gearino,,ANG,en,Los,@dangearino,@dangearino,,InsideClimate News,journalist,Covers climate and business
Nicholas Kusnetz,,ANG,en,Los,@nkusnetz,@nkusnetz,,InsideClimate News,journalist,Covers climate and energy
John Upton,,ANG,en,Los,@johnupton,@johnupton,,Climate Central,journalist,Covers climate science
Andrea Thompson,,ANG,en,Los,@andrea_thompson,@AndreaTWeather,,Climate Central,journalist,Covers climate and weather
Bobby Magill,,ANG,en,Los,@bobbymagill,@bobbymagill,,Bloomberg Environment,journalist,Covers climate and energy
Emily Holden,,ANG,en,Los,@emilyhholden,@emilyhholden,,The Guardian,journalist,Covers climate and environment
Oliver Milman,,ANG,en,Los,@olliemilman,@olliemilman,,The Guardian,journalist,Covers climate and environment
Fiona Harvey,,ANG,en,Los,@fionaharvey,@fionaharvey,,The Guardian,journalist,Environment correspondent
Jonathan Watts,,ANG,en,Los,@jonwatts,@jonathanwatts,,The Guardian,journalist,Global environment editor
Damian Carrington,,ANG,en,Los,@damiancarrington,@dpcarrington,,The Guardian,journalist,Environment editor
George Monbiot,,ANG,en,Los,@georgemonbiot,@GeorgeMonbiot,,The Guardian,journalist,Environment and politics columnist
Fred Pearce,,ANG,en,Los,@fredpearce,not_sure,,New Scientist,journalist,Covers environment and climate
Michael Le Page,,ANG,en,Los,@michael_lepage,not_sure,,New Scientist,journalist,Covers climate and environment
Chelsea Harvey,,ANG,en,Los,@chelseaharvey,@chelseaeharvey,,E&E News,journalist,Covers climate and environment
Scott Waldman,,ANG,en,Los,@scottwaldman,@scottpwaldman,,E&E News,journalist,Covers climate and politics
Jean Chemnick,,ANG,en,Los,@jeanchemnick,@jean_chemnick,,E&E News,journalist,Covers climate policy
Evan Lehmann,,ANG,en,Los,@evanlehmann,@evanlehmann,,E&E News,journalist,Covers climate and energy
Lisa Song,,ANG,en,Los,@lisasong,@lisasong,,ProPublica,journalist,Covers environment and climate
Abrahm Lustgarten,,ANG,en,Los,@abrahmlustgarten,@abrahml,,ProPublica,journalist,Covers environment and energy
Talia Buford,,ANG,en,Los,@taliabuford,@taliabuford,,ProPublica,journalist,Covers environmental justice
Naveena Sadasivam,,ANG,en,Los,@naveena_s,@naveena_s,,Grist,journalist,Covers climate and energy
Sara Peach,,ANG,en,Los,@sarapeach,@sarapch,,Yale Climate Connections,journalist,Covers climate solutions
Bruce Lieberman,,ANG,en,Los,@brucelieberman,not_sure,,Yale Climate Connections,journalist,Covers climate science
John Sutter,,ANG,en,Los,@jdsutter,@jdsutter,,CNN,journalist,Covers climate change
Rachel Ramirez,,ANG,en,Los,@rachelramirez,@rachjuramirez,,CNN,journalist,Covers climate and environment
Drew Kann,,ANG,en,Los,@drew_kann,@drew_kann,,CNN,journalist,Covers climate and environment
Brady Dennis,,ANG,en,Los,@brady_dennis,@brady_dennis,,Washington Post,journalist,Covers climate and environment
Chris Mooney,,ANG,en,Los,@chriscmooney,@chriscmooney,,Washington Post,journalist,Covers climate science
Sarah Kaplan,,ANG,en,Los,@sarahkaplan48,@sarahkaplan48,,Washington Post,journalist,Covers climate and environment
Juliet Eilperin,,ANG,en,Los,@eilperin,@eilperin,,Washington Post,journalist,Covers environment and politics
Dino Grandoni,,ANG,en,Los,@dinograndoni,@dino_grandoni,,Washington Post,journalist,Covers energy and environment
Steven Mufson,,ANG,en,Los,@stevenmufson,@stevenmufson,,Washington Post,journalist,Covers energy and environment
Eli Kintisch,,ANG,en,Los,@elikint,not_sure,,Science Magazine,journalist,Covers climate and environment
Jeff Tollefson,,ANG,en,Los,@jefftollefson,not_sure,,Nature,journalist,Covers climate and environment
Quirin Schiermeier,,ANG,en,Los,@quirinschiermeier,not_sure,,Nature,journalist,Covers climate science
Alexandra Witze,,ANG,en,Los,@alexwitze,@alexwitze,,Nature,journalist,Covers climate and environment
Richard Monastersky,,ANG,en,Los,@monastersky,@rmontastersky,,Nature,journalist,Covers climate and environment
Henry Fountain,,ANG,en,Los,@henryfountain,@henryfountain,,New York Times,journalist,Covers climate and environment
John Schwartz,,ANG,en,Los,@jswatz,@jswatz,,New York Times,journalist,Covers climate and environment
Brad Plumer,,ANG,en,Los,@bradplumer,@bradplumer,,New York Times,journalist,Covers climate and energy
Emily Atkin,,ANG,en,Los,@emorwee,@emorwee,,Heated,journalist,Climate change journalist and newsletter author
Bettina Boxall,,ANG,en,Los,@bettinaboxall,not_sure,,Los Angeles Times,journalist,Specializes in water and climate issues
David Zahniser,,ANG,en,Los,@davidzahniser,not_sure,,Los Angeles Times,journalist,Covers LA City Hall and policy
Laura J. Nelson,,ANG,en,Los,@laura_nelson,@laura_nelson,,Los Angeles Times,journalist,Transportation and mobility reporter
Hayley Smith,,ANG,en,Los,@hayley_smith,not_sure,,Los Angeles Times,journalist,Covers breaking news and environment
Jessica Garrison,,ANG,en,Los,@jessicagarrison,not_sure,,Los Angeles Times,journalist,Investigative reporter on social issues
Rong-Gong Lin II,,ANG,en,Los,@ronlin,@ronlin,,Los Angeles Times,journalist,Focuses on earthquakes and natural disasters
Doug Smith,,ANG,en,Los,@dougsmithlat,not_sure,,Los Angeles Times,journalist,Covers homelessness and housing issues
Benjamin Oreskes,,ANG,en,Los,@benoreskes,@benoreskes,,Los Angeles Times,journalist,Writes about politics and policy
Matt Tinoco,,ANG,en,Los,@matttinoco,not_sure,,LAist,journalist,Covers LA's housing and homelessness crisis
Erin Stone,,ANG,en,Los,@erinstone,not_sure,,LAist,journalist,Focuses on environmental justice and climate
Sharon McNary,,ANG,en,Los,@sharonmcnary,@sharonmcnary,,KPCC,journalist,Covers infrastructure and transportation
Jacob Margolis,,ANG,en,Los,@jacobmargolis,not_sure,,KPCC,journalist,Science reporter focusing on climate change
Molly Peterson,,ANG,en,Los,@mollypeterson,not_sure,,KCRW,journalist,Covers environment and climate issues
Saul Gonzalez,,ANG,en,Los,@saulkgonzalez,not_sure,,KCRW,journalist,Reports on Southern California issues
Caleigh Wells,,ANG,en,Los,@caleighwells,not_sure,,KCRW,journalist,Focuses on local news and environment
Steve Chiotakis,,ANG,en,Los,@stevechiotakis,not_sure,,KCRW,journalist,Hosts programs on local and national issues
Gustavo Arellano,,ANG,en,Los,@gustavo_arellano,@GustavoArellano,,Los Angeles Times,journalist,Columnist covering Southern California culture
Nita Lelyveld,,ANG,en,Los,@nitalelyveld,not_sure,,Los Angeles Times,journalist,Writes about LA neighborhoods and communities
