name,email,country,language,city,instagram,twitter,phone,organization,type,notes
EcoJustice Radio,,ANG,en,Los,@ecojusticeradio,@ecojusticeradio,,EcoJustice Radio,podcaster,Focuses on environmental justice issues
The Climate Pod,,ANG,en,Los,@theclimatepod,@climatepod,,The Climate Pod,podcaster,Discusses climate change and policy
Green Dreamer Podcast,,ANG,en,Los,@greendreamerpodcast,@greendreamerpod,,Green Dreamer,podcaster,Explores sustainability and ecological regeneration
Sustainability Defined,,ANG,en,Los,@sustainabilitydefined,@sustaindefined,,Sustainability Defined,podcaster,Defines sustainability concepts and practices
For The Wild,,ANG,en,Los,@forthewild.world,not_sure,,For The Wild,podcaster,Focuses on land-based protection and activism
The Energy Gang,,ANG,en,Los,@theenergygang,@theenergygang,,The Energy Gang,podcaster,Covers energy and environmental issues
The Interchange,,ANG,en,Los,@interchangepod,@interchangeShow,,The Interchange,podcaster,Discusses energy transition and technology
The Climate Reality Project,,ANG,en,Los,@climatereality,@ClimateReality,,The Climate Reality Project,podcaster,Focuses on climate change education
The Nature Podcast,,ANG,en,Los,@naturepodcast,@NaturePodcast,,Nature Podcast,podcaster,Covers biodiversity and conservation topics
The War on Cars,,ANG,en,Los,@thewaroncars,@TheWarOnCars,,The War on Cars,podcaster,Discusses urban planning and transportation
The Overstory,,ANG,en,Los,@overstorypod,not_sure,,The Overstory,podcaster,Focuses on environmental journalism
The Big Switch,,ANG,en,Los,@big_switch_pod,not_sure,,The Big Switch,podcaster,Explores energy systems and climate solutions
The Coolest Show,,ANG,en,Los,@coolestshowpod,not_sure,,The Coolest Show,podcaster,Focuses on climate justice and equity
The Climate Minute,,ANG,en,Los,@climateminute,not_sure,,The Climate Minute,podcaster,Provides updates on climate policy
The Elephant Podcast,,ANG,en,Los,@elephantpodcast,not_sure,,The Elephant Podcast,podcaster,Discusses environmental and social issues
The Green Divas,,ANG,en,Los,@thegreendivas,@TheGreenDivas,,The Green Divas,podcaster,Focuses on green living and sustainability
The Sustainable Jungle,,ANG,en,Los,@sustainablejungle,@SustainableJngl,,Sustainable Jungle,podcaster,Explores conservation and sustainability
The Climate Conversations,,ANG,en,Los,@climateconversationspod,not_sure,,The Climate Conversations,podcaster,Discusses climate change impacts and solutions
The Nature Guys,,ANG,en,Los,@natureguyspodcast,not_sure,,Nature Guys,podcaster,Focuses on nature and wildlife
The Zero Waste Countdown,,ANG,en,Los,@zerowastecountdown,not_sure,,Zero Waste Countdown,podcaster,Discusses waste reduction and sustainability
The Climate Action Show,,ANG,en,Los,@climateactionshow,not_sure,,The Climate Action Show,podcaster,Focuses on climate activism and policy
The Eco Warrior Princess,,ANG,en,Los,@ecowarriorprincess,@ecowarriorp,,Eco Warrior Princess,podcaster,Covers sustainability and ethical living
The Energy Transition Show,,ANG,en,Los,@energytransitionshow,not_sure,,Energy Transition Show,podcaster,Focuses on energy transition and policy
Bill McKibben,,ANG,en,Los,@billmckibben,@billmckibben,,The Climate Pod,podcaster,Hosts climate-focused podcast
