name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Rosa M. Tristán,,ESP,es,Madrid,@rosamtristan,not_sure,,El País,journalist,Covers environment and science topics
Manuel Planelles,,ESP,es,Madrid,@manuelplanelles,not_sure,,El País,journalist,Focuses on climate change and energy
Valentín Carrera,,ESP,es,Madrid,@valentincarrera,not_sure,,Diario 16,journalist,Writes on environmental issues
Raquel Montón,,ESP,es,Madrid,@raquelmonton,not_sure,,Greenpeace,journalist,Covers climate and energy topics
Antonio Cerrillo,,ESP,es,Madrid,@antonio_cerrillo,not_sure,,La Vanguardia,journalist,Environmental journalist
Pablo Linde,,ESP,es,Madrid,@pablolinde,not_sure,,El País,journalist,Writes about health and environment
Mónica G. Prieto,,ESP,es,Madrid,@monicagprieto,not_sure,,El Mundo,journalist,Covers international affairs
Joaquín Araujo,,ESP,es,Madrid,@joaquinaraujo,not_sure,,Freelance,journalist,Nature and environmental writer
María José Parejo,,ESP,es,Madrid,@mjoseparejo,not_sure,,Radio Nacional de España,journalist,Hosts environmental radio show
Javier Gregori,,ESP,es,Madrid,@javiergregori,not_sure,,Cadena SER,journalist,Science and environment correspondent
Cristina Monge,,ESP,es,Madrid,@tinamonge,not_sure,,El País,journalist,Political scientist and environmental writer
Miguel Ángel Valladares,,ESP,es,Madrid,@mavalladares,not_sure,,WWF España,journalist,Communications director at WWF
Ana Pardo de Vera,,ESP,es,Madrid,@anapardodv,not_sure,,Público,journalist,Focuses on social and environmental issues
Carlos de Prada,,ESP,es,Madrid,@carlosdeprada,not_sure,,Fundación Vivo Sano,journalist,Environmental journalist and activist
Beatriz Navarro,,ESP,es,Madrid,@beatriznavarro,not_sure,,La Vanguardia,journalist,Covers EU and international affairs
Javier Martín,,ESP,es,Madrid,@javiermartin,not_sure,,EFE,journalist,Middle East and geopolitics expert
Ana Pastor,,ESP,es,Madrid,@_anapastor_,@_anapastor_,,Newtral,journalist,Founder of fact-checking platform Newtral
Iñigo Sáenz de Ugarte,,ESP,es,Madrid,@inigosaenz,@inasanugar,,El Diario,journalist,Covers international politics
Marta Peirano,,ESP,es,Madrid,@minipetite,@minipetite,,Freelance,journalist,Writes on technology and climate
David Jiménez,,ESP,es,Madrid,@davidjimenezblog,@DavidJimenezTW,,Freelance,journalist,"Former editor of El Mundo, geopolitics focus"
Pilar Marcos,,ESP,es,Madrid,@pilarmarcos,not_sure,,Greenpeace,journalist,Campaigns on oceans and biodiversity
Joaquín Estefanía,,ESP,es,Madrid,@joaquinestefania,not_sure,,El País,journalist,Economics and international affairs
María Ramírez,,ESP,es,Madrid,@mariaramirezNY,@mariaramirezNY,,El Diario,journalist,Covers US and international politics
Fernando Valladares,,ESP,es,Madrid,@valladares_fernando,not_sure,,CSIC,journalist,Researcher and science communicator
Esther Sánchez,,ESP,es,Madrid,@esthersanchez,not_sure,,Cadena SER,journalist,Hosts environmental radio segments
Javier Salas,,ESP,es,Madrid,@javisalas,@javisalas,,El País,journalist,Writes on science and technology
María Sánchez Díez,,ESP,es,Madrid,@mariassdiez,not_sure,,El País,journalist,Focuses on international news
Luis de Vega,,ESP,es,Madrid,@luisdevega,@luisdevega,,El País,journalist,Covers Africa and conflict zones
Isabel García,,ESP,es,Madrid,@isabelgarcia,not_sure,,ABC,journalist,Writes on climate and environment
Carlos Fresneda,,ESP,es,Madrid,@carlosfresneda,not_sure,,El Mundo,journalist,Environmental correspondent in London
Patricia Fernández de Lis,,ESP,es,Madrid,@pfdlis,@pfdlis,,Materia,journalist,Science and environment editor
Javier Albisu,,ESP,es,Madrid,@javieralbisu,not_sure,,EFE,journalist,Covers EU and international affairs
Ana Tudela,,ESP,es,Madrid,@latudelilla,@latudelilla,,Datadista,journalist,"Investigative journalist, data-driven stories"
Ignacio Escolar,,ESP,es,Madrid,@iescolar,@iescolar,,El Diario,journalist,Founder and director of El Diario
Marta García Aller,,ESP,es,Madrid,@garciaaller,@garciaaller,,El Independiente,journalist,Writes on technology and society
Javier Ruiz,,ESP,es,Madrid,@javierruiz,@javierruiz,,Cadena SER,journalist,Economics and politics analyst
María Sahuquillo,,ESP,es,Madrid,@mariasahuquillo,@mariasahuquillo,,El País,journalist,Covers Russia and Eastern Europe
Pepa Bueno,,ESP,es,Madrid,@pepabueno,@pepabueno,,El País,journalist,Director of El País
Fernando Berlín,,ESP,es,Madrid,@radiocable,@radiocable,,Radiocable,journalist,Hosts political and social commentary
María Jesús Espinosa de los Monteros,,ESP,es,Madrid,@mj_espinosa,not_sure,,Podium Podcast,journalist,Director of Podium Podcast
Javier Casqueiro,,ESP,es,Madrid,@javiercasqueiro,not_sure,,El País,journalist,Political correspondent
Lucía Taboada,,ESP,es,Madrid,@taboada,@taboada,,Cadena SER,journalist,Writes on culture and society
Ángela Bernardo,,ESP,es,Madrid,@maberal,not_sure,,Civio,journalist,Science and health journalist
Javier Cavanilles,,ESP,es,Madrid,@javiercavanilles,not_sure,,El Mundo,journalist,Writes on society and environment
Ana Requena Aguilar,,ESP,es,Madrid,@anarequenaaguilar,@anarequena,,El Diario,journalist,Focuses on gender and social issues
Sergio C. Fanjul,,ESP,es,Madrid,@sergiocfanjul,not_sure,,El País,journalist,Covers culture and urban issues
Álvaro Sánchez,,ESP,es,Madrid,@alvarosanchez,not_sure,,El País,journalist,International news editor
Marta Nebot,,ESP,es,Madrid,@martanebot,@martanebot,,Freelance,journalist,Political and social commentator
David Beriain,,ESP,es,Madrid,@davidberiain,not_sure,,93 Metros,journalist,Documentary filmmaker and journalist
Ana Terradillos,,ESP,es,Madrid,@anaterradillos,@anaterradillos,,Cadena SER,journalist,Covers terrorism and security
Javier Valenzuela,,ESP,es,Madrid,@javiervalenzuela,not_sure,,Freelance,journalist,Writes on politics and international affairs
Elena Sevillano,,ESP,es,Madrid,@elenasevillano,not_sure,,El País,journalist,Covers urban planning and environment
Carlos del Castillo,,ESP,es,Madrid,@carlosdelcastillo,@carlosc_delc,,El Diario,journalist,Writes on technology and privacy
Marta Rodríguez,,ESP,es,Madrid,@martarodriguez,not_sure,,EFE,journalist,Covers Latin America and geopolitics
Ángel Villarino,,ESP,es,Madrid,@angelvillarino,@avillarino,,El Confidencial,journalist,International news editor
María Martín,,ESP,es,Madrid,@mariamartin,@MariaMartin,,El País,journalist,Covers social issues and politics
Javier G. Negre,,ESP,es,Madrid,@javiernegre10,@javiernegre10,,El Mundo,journalist,Writes on politics and society
Ana Isabel Cordobés,,ESP,es,Madrid,@anaicordobes,not_sure,,Freelance,journalist,Covers environment and sustainability
Jorge Morales de Labra,,ESP,es,Madrid,@jorge_morales_de_labra,not_sure,,Freelance,journalist,Energy expert and commentator
María José Carmona,,ESP,es,Madrid,@mjosecarmona,not_sure,,El Diario,journalist,Focuses on social justice and environment
Fernando Garea,,ESP,es,Madrid,@fernandogarea,@Fgarea,,Freelance,journalist,Political analyst and commentator
Patricia Simón,,ESP,es,Madrid,@patriciasimon,@patriciasimon,,Freelance,journalist,Writes on human rights and conflict
Javier Gallego,,ESP,es,Madrid,@carnecrudaradio,@carnecrudaradio,,Carne Cruda,journalist,Hosts political and cultural radio show
María Antonia Sánchez-Vallejo,,ESP,es,Madrid,@masvallejo,not_sure,,El País,journalist,Covers international news
José María Irujo,,ESP,es,Madrid,@josemariairujo,@josemariairujo,,El País,journalist,Investigative journalist
Lola García-Ajofrín,,ESP,es,Madrid,@lolaajofrin,not_sure,,Freelance,journalist,Writes on education and society
Javier Lesaca,,ESP,es,Madrid,@javierlesaca,not_sure,,Freelance,journalist,Digital media and geopolitics expert
María José Esteso Poves,,ESP,es,Madrid,@mjestesopoves,not_sure,,Freelance,journalist,Covers environment and social issues
Javier Bauluz,,ESP,es,Madrid,@javierbauluz,@javierbauluz,,Periodismo Humano,journalist,"Photojournalist, human rights focus"
Ana Alonso,,ESP,es,Madrid,@anaalonso,not_sure,,Freelance,journalist,Writes on environment and sustainability
Javier Ayuso,,ESP,es,Madrid,@javierayuso,@javierayuso,,El País,journalist,Political and economic analyst
Fernando Peinado,,ESP,es,Madrid,@fernandopeinado,@FernandoPeinado,,El País,journalist,Writes on politics and society
Pilar Velasco,,ESP,es,Madrid,@pilarvelasco,@pevelasco,,Cadena SER,journalist,Investigative journalist on climate and politics
Carlos de Hita,,ESP,es,Madrid,@carlosdehita,not_sure,,El País,journalist,Soundscape journalist focusing on nature
