name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Rina Jimenez-David,,PHL,tl,Manila,@rinajimenezdavid,not_sure,,Philippine Daily Inquirer,journalist,"Columnist on social issues, climate"
Carmela Fonbuena,,PHL,tl,Manila,@carmelafonbuena,@carmelafonbuena,,Rappler,journalist,"Covers politics, climate, and peace"
Karl R. Ocampo,,PHL,tl,Manila,@karrocam,not_sure,,Philippine Daily Inquirer,journalist,Reports on environment and agriculture
Jovic Yee,,PHL,tl,Manila,@jovicyee,not_sure,,Philippine Daily Inquirer,journalist,Covers environmental issues
Ralf Rivas,,PHL,tl,Manila,@ralfrivas,@RalfRivas,,Rappler,journalist,Focuses on business and sustainability
Kristine Sabillo,,PHL,tl,Manila,@kristinesabillo,@kristinesabillo,,ABS-CBN News,journalist,Covers health and environment
Gaea Katreena Cabico,,PHL,tl,Manila,@gaeacabico,@gaeacabico,,Philstar.com,journalist,Writes on environment and climate
Jonathan de Santos,,PHL,tl,Manila,@desantos_jon,not_sure,,Philstar.com,journalist,"Environment editor, climate focus"
Jee Y. Geronimo,,PHL,tl,Manila,@jeegeronimo,not_sure,,Rappler,journalist,Covers education and climate
Pia Ranada,,PHL,tl,Manila,@piaranada,@piaranada,,Rappler,journalist,Focus on environment and politics
Ramon Royandoyan,,PHL,tl,Manila,@ramonroyandoyan,not_sure,,Philstar.com,journalist,Covers business and climate
Ana P. Santos,,PHL,tl,Manila,@iamAnaSantos,@iamAnaSantos,,Freelance,journalist,"Writes on gender, climate"
Marlon Ramos,,PHL,tl,Manila,@marlonramos,not_sure,,Philippine Daily Inquirer,journalist,Covers politics and environment
Tina Arceo-Dumlao,,PHL,tl,Manila,@tinaarceodumlao,not_sure,,Philippine Daily Inquirer,journalist,Writes on business and sustainability
Krixia Subingsubing,,PHL,tl,Manila,@krixiasubingsubing,not_sure,,Philippine Daily Inquirer,journalist,Covers environment and social issues
Ruth Abbey Gita-Carlos,,PHL,tl,Manila,@ruthabbeygita,not_sure,,Philippine News Agency,journalist,Reports on government and environment
Vince Nonato,,PHL,tl,Manila,@vincenonato,not_sure,,Rappler,journalist,Covers law and environment
Jodesz Gavilan,,PHL,tl,Manila,@jodeszgavilan,@jodeszgavilan,,Rappler,journalist,"Focus on human rights, climate"
Raffy Cabristante,,PHL,tl,Manila,@raffycabristante,not_sure,,ABS-CBN News,journalist,Covers environment and local news
