name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Jane Goodall Institute Australia,,AUS,en,Melbourne,@janegoodallau,not_sure,,Jane Goodall Institute,activist,Focus on conservation and wildlife protection.
Australian Conservation Foundation,,AUS,en,Melbourne,@ausconservation,not_sure,,ACF,activist,National environmental advocacy group.
Friends of the Earth Melbourne,,AUS,en,Melbourne,@foe_melbourne,not_sure,,Friends of the Earth,activist,Grassroots environmental justice organization.
Climate for Change,,AUS,en,Melbourne,@climateforchange,not_sure,,Climate for Change,activist,Focus on climate conversations and action.
Australian Youth Climate Coalition,,AUS,en,Melbourne,@aycc,not_sure,,AYCC,activist,Youth-led climate action group.
Extinction Rebellion Victoria,,AUS,en,Melbourne,@xr_vic,not_sure,,Extinction Rebellion,activist,Non-violent climate activism group.
Environment Victoria,,AUS,en,Melbourne,@environmentvictoria,not_sure,,Environment Victoria,activist,Advocates for environmental protection in Victoria.
Melbourne Climate Save,,AUS,en,Melbourne,@melbourneclimatesave,not_sure,,Melbourne Climate Save,activist,Focus on climate justice and veganism.
Sea Shepherd Australia,,AUS,en,Melbourne,@seashepherdaustralia,not_sure,,Sea Shepherd,activist,Marine conservation and anti-poaching.
The Wilderness Society Victoria,,AUS,en,Melbourne,@wilderness_aus,not_sure,,The Wilderness Society,activist,Protects wilderness and nature.
Australian Marine Conservation Society,,AUS,en,Melbourne,@amcs_ocean,not_sure,,AMCS,activist,Focus on marine conservation.
Greens Victoria,,AUS,en,Melbourne,@greensvic,not_sure,,The Greens,activist,Political party with environmental focus.
350 Australia,,AUS,en,Melbourne,@350australia,@350Australia,,350.org,activist,Climate change movement.
Doctors for the Environment Australia,,AUS,en,Melbourne,@doctorsfortheenvironment,not_sure,,DEA,activist,Health professionals advocating for environment.
Surfrider Foundation Australia,,AUS,en,Melbourne,@surfrideraus,@SurfriderAus,,Surfrider Foundation,activist,Protects oceans and beaches.
Plastic Free Victoria,,AUS,en,Melbourne,@plasticfreevictoria,not_found,,Plastic Free Victoria,activist,Campaigns against plastic pollution.
Melbourne Rainforest Action Group,,AUS,en,Melbourne,@melbournerag,not_found,,MRAG,activist,Focus on rainforest conservation.
Climate Action Network Australia,,AUS,en,Melbourne,@climatenetworkau,@climatenetwork,,Climate Action Network,activist,National network with strong Melbourne presence
Friends of the Earth Melbourne,,AUS,en,Melbourne,@foemelbourne,@FoEAustralia,,Friends of the Earth,activist,Local branch focusing on environmental justice
School Strike 4 Climate Australia,,AUS,en,Melbourne,@schoolstrikeforclimate,@StrikeClimate,,SS4C,activist,Student-led climate action group
Melbourne Waterkeepers,,AUS,en,Melbourne,@melbournewaterkeepers,not_found,,Waterkeepers Australia,activist,Protects local waterways
Yarra Riverkeeper Association,,AUS,en,Melbourne,@yarrariverkeepers,@YarraRiverkeep,,Yarra Riverkeeper,activist,Advocates for Yarra River health
Port Phillip EcoCentre,,AUS,en,Melbourne,@ecocentrestkilda,@ecocentrestk,,EcoCentre,activist,Community environment hub
Sustainable Living Foundation,,AUS,en,Melbourne,@sustainablelivingfestival,not_found,,SLF,activist,Hosts annual sustainability festival
Australian Youth Climate Coalition Victoria,,AUS,en,Melbourne,@aycc_vic,@AYCC,,AYCC,activist,Victorian branch of youth climate group
