name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Tim Silverwood,,AUS,en,Melbourne,@timsilverwood,@timsilverwood,,Take 3 for the Sea,influencer,Co-founder of Take 3 for the Sea
Sarah Wilson,,AUS,en,Melbourne,@_sarahwilson_,@_sarahwilson_,,Author and Activist,influencer,Author on climate and sustainability
Craig Reucassel,,AUS,en,Melbourne,@craigreucassel,@craigreucassel,,War on Waste,influencer,Hosts War on Waste series
Joost Bakker,,AUS,en,Melbourne,@joostbakker,not_sure,,Greenhouse by Joost,influencer,Sustainable designer and innovator
Alice Zaslavsky,,AUS,en,Melbourne,@aliceinframes,@aliceinframes,,Food Educator,influencer,Advocates for sustainable food practices
David Ritter,,AUS,en,Melbourne,@david_ritter,not_sure,,Greenpeace Australia Pacific,influencer,CEO of Greenpeace Australia Pacific
Anika Molesworth,,AUS,en,Melbourne,@anikamolesworth,not_sure,,Climate Wise Agriculture,influencer,Climate change and agriculture advocate
Jess Panazzolo,,AUS,en,Melbourne,@jesspanazzolo,not_sure,,Wildlife Conservationist,influencer,Wildlife conservation and education
Samuel Alexander,,AUS,en,Melbourne,@simplicityinstitute,not_sure,,Simplicity Institute,influencer,Researcher on sustainable living
Tanya Ha,,AUS,en,Melbourne,@tanyaha,not_sure,,Science Communicator,influencer,Science communicator and environmentalist
Tim Flannery,,AUS,en,Melbourne,@timflanneryofficial,not_sure,,Climate Council,influencer,Chief Councillor at Climate Council
Kirsty Albion,,AUS,en,Melbourne,@kirstyalbion,not_sure,,Climate for Change,influencer,Director at Climate for Change
Paul Gilding,,AUS,en,Melbourne,@paulgilding,not_sure,,Author and Activist,influencer,Author on climate change
Anna Rose,,AUS,en,Melbourne,@annarose,not_sure,,Australian Youth Climate Coalition,influencer,Co-founder of AYCC
Simon Holmes à Court,,AUS,en,Melbourne,@simonahac,not_sure,,Energy Transition Advocate,influencer,Advocate for renewable energy
Vanessa Petrie,,AUS,en,Melbourne,@vanessapetrie,not_sure,,Beyond Zero Emissions,influencer,CEO of Beyond Zero Emissions
Alexandra de Blas,,AUS,en,Melbourne,@alexdeblas,not_sure,,Environmental Communicator,influencer,Environmental journalist and communicator
Julian Cribb,,AUS,en,Melbourne,@juliancribb,not_sure,,Science Writer,influencer,Science writer on global challenges
Lesley Hughes,,AUS,en,Melbourne,@lesleyhughes,not_sure,,Climate Council,influencer,Councillor at Climate Council
Rebecca Huntley,,AUS,en,Melbourne,@rebeccahuntley,not_sure,,Social Researcher,influencer,Researcher on climate change attitudes
John Wiseman,,AUS,en,Melbourne,@johnwiseman,not_sure,,Melbourne Sustainable Society Institute,influencer,Researcher on sustainability transitions
Fiona Armstrong,,AUS,en,Melbourne,@fiona_armstrong,not_sure,,Climate and Health Alliance,influencer,Founder of Climate and Health Alliance
Ross Garnaut,,AUS,en,Melbourne,@rossgarnaut,not_sure,,Economist and Author,influencer,Economist on climate policy
Amanda McKenzie,,AUS,en,Melbourne,@amandamckenzie,not_sure,,Climate Council,influencer,CEO of Climate Council
David Karoly,,AUS,en,Melbourne,@davidkaroly,not_sure,,Climate Scientist,influencer,Climate scientist and advisor
Peter Doherty,,AUS,en,Melbourne,@peterdoherty,not_sure,,Nobel Laureate,influencer,Nobel Laureate in Medicine
Sophie Taylor-Price,,AUS,en,Melbourne,@sophietaylorprice,not_sure,,Climate Advocate,influencer,Advocate for climate action
Ketan Joshi,,AUS,en,Melbourne,@ketanj0,@KetanJ0,,Energy and Climate Analyst,influencer,Analyst on energy and climate
Heidi Lee,,AUS,en,Melbourne,@heidi_lee,not_sure,,Beyond Zero Emissions,influencer,Director at Beyond Zero Emissions
Miriam Lyons,,AUS,en,Melbourne,@miriamlyons,not_sure,,Climate Advocate,influencer,Advocate for climate policy
Nick Aberle,,AUS,en,Melbourne,@nickaberle,not_sure,,Environment Victoria,influencer,Campaigns Manager at Environment Victoria
Kelly O'Shanassy,,AUS,en,Melbourne,@kellyoshana,not_sure,,Australian Conservation Foundation,influencer,CEO of Australian Conservation Foundation
Philippa Rowland,,AUS,en,Melbourne,@philippa_rowland,not_sure,,Multifaith SA,influencer,President of Multifaith SA
Linh Do,,AUS,en,Melbourne,@linhdo,@linhdo,,Climate Reality Project,influencer,Manager at Climate Reality Project
Simon Bradshaw,,AUS,en,Melbourne,@simon_bradshaw,not_sure,,Oxfam Australia,influencer,Climate change researcher at Oxfam
Natalie Isaacs,,AUS,en,Melbourne,@natisaacs,not_sure,,1 Million Women,influencer,Founder of 1 Million Women
Jonathan La Nauze,,AUS,en,Melbourne,@jonathanlanauze,not_sure,,Environment Victoria,influencer,CEO of Environment Victoria
Lucy Manne,,AUS,en,Melbourne,@lucymanne,not_sure,,350.org Australia,influencer,CEO of 350.org Australia
Claire O'Rourke,,AUS,en,Melbourne,@claireorourke,not_sure,,Climate and Energy Advocate,influencer,Advocate for climate and energy policy
Mark Wakeham,,AUS,en,Melbourne,@markwakeham,not_sure,,Environment Victoria,influencer,Former CEO of Environment Victoria
Anna Skarbek,,AUS,en,Melbourne,@annaskarbek,not_sure,,ClimateWorks Australia,influencer,CEO of ClimateWorks Australia
Tom Quinn,,AUS,en,Melbourne,@tomquinn,not_sure,,Future Business Council,influencer,Director at Future Business Council
Erwin Jackson,,AUS,en,Melbourne,@erwinjackson,not_sure,,Climate Policy Expert,influencer,Expert on climate policy
Emma Herd,,AUS,en,Melbourne,@emmaherd,not_sure,,Investor Group on Climate Change,influencer,CEO of IGCC
Chris Wright,,AUS,en,Melbourne,@chriswright,not_sure,,Climate-KIC Australia,influencer,CEO of Climate-KIC Australia
Taryn Lane,,AUS,en,Melbourne,@taryn_lane,not_sure,,Embark Australia,influencer,Director at Embark Australia
Nicky Ison,,AUS,en,Melbourne,@nickyison,not_sure,,Energy Transition Expert,influencer,Expert on renewable energy transition
Dan Ilic,,AUS,en,Melbourne,@danilic,@danilic,,A Rational Fear,influencer,Hosts A Rational Fear podcast
Cameron Jewell,,AUS,en,Melbourne,@cameronjewell,not_sure,,The Fifth Estate,influencer,Editor at The Fifth Estate
Jemma Green,,AUS,en,Melbourne,@jemma_green,@msjemmagreen,,Power Ledger,influencer,Co-founder of Power Ledger
Michael Mobbs,,AUS,en,Melbourne,@michaelmobbs,not_sure,,Sustainable House,influencer,Author on sustainable living
Terry Walshe,,AUS,en,Melbourne,@terrywalshe,not_sure,,Conservation Scientist,influencer,Conservation scientist and researcher
Sally Rugg,,AUS,en,Melbourne,@sallyrugg,@sallyrugg,,Change.org,influencer,Director at Change.org Australia
