name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Daniela Barragán,,CIT,en,Mexico,@danibarraganb,not_sure,,SinEmbargoMX,podcaster,Hosts political and environmental podcast
Andrés Vargas Russo,,CIT,en,Mexico,@andresvargasr,not_sure,,Puentes,podcaster,Hosts geopolitics and culture podcast
Valeria Moy,,CIT,en,Mexico,@valeriamoy,not_sure,,Nexos,podcaster,Economics and policy podcast host
Leonora Milán,,CIT,en,Mexico,@leomilan,not_sure,,Mandarax,podcaster,Science and environment podcast host
Alejandro Almazán,,CIT,en,Mexico,@a_almazan,not_sure,,El Hilo,podcaster,Journalist and podcast host on social issues
Ana Francisca Vega,,CIT,en,Mexico,@anafvega,not_sure,,MVS Noticias,podcaster,Hosts news and analysis podcast
Gabriela Warkentin,,CIT,en,Mexico,@warkentin,not_sure,,W Radio,podcaster,Hosts current affairs podcast
Javier Risco,,CIT,en,Mexico,@jrisco,not_sure,,La Nota Dura,podcaster,Political and social issues podcast host
Maca Carriedo,,CIT,en,Mexico,@maca_online,not_sure,,La Macanota,podcaster,Hosts podcast on current events
Julio Astillero,,CIT,en,Mexico,@julioastillero,not_sure,,Astillero Informa,podcaster,Political analysis podcast host
Pamela Cerdeira,,CIT,en,Mexico,@pamcerdeira,not_sure,,A Todo Terreno,podcaster,Hosts news and analysis podcast
Enrique Hernández Alcázar,,CIT,en,Mexico,@enriquehalcazar,not_sure,,Así las Cosas,podcaster,Hosts news and politics podcast
Mónica Escobedo,,CIT,en,Mexico,@monicaescobedo,not_sure,,La Hora Feliz,podcaster,Hosts comedy and culture podcast
José Luis Guzmán 'Miyagi',,CIT,en,Mexico,@jlgmiyagi,not_sure,,El Podcast de Miyagi,podcaster,Hosts podcast on culture and politics
Mariana Linares Cruz,,CIT,en,Mexico,@marianalinarescruz,not_sure,,W Radio,podcaster,Hosts culture and society podcast
Carlos Puig,,CIT,en,Mexico,@puigcarlos,@puigcarlos,,En EF y por Adela,podcaster,Hosts news and analysis podcast
Ana Paula Ordorica,,CIT,en,Mexico,@anapauordorica,@AnaPOrdorica,,Brújula,podcaster,Hosts geopolitics and news podcast
Luis Pablo Beauregard,,CIT,en,Mexico,@lpbeauregard,@lpbeauregard,,El País,podcaster,Hosts news and analysis podcast
Daniela Barranco,,CIT,en,Mexico,@danielabarranco,not_sure,,EcoPodcast MX,podcaster,Hosts EcoPodcast on climate issues
Juan Carlos Rulfo,,CIT,en,Mexico,@juancarlosrulfo,not_sure,,Documentary Filmmaker,podcaster,Focuses on environmental documentaries
Ana María Salazar,,CIT,en,Mexico,@anamsalazar,@AnaMSalazar,,Ana María Salazar,podcaster,Covers geopolitics and international affairs
Luis Miguel González,,CIT,en,Mexico,@luismiguelgp,not_sure,,El Economista,podcaster,Discusses economic impacts on environment
Leon Krauze,,CIT,en,Mexico,@leonkrauze,@LeonKrauze,,Univision,podcaster,Covers geopolitics and social issues
Martha Debayle,,CIT,en,Mexico,@marthadebayle,@marthadebayle,,Martha Debayle en W,podcaster,Discusses lifestyle and environmental topics
Luis Rivas,,CIT,en,Mexico,@luisrivas,not_sure,,Geopolítica Hoy,podcaster,Focuses on geopolitics and international affairs
Sergio Almazán,,CIT,en,Mexico,@sergioalmazan,not_sure,,El Podcast de Sergio Almazán,podcaster,Discusses Mexican history and geopolitics
Leonora Milán,,CIT,en,Mexico,@leonoramilan,@leonoramilan,,Mandarax,podcaster,Science podcast with environmental focus
Alejandro Franco,,CIT,en,Mexico,@alejandrofranco,not_sure,,WFM,podcaster,Covers cultural and environmental topics
Fernanda Tapia,,CIT,en,Mexico,@fernandatapiaoficial,@TapiaFernanda,,Fernanda Tapia Podcast,podcaster,Cultural and social commentary
Marta de Baile,,CIT,en,Mexico,@marthadebailen,not_sure,,Martha Debayle Show,podcaster,Hosts lifestyle and environment show
Pamela Cerdeira,,CIT,en,Mexico,@pamelacerdeira,@pamelacerdeira,,MVS Radio,podcaster,Covers social issues and environment
Ana Paula Ordorica,,CIT,en,Mexico,@anapaulaordorica,@AnaPOrdorica,,Televisa,podcaster,Covers international affairs
