name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace Russia,,RUS,ru,Moscow,@greenpeaceru,not_sure,,,activist,Prominent environmental NGO in Russia
Fridays For Future Russia,,RUS,ru,Moscow,@fff_russia,not_sure,,,activist,Youth climate movement in Russia
Ekaterina Shulman,,RUS,ru,Moscow,@ekaterina.shulman,not_sure,,Political Scientist,activist,Influential in geopolitics and climate discourse
Artemy Troitsky,,RUS,ru,Moscow,@artemytroitsky,not_sure,,Journalist and Activist,activist,Cultural and environmental advocate
Anna Kireeva,,RUS,ru,Moscow,@anna_kireeva,not_sure,,Bellona Foundation,activist,Environmental journalist and activist
Svetlana Gannushkina,,RUS,ru,Moscow,@svetlana.gannushkina,not_sure,,Civil Assistance Committee,activist,Human rights and peace advocate
Vladimir Slivyak,,RUS,ru,Moscow,@vladimir_slivyak,not_sure,,Ecodefense,activist,"Co-chair of Ecodefense, anti-nuclear activist"
Alexey Yablokov,,RUS,ru,Moscow,@alexey_yablokov,not_sure,,Environmental Scientist,activist,Prominent environmental scientist and activist
Oleg Bodrov,,RUS,ru,Moscow,@oleg_bodrov,not_sure,,Green World,activist,Leader in environmental protection initiatives
Olga Senova,,RUS,ru,Moscow,@olga_senova,not_sure,,Friends of the Baltic,activist,Focus on climate and water protection
Mikhail Kreindlin,,RUS,ru,Moscow,@mikhail_kreindlin,not_sure,,Greenpeace Russia,activist,Protected areas campaigner
Tatiana Pavlova,,RUS,ru,Moscow,@tatiana_pavlova,not_sure,,WWF Russia,activist,Climate and energy program leader
Vladimir Chuprov,,RUS,ru,Moscow,@vladimir_chuprov,not_sure,,Greenpeace Russia,activist,Energy program director
Evgenia Chirikova,,RUS,ru,Moscow,@evgenia_chirikova,not_sure,,Environmental Activist,activist,Khimki Forest defender
Dmitry Shevchenko,,RUS,ru,Moscow,@dmitry_shevchenko,not_sure,,Environmental Watch on North Caucasus,activist,Environmental and human rights advocate
Natalia Taubina,,RUS,ru,Moscow,@natalia_taubina,not_sure,,Public Verdict Foundation,activist,Human rights and peace initiatives
Sergey Tsyplenkov,,RUS,ru,Moscow,@sergey_tsyplenkov,not_sure,,Greenpeace Russia,activist,Executive director of Greenpeace Russia
Anastasia Denisova,,RUS,ru,Moscow,@anastasia_denisova,not_sure,,Environmental Activist,activist,Focus on climate change awareness
Andrey Zolotov,,RUS,ru,Moscow,@andrey_zolotov,not_sure,,Journalist and Activist,activist,Covers geopolitics and environmental issues
Maria Savostyanova,,RUS,ru,Moscow,@maria_savostyanova,not_sure,,Climate Action Network,activist,Coordinator for climate initiatives
Igor Chestin,,RUS,ru,Moscow,@igor_chestin,not_sure,,WWF Russia,activist,Director of WWF Russia
Elena Panova,,RUS,ru,Moscow,@elena_panova,not_sure,,UNDP Russia,activist,Focus on sustainable development
Alexander Nikitin,,RUS,ru,Moscow,@alexander_nikitin,not_sure,,Bellona Foundation,activist,Environmental and nuclear safety advocate
Olga Speranskaya,,RUS,ru,Moscow,@olga_speranskaya,not_sure,,Eco-Accord,activist,Environmental health and chemical safety
Andrey Petrov,,RUS,ru,Moscow,@andrey_petrov,not_sure,,Climate Activist,activist,Focus on renewable energy advocacy
Natalia Zubarevich,,RUS,ru,Moscow,@natalia_zubarevich,not_sure,,Geographer and Activist,activist,Expert on regional development and environment
Dmitry Artamonov,,RUS,ru,Moscow,@dmitry_artamonov,not_sure,,Greenpeace Russia,activist,Biodiversity and conservation advocate
Yulia Galyamina,,RUS,ru,Moscow,@yulia_galyamina,not_sure,,Political Activist,activist,Focus on urban environment and rights
Sergey Mitrokhin,,RUS,ru,Moscow,@sergey_mitrokhin,not_sure,,Yabloko Party,activist,Environmental and political activist
Anna Romanovskaya,,RUS,ru,Moscow,@anna_romanovskaya,not_sure,,Institute of Global Climate and Ecology,activist,Climate scientist and advocate
Vladimir Zakharov,,RUS,ru,Moscow,@vladimir_zakharov,not_sure,,Institute of Sustainable Development,activist,Focus on sustainable development policies
Irina Kozlova,,RUS,ru,Moscow,@irina_kozlova,not_sure,,Environmental Activist,activist,Focus on urban green spaces
Alexandra Koroleva,,RUS,ru,Moscow,@alexandra_koroleva,not_sure,,Ecodefense,activist,Environmental and anti-nuclear activist
Oksana Tarasova,,RUS,ru,Moscow,@oksana_tarasova,not_sure,,World Meteorological Organization,activist,Focus on climate change and air quality
Pavel Sulyandziga,,RUS,ru,Moscow,@pavel_sulyandziga,not_sure,,Indigenous Rights Activist,activist,Advocate for indigenous peoples and environment
Elena Sakirko,,RUS,ru,Moscow,@elena_sakirko,not_sure,,Greenpeace Russia,activist,Focus on climate and energy issues
Roman Pukalov,,RUS,ru,Moscow,@roman_pukalov,not_sure,,Greenpeace Russia,activist,Environmental scientist and activist
Natalia Solovyova,,RUS,ru,Moscow,@natalia_solovyova,not_sure,,Environmental Activist,activist,Focus on biodiversity and conservation
Yuri Shevchuk,,RUS,ru,Moscow,@yuri_shevchuk,not_sure,,Musician and Activist,activist,Advocate for peace and environment
Irina Prokhorova,,RUS,ru,Moscow,@irina_prokhorova,not_sure,,Cultural and Environmental Activist,activist,Focus on cultural heritage and environment
Alexey Kozlov,,RUS,ru,Moscow,@alexey_kozlov,not_sure,,Human Rights and Environmental Activist,activist,Focus on civil rights and environment
Marina Rikhvanova,,RUS,ru,Moscow,@marina_rikhvanova,not_sure,,Environmental Activist,activist,Focus on Lake Baikal protection
Sergey Udaltsov,,RUS,ru,Moscow,@sergey_udaltsov,not_sure,,Political and Environmental Activist,activist,Focus on social justice and environment
Olga Lenkova,,RUS,ru,Moscow,@olga_lenkova,not_sure,,Human Rights and Environmental Activist,activist,Focus on civil liberties and environment
Dmitry Muratov,,RUS,ru,Moscow,@dmitry_muratov,not_sure,,Novaya Gazeta,activist,"Editor-in-chief, focus on human rights and environment"
Natalia Estemirova,,RUS,ru,Moscow,@natalia_estemirova,not_found,,Human Rights Activist,activist,Focus on peace and human rights
Andrey Rudomakha,,RUS,ru,Moscow,@andrey_rudomakha,not_sure,,Environmental Watch on North Caucasus,activist,Focus on environmental protection and rights
Yulia Latynina,,RUS,ru,Moscow,@yulia_latynina,@YuliaLatynina,,Journalist and Activist,activist,Focus on geopolitics and environment
Oleg Orlov,,RUS,ru,Moscow,@oleg_orlov,not_sure,,Memorial,activist,Human rights and peace advocate
