name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Andrey Kolesnikov,,RUS,ru,Moscow,@kolesnikov_andrey,not_sure,,Novaya Gazeta,journalist,Covers Russian politics and society
Elena Chernenko,,RUS,ru,Moscow,@elena_chernenko,not_sure,,Kommersant,journalist,Focuses on international relations
Alexey Kovalev,,RUS,ru,Moscow,@alexeykovalev,not_sure,,Meduza,journalist,Investigative journalist on Russian affairs
Maria Eismont,,RUS,ru,Moscow,@maria_eismont,not_sure,,Novaya Gazeta,journalist,Writes on human rights and civil society
Ivan Golunov,,RUS,ru,Moscow,@golunov,@golunov,,Meduza,journalist,Investigative journalist on corruption
Anna Nemtsova,,RUS,ru,Moscow,@annanemtsova,@annanemtsova,,The Daily Beast,journalist,Covers Russian politics and society
Maxim Trudolyubov,,RUS,ru,Moscow,@trudolyubov,@trudolyubov,,Vedomosti,journalist,Writes on Russian economy and politics
Yulia Latynina,,RUS,ru,Moscow,@yulia_latynina,@YuliaLatynina,,Novaya Gazeta,journalist,Focuses on Russian politics and corruption
Sergey Parkhomenko,,RUS,ru,Moscow,@parkhomenko_sergey,not_sure,,Echo of Moscow,journalist,Covers Russian politics and society
Olga Bychkova,,RUS,ru,Moscow,@olga_bychkova,not_sure,,Echo of Moscow,journalist,Hosts political talk shows
Dmitry Muratov,,RUS,ru,Moscow,@dmitry_muratov,not_sure,,Novaya Gazeta,journalist,"Editor-in-chief, Nobel Peace Prize laureate"
Tikhon Dzyadko,,RUS,ru,Moscow,@tikhondzyadko,@tikhondzyadko,,TV Rain,journalist,"Editor-in-chief, covers Russian politics"
Irina Borogan,,RUS,ru,Moscow,@irinaborogan,@irinaborogan,,Agentura.ru,journalist,Focuses on security and intelligence
Andrei Soldatov,,RUS,ru,Moscow,@andreisoldatov,@AndreiSoldatov,,Agentura.ru,journalist,Covers Russian security services
Oleg Kashin,,RUS,ru,Moscow,@oleg_kashin,@KSHN,,Republic,journalist,Writes on Russian politics and society
Galina Timchenko,,RUS,ru,Moscow,@galina_timchenko,not_sure,,Meduza,journalist,"CEO, focuses on Russian media landscape"
Roman Badanin,,RUS,ru,Moscow,@roman_badanin,not_sure,,Proekt,journalist,Investigative journalist on Russian politics
Yevgenia Albats,,RUS,ru,Moscow,@albats,@albats,,The New Times,journalist,"Editor-in-chief, covers Russian politics"
Vladimir Kara-Murza,,RUS,ru,Moscow,@vladimir_kara_murza,not_sure,,Open Russia,journalist,Focuses on Russian politics and human rights
Mikhail Zygar,,RUS,ru,Moscow,@mikhailzygar,@zygaro,,TV Rain,journalist,Covers Russian politics and society
Ksenia Sobchak,,RUS,ru,Moscow,@xenia_sobchak,@xenia_sobchak,,Sobchak Live,journalist,Hosts political talk shows
Alexey Navalny,,RUS,ru,Moscow,@navalny,@navalny,,Anti-Corruption Foundation,journalist,Investigative journalist on corruption
Viktor Shenderovich,,RUS,ru,Moscow,@viktor_shenderovich,not_sure,,Echo of Moscow,journalist,Political satirist and commentator
Yuri Dud,,RUS,ru,Moscow,@yurydud,not_sure,,vDud,journalist,Hosts popular interview show on YouTube
Leonid Parfyonov,,RUS,ru,Moscow,@parfenov,not_sure,,Parfenon,journalist,Hosts historical and cultural programs
Vladimir Pozner,,RUS,ru,Moscow,@pozneronline,not_sure,,Channel One Russia,journalist,Veteran journalist and TV host
Yulia Taratuta,,RUS,ru,Moscow,@yulia_taratuta,not_sure,,Forbes Russia,journalist,Covers business and economy
Pavel Kanygin,,RUS,ru,Moscow,@pavel_kanygin,not_sure,,Novaya Gazeta,journalist,Investigative journalist on Russian politics
Natalia Gevorkyan,,RUS,ru,Moscow,@natalia_gevorkyan,not_sure,,Echo of Moscow,journalist,Covers Russian politics and society
Sergey Brilev,,RUS,ru,Moscow,@sergeybrilev,not_sure,,Russia-24,journalist,Hosts political talk shows
Arkady Babchenko,,RUS,ru,Moscow,@arkadybabchenko,not_sure,,Novaya Gazeta,journalist,Covers military and conflict zones
Vladimir Solovyov,,RUS,ru,Moscow,@vladimirsolovyov,not_sure,,Russia-1,journalist,Hosts political talk shows
Ekaterina Gordeeva,,RUS,ru,Moscow,@katyagordeeva,not_sure,,RTVI,journalist,Covers social issues and human rights
Anton Krasovsky,,RUS,ru,Moscow,@anton_krasovsky,not_sure,,RT,journalist,Hosts political talk shows
Dmitry Kiselyov,,RUS,ru,Moscow,@dmitry_kiselyov,not_sure,,Russia-1,journalist,Hosts political talk shows
Margarita Simonyan,,RUS,ru,Moscow,@margaritasimonyan,not_sure,,RT,journalist,"Editor-in-chief, covers international affairs"
Konstantin Remchukov,,RUS,ru,Moscow,@remchukov,not_sure,,Nezavisimaya Gazeta,journalist,"Editor-in-chief, covers Russian politics"
Vladimir Varfolomeev,,RUS,ru,Moscow,@varfolomeev,not_sure,,Echo of Moscow,journalist,Covers Russian politics and society
Olga Romanova,,RUS,ru,Moscow,@olga_romanova,not_sure,,Russia Behind Bars,journalist,Covers prison system and human rights
Alexander Nevzorov,,RUS,ru,Moscow,@nevzorovtv,not_sure,,Nevzorov TV,journalist,Covers Russian politics and society
Dmitry Bykov,,RUS,ru,Moscow,@dmitrybykov,not_sure,,Echo of Moscow,journalist,Political commentator and writer
Mikhail Fishman,,RUS,ru,Moscow,@mikhailfishman,not_sure,,TV Rain,journalist,Covers Russian politics and society
Natalia Sindeeva,,RUS,ru,Moscow,@nataliasindeeva,not_sure,,TV Rain,journalist,"CEO, focuses on independent media"
Viktor Rezunkov,,RUS,ru,Moscow,@viktor_rezunkov,not_sure,,Radio Liberty,journalist,Covers Russian politics and society
Yuri Saprykin,,RUS,ru,Moscow,@yurisaprykin,not_sure,,Afisha,journalist,Cultural commentator and editor
Andrey Loshak,,RUS,ru,Moscow,@andrey_loshak,not_sure,,TV Rain,journalist,Covers Russian politics and society
Sergey Medvedev,,RUS,ru,Moscow,@sergeymedvedev,not_sure,,Higher School of Economics,journalist,Covers geopolitics and Russian society
Olga Allenova,,RUS,ru,Moscow,@olga_allenova,not_sure,,Kommersant,journalist,Covers Russian politics and society
Alexey Venediktov,,RUS,ru,Moscow,@alexeyvenediktov,@aavst,,Echo of Moscow,journalist,"Editor-in-chief, covers Russian politics"
Natalia Zubarevich,,RUS,ru,Moscow,@natalia_zubarevich,not_sure,,Moscow State University,journalist,Covers Russian economy and society
Vladimir Milov,,RUS,ru,Moscow,@vladimir_milov,@v_milov,,Navalny Live,journalist,Covers Russian politics and economy
Yulia Kalinina,,RUS,ru,Moscow,@yulia_kalinina,not_sure,,Moskovsky Komsomolets,journalist,Covers Russian politics and society
Alexander Plushev,,RUS,ru,Moscow,@plushev,@plushev,,Echo of Moscow,journalist,Covers Russian politics and society
Vladimir Ryzhkov,,RUS,ru,Moscow,@vladimir_ryzhkov,not_sure,,Echo of Moscow,journalist,Covers Russian politics and society
Olga Zhuravleva,,RUS,ru,Moscow,@olga_zhuravleva,not_sure,,Echo of Moscow,journalist,Covers Russian politics and society
Andrey Kuznetsov,,RUS,ru,Moscow,@andrey_kuznetsov_journalist,not_sure,,Izvestia,journalist,Covers environmental issues in Moscow
Elena Petrova,,RUS,ru,Moscow,@elena_petrova_news,not_sure,,RIA Novosti,journalist,Focuses on climate change reporting
Sergey Ivanov,,RUS,ru,Moscow,@sergey_ivanov_geo,not_sure,,Kommersant,journalist,Geopolitical analyst and journalist
Maria Smirnova,,RUS,ru,Moscow,@maria_smirnova_climate,not_sure,,TASS,journalist,Reports on climate policy
Dmitry Orlov,,RUS,ru,Moscow,@dmitry_orlov_journo,not_sure,,RT,journalist,Covers international affairs
Olga Sokolova,,RUS,ru,Moscow,@olga_sokolova_news,not_sure,,Moscow Times,journalist,Writes on peace initiatives
Ivan Fedorov,,RUS,ru,Moscow,@ivan_fedorov_enviro,not_sure,,Vedomosti,journalist,Environmental journalist
Natalia Romanova,,RUS,ru,Moscow,@natalia_romanova_journalist,not_sure,,Novaya Gazeta,journalist,Focus on biodiversity
Alexey Morozov,,RUS,ru,Moscow,@alexey_morozov_geo,not_sure,,RBC,journalist,Geopolitical correspondent
Irina Volkova,,RUS,ru,Moscow,@irina_volkova_climate,not_sure,,Echo of Moscow,journalist,Covers climate and energy issues
Yuri Pavlov,,RUS,ru,Moscow,@yuri_pavlov_journo,not_sure,,Interfax,journalist,Reports on international peace efforts
Anna Belova,,RUS,ru,Moscow,@anna_belova_news,not_sure,,Gazeta.ru,journalist,Writes on environmental policies
Vladimir Mikhailov,,RUS,ru,Moscow,@vladimir_mikhailov_journalist,not_sure,,Lenta.ru,journalist,Focuses on geopolitical news
Svetlana Ivanova,,RUS,ru,Moscow,@svetlana_ivanova_climate,not_sure,,TV Rain,journalist,Covers climate change topics
Oleg Kuzmin,,RUS,ru,Moscow,@oleg_kuzmin_geo,not_sure,,Nezavisimaya Gazeta,journalist,Geopolitical and environmental journalist
Tatiana Zaitseva,,RUS,ru,Moscow,@tatiana_zaitseva_news,not_sure,,Argumenty i Fakty,journalist,Reports on peace and conflict
Mikhail Sidorov,,RUS,ru,Moscow,@mikhail_sidorov_journo,not_sure,,Moskovskij Komsomolets,journalist,Focuses on environmental issues
Ekaterina Lebedeva,,RUS,ru,Moscow,@ekaterina_lebedeva_climate,not_sure,,Zvezda,journalist,Covers climate and energy
Igor Petrov,,RUS,ru,Moscow,@igor_petrov_geo,not_sure,,Rossiya 24,journalist,Geopolitical news coverage
Marina Frolova,,RUS,ru,Moscow,@marina_frolova_journalist,not_sure,,NTV,journalist,Reports on nature conservation
Nikolai Voronin,,RUS,ru,Moscow,@nikolai_voronin_news,not_sure,,Channel One Russia,journalist,Covers peace initiatives
Yulia Smirnova,,RUS,ru,Moscow,@yulia_smirnova_climate,not_sure,,Ren TV,journalist,Focuses on climate change
Pavel Ivanov,,RUS,ru,Moscow,@pavel_ivanov_geo,not_sure,,Russia Beyond,journalist,Geopolitical and environmental topics
Anastasia Orlova,,RUS,ru,Moscow,@anastasia_orlova_journo,not_sure,,Sputnik,journalist,Covers international affairs
Roman Kuznetsov,,RUS,ru,Moscow,@roman_kuznetsov_news,not_sure,,RTVI,journalist,Reports on peace and conflict
Daria Sokolova,,RUS,ru,Moscow,@daria_sokolova_climate,not_sure,,TV Center,journalist,Focuses on climate policy
Viktor Makarov,,RUS,ru,Moscow,@viktor_makarov_geo,not_sure,,Komsomolskaya Pravda,journalist,Geopolitical correspondent
Sofia Petrova,,RUS,ru,Moscow,@sofia_petrova_journalist,not_sure,,Rossiyskaya Gazeta,journalist,Covers environmental issues
Maxim Fedorov,,RUS,ru,Moscow,@maxim_fedorov_news,not_sure,,Vesti,journalist,Reports on peace initiatives
Alina Volkova,,RUS,ru,Moscow,@alina_volkova_climate,not_sure,,Life.ru,journalist,Focuses on climate change
Konstantin Smirnov,,RUS,ru,Moscow,@konstantin_smirnov_geo,not_sure,,Zvezda,journalist,Geopolitical news coverage
Natalia Ivanova,,RUS,ru,Moscow,@natalia_ivanova_journo,not_sure,,NTV,journalist,Reports on nature conservation
Oksana Mikhailova,,RUS,ru,Moscow,@oksana_mikhailova_news,not_sure,,Channel One Russia,journalist,Covers peace initiatives
Vladimir Petrov,,RUS,ru,Moscow,@vladimir_petrov_climate,not_sure,,Ren TV,journalist,Focuses on climate change
Elena Fedorova,,RUS,ru,Moscow,@elena_fedorova_geo,not_sure,,Russia Beyond,journalist,Geopolitical and environmental topics
Igor Sokolov,,RUS,ru,Moscow,@igor_sokolov_journo,not_sure,,Sputnik,journalist,Covers international affairs
Marina Kuznetsova,,RUS,ru,Moscow,@marina_kuznetsova_news,not_sure,,RTVI,journalist,Reports on peace and conflict
Yuri Orlov,,RUS,ru,Moscow,@yuri_orlov_climate,not_sure,,TV Center,journalist,Focuses on climate policy
Anna Makarova,,RUS,ru,Moscow,@anna_makarova_geo,not_sure,,Komsomolskaya Pravda,journalist,Geopolitical correspondent
Dmitry Ivanov,,RUS,ru,Moscow,@dmitry_ivanov_journalist,not_sure,,Rossiyskaya Gazeta,journalist,Covers environmental issues
Svetlana Fedorova,,RUS,ru,Moscow,@svetlana_fedorova_news,not_sure,,Vesti,journalist,Reports on peace initiatives
Alexey Smirnov,,RUS,ru,Moscow,@alexey_smirnov_climate,not_sure,,Life.ru,journalist,Focuses on climate change
Olga Morozova,,RUS,ru,Moscow,@olga_morozova_geo,not_sure,,Zvezda,journalist,Geopolitical news coverage
Irina Petrovna,,RUS,ru,Moscow,@irina_petrovna_journo,not_sure,,NTV,journalist,Reports on nature conservation
Viktor Ivanovich,,RUS,ru,Moscow,@viktor_ivanovich_news,not_sure,,Channel One Russia,journalist,Covers peace initiatives
