name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Bill McKibben,,YOR,en,New,@billmckibben,@billmckibben,,350.org,activist,"Co-founder of 350.org, climate activist"
Jamie Margolin,,YOR,en,New,@jamie_s_margolin,@jamie_margolin,,Zero Hour,activist,"Co-founder of Zero Hour, youth climate activist"
Xiuhtezcatl Martinez,,YOR,en,New,@xiuhtezcatl,@xiuhtezcatl,,Earth Guardians,activist,Youth director of Earth Guardians
Leah Thomas,,YOR,en,New,@greengirlleah,@greengirlleah,,Intersectional Environmentalist,activist,Founder of Intersectional Environmentalist
Elizabeth Yeampierre,,YOR,en,New,@elizabethyeampierre,not_sure,,UPROSE,activist,"Executive Director of UPROSE, climate justice leader"
Varshini Prakash,,YOR,en,New,@varshprakash,@VarshPrakash,,Sunrise Movement,activist,Co-founder of Sunrise Movement
Rhiana Gunn-Wright,,YOR,en,New,@rgunns,@rgunns,,Roosevelt Institute,activist,"Climate policy expert, Green New Deal architect"
Naomi Klein,,YOR,en,New,@naomiaklein,@NaomiAKlein,,The Leap,activist,"Author and activist, climate justice advocate"
Adrienne Maree Brown,,YOR,en,New,@adriennemareebrown,@adriennemaree,,Emergent Strategy,activist,"Author and activist, focuses on social justice"
Alicia Garza,,YOR,en,New,@chasinggarza,@aliciagarza,,Black Futures Lab,activist,"Co-founder of Black Lives Matter, social justice advocate"
Greta Thunberg,,YOR,en,New,@gretathunberg,@GretaThunberg,,Fridays for Future,activist,"Climate activist, global influence"
Winona LaDuke,,YOR,en,New,@winonaladuke,@WinonaLaduke,,Honor the Earth,activist,Indigenous rights and environmental activist
Tara Houska,,YOR,en,New,@zhaabowekwe,@zhaabowekwe,,Giniw Collective,activist,Indigenous rights and environmental activist
Ayana Elizabeth Johnson,,YOR,en,New,@ayanaeliza,@ayanaeliza,,Ocean Collectiv,activist,Marine biologist and policy expert
Alexandria Villaseñor,,YOR,en,New,@alexandriav2005,@AlexandriaV2005,,Earth Uprising,activist,"Youth climate activist, founder of Earth Uprising"
Vic Barrett,,YOR,en,New,@vict_barrett,@vict_barrett,,Our Children's Trust,activist,"Youth climate activist, Our Children's Trust"
Nina Gualinga,,YOR,en,New,@ninagualinga,not_sure,,Indigenous rights advocate,activist,Indigenous rights and environmental activist
