name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Bill McKibben,,YOR,en,New,@billmckibben,@billmckibben,,350.org,journalist,Climate change author and activist
Elizabeth Kolbert,,YOR,en,New,@elizabethkolbert,@ElizKolbert,,The New Yorker,journalist,Writes on climate and environment
Andrew Revkin,,YOR,en,New,@revkin,@Revkin,,Columbia University,journalist,Focuses on climate change and sustainability
David Wallace-Wells,,YOR,en,New,@dwallacewells,@dwallacewells,,New York Magazine,journalist,Covers climate change and global warming
Somini Sengupta,,YOR,en,New,@somini_sengupta,@SominiSengupta,,The New York Times,journalist,Covers climate change and environment
Justin Worland,,YOR,en,New,@justinworland,@JustinWorland,,TIME Magazine,journalist,Covers climate change and energy
Lisa Friedman,,YOR,en,New,@lisafriedman,@LFFriedman,,The New York Times,journalist,Covers climate and environmental policy
Coral Davenport,,YOR,en,New,@coraldavenport,@CoralMDavenport,,The New York Times,journalist,Covers energy and environment policy
Tatiana Schlossberg,,YOR,en,New,@tatianaschlossberg,not_sure,,Author,journalist,Writes on climate change and environment
Nathaniel Rich,,YOR,en,New,@nathanielrich,@NathanielRich,,The New York Times,journalist,Covers climate change and environmental issues
Jeff Goodell,,YOR,en,New,@jeffgoodell,@jeffgoodell,,Rolling Stone,journalist,Writes on climate change and energy
Emily Atkin,,YOR,en,New,@emorwee,@emorwee,,Heated,journalist,Covers climate change and policy
Amy Westervelt,,YOR,en,New,@amywestervelt,@amywestervelt,,Drilled Podcast,journalist,Investigates climate change and energy
Eric Holthaus,,YOR,en,New,@ericholthaus,@EricHolthaus,,The Correspondent,journalist,Covers climate change and weather
Naomi Klein,,YOR,en,New,@naomiaklein,@NaomiAKlein,,The Intercept,journalist,Writes on climate change and capitalism
Kate Aronoff,,YOR,en,New,@katearonoff,@KateAronoff,,The New Republic,journalist,Covers climate change and politics
Rebecca Leber,,YOR,en,New,@rebleber,not_sure,,Mother Jones,journalist,Covers climate change and environment
Brian Kahn,,YOR,en,New,@blkahn,@blkahn,,Earther,journalist,Covers climate change and environment
Emily Holden,,YOR,en,New,@emilyhholden,@emilyhholden,,Floodlight,journalist,Covers climate change and energy
Kendra Pierre-Louis,,YOR,en,New,@kendrawrites,@kendrawrites,,Grist,journalist,Covers climate change and environment
Zoya Teirstein,,YOR,en,New,@zteirstein,@zteirstein,,Grist,journalist,Covers climate change and health
Maddie Stone,,YOR,en,New,@themadstone,@themadstone,,Freelance,journalist,Covers climate change and science
Yessenia Funes,,YOR,en,New,@yessfun,@yessfun,,Atmos,journalist,Covers climate change and environment
Brian Resnick,,YOR,en,New,@b_resnick,@B_resnick,,Vox,journalist,Covers science and climate change
Umair Irfan,,YOR,en,New,@umairfan,@umairfan,,Vox,journalist,Covers climate change and energy
John Schwartz,,YOR,en,New,@jswatz,@jswatz,,The New York Times,journalist,Covers climate change and environment
Hiroko Tabuchi,,YOR,en,New,@hirokotabuchi,@HirokoTabuchi,,The New York Times,journalist,Covers climate change and energy
Brad Plumer,,YOR,en,New,@bradplumer,@bradplumer,,The New York Times,journalist,Covers climate change and environment
Henry Fountain,,YOR,en,New,@henryfountain,@henryfountain,,The New York Times,journalist,Covers climate change and science
Christopher Flavelle,,YOR,en,New,@cflav,@cflav,,The New York Times,journalist,Covers climate change and policy
Lisa Song,,YOR,en,New,@lisasong,not_sure,,ProPublica,journalist,Covers climate change and environment
Neela Banerjee,,YOR,en,New,@neelabanerjee,not_sure,,InsideClimate News,journalist,Covers climate change and energy
Phil McKenna,,YOR,en,New,@mckennaphil,not_sure,,InsideClimate News,journalist,Covers climate change and environment
Marianne Lavelle,,YOR,en,New,@mlavelle,not_sure,,InsideClimate News,journalist,Covers climate change and policy
Nicholas Kusnetz,,YOR,en,New,@nkusnetz,not_sure,,InsideClimate News,journalist,Covers climate change and energy
Sabrina Shankman,,YOR,en,New,@shankman,@shankman,,InsideClimate News,journalist,Covers climate change and environment
Danielle Venton,,YOR,en,New,@danielleventon,not_sure,,NPR,journalist,Covers climate change and science
Ari Shapiro,,YOR,en,New,@arishapiro,@arishapiro,,NPR,journalist,Covers climate change and geopolitics
Sam Sanders,,YOR,en,New,@samsanders,@samsanders,,NPR,journalist,Covers climate change and culture
Maddie Sofia,,YOR,en,New,@maddie_sofia,@maddie_sofia,,NPR,journalist,Covers climate change and science
Scott Detrow,,YOR,en,New,@scottdetrow,@scottdetrow,,NPR,journalist,Covers climate change and politics
Ailsa Chang,,YOR,en,New,@ailsachang,@ailsachang,,NPR,journalist,Covers climate change and geopolitics
Mary Louise Kelly,,YOR,en,New,@nprmarylouise,@NPRKelly,,NPR,journalist,Covers climate change and geopolitics
Rachel Martin,,YOR,en,New,@rachelmartinnpr,@rachelmartin,,NPR,journalist,Covers climate change and geopolitics
Steve Inskeep,,YOR,en,New,@nprinskeep,@NPRinskeep,,NPR,journalist,Covers climate change and geopolitics
Noel King,,YOR,en,New,@noelking,not_sure,,NPR,journalist,Covers climate change and geopolitics
David Folkenflik,,YOR,en,New,@davidfolkenflik,@davidfolkenflik,,NPR,journalist,Covers climate change and media
Mara Liasson,,YOR,en,New,@maraliasson,@MaraLiasson,,NPR,journalist,Covers climate change and politics
Michel Martin,,YOR,en,New,@nprmichel,@NPRMichel,,NPR,journalist,Covers climate change and culture
Audie Cornish,,YOR,en,New,@audiecornish,@AudieCornish,,NPR,journalist,Covers climate change and culture
Lulu Garcia-Navarro,,YOR,en,New,@lourdesgnavarro,@lourdesgnavarro,,NPR,journalist,Covers climate change and geopolitics
Peter Overby,,YOR,en,New,@peteroverby,not_sure,,NPR,journalist,Covers climate change and politics
Tamara Keith,,YOR,en,New,@tamarakeithnpr,@tamarakeithNPR,,NPR,journalist,Covers climate change and politics
Domenico Montanaro,,YOR,en,New,@domenicomp,@DomenicoNPR,,NPR,journalist,Covers climate change and politics
Ron Elving,,YOR,en,New,@ronelving,@NPRrelving,,NPR,journalist,Covers climate change and politics
Susan Davis,,YOR,en,New,@dcsusandavis,@DaviSusan,,NPR,journalist,Covers climate change and politics
Dan Charles,,YOR,en,New,@dancharlesnpr,not_sure,,NPR,journalist,Covers climate change and agriculture
Alina Selyukh,,YOR,en,New,@alinaselyukh,@alinaselyukh,,NPR,journalist,Covers climate change and technology
Chris Arnold,,YOR,en,New,@chrisarnoldnpr,@Chris_ArnoldNPR,,NPR,journalist,Covers climate change and economy
Jim Zarroli,,YOR,en,New,@jimzarroli,@JimZarroli,,NPR,journalist,Covers climate change and economy
Scott Horsley,,YOR,en,New,@horsleyscott,@HorsleyScott,,NPR,journalist,Covers climate change and economy
Jackie Northam,,YOR,en,New,@jackienortham,not_sure,,NPR,journalist,Covers climate change and geopolitics
Tom Gjelten,,YOR,en,New,@tgjelten,@tgjelten,,NPR,journalist,Covers climate change and geopolitics
Michele Kelemen,,YOR,en,New,@michelekelemen,@michelekelemen,,NPR,journalist,Covers climate change and geopolitics
Greg Myre,,YOR,en,New,@gregmyre1,@gregmyre1,,NPR,journalist,Covers climate change and geopolitics
Frank Langfitt,,YOR,en,New,@franklangfitt,@franklangfitt,,NPR,journalist,Covers climate change and geopolitics
Eleanor Beardsley,,YOR,en,New,@elabeardsley,@Elabeardsley,,NPR,journalist,Covers climate change and geopolitics
Joanna Kakissis,,YOR,en,New,@joannakakissis,@joannakakissis,,NPR,journalist,Covers climate change and geopolitics
Jason Beaubien,,YOR,en,New,@jasonbeaubien,@jasonbnpr,,NPR,journalist,Covers climate change and health
Michaeleen Doucleff,,YOR,en,New,@foodiescience,@foodiescience,,NPR,journalist,Covers climate change and health
Allison Aubrey,,YOR,en,New,@allisonaubrey,@allisonaubrey,,NPR,journalist,Covers climate change and health
Richard Harris,,YOR,en,New,@rharrisnpr,not_sure,,NPR,journalist,Covers climate change and science
Joe Palca,,YOR,en,New,@joepalca,@joepalca,,NPR,journalist,Covers climate change and science
Jon Hamilton,,YOR,en,New,@jonhamiltonnpr,not_sure,,NPR,journalist,Covers climate change and science
Rob Stein,,YOR,en,New,@robsteinnews,not_sure,,NPR,journalist,Covers climate change and health
Patti Neighmond,,YOR,en,New,@pattineighmond,not_sure,,NPR,journalist,Covers climate change and health
Maria Godoy,,YOR,en,New,@mariagodoynpr,not_sure,,NPR,journalist,Covers climate change and health
Richard Knox,,YOR,en,New,@richardknox,not_sure,,NPR,journalist,Covers climate change and health
