name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Amy Westervelt,,YOR,en,New,@amywestervelt,@amywestervelt,,Drilled Podcast,podcaster,Hosts climate change podcast
Mary Annaïse Heglar,,YOR,en,New,@maryheglar,@MaryHeglar,,Hot Take Podcast,podcaster,Co-hosts climate podcast
Alex Blumberg,,YOR,en,New,@abexlumberg,@abexlumberg,,Gimlet Media,podcaster,Co-founder of Gimlet Media
Leah Stokes,,YOR,en,New,@leahstokes,@leahstokes,,A Matter of Degrees,podcaster,Co-hosts climate podcast
Kendra Pierre-Louis,,YOR,en,New,@kendrawrites,@KendraWrites,,How to Save a Planet,podcaster,Co-hosts climate podcast
Dr. Ayana Elizabeth Johnson,,YOR,en,New,@ayanaeliza,@ayanaeliza,,How to Save a Planet,podcaster,Co-hosts climate podcast
Jason Bordoff,,YOR,en,New,@jasonbordoff,@JasonBordoff,,Columbia Energy Exchange,podcaster,Hosts energy policy podcast
Stephen Lacey,,YOR,en,New,@stphn_lacey,@Stphn_Lacey,,The Energy Gang,podcaster,Hosts energy podcast
David Roberts,,YOR,en,New,@drvox,@drvox,,Volts Podcast,podcaster,Hosts climate podcast
Emily Atkin,,YOR,en,New,@emorwee,@emorwee,,Heated Podcast,podcaster,Hosts climate change podcast
Danielle Moodie,,YOR,en,New,@deetwocents,@DeeTwoCents,,Woke AF Daily,podcaster,Hosts social justice podcast
Vanessa Nakate,,YOR,en,New,@vanessanakate1,@vanessa_vash,,Youth Climate Activist,podcaster,Climate activist and speaker
Bill McKibben,,YOR,en,New,@billmckibben,@billmckibben,,The Climate Crisis,podcaster,Environmentalist and author
Naomi Klein,,YOR,en,New,@naomiklein,@NaomiAKlein,,This Changes Everything,podcaster,Author and activist
Ezra Klein,,YOR,en,New,@ezraklein,@ezraklein,,The Ezra Klein Show,podcaster,Hosts politics and policy podcast
Jemele Hill,,YOR,en,New,@jemelehill,@jemelehill,,Jemele Hill is Unbothered,podcaster,Hosts culture and politics podcast
Mehdi Hasan,,YOR,en,New,@mehdirhasan,@mehdirhasan,,The Mehdi Hasan Show,podcaster,Hosts political analysis podcast
Kara Swisher,,YOR,en,New,@karaswisher,@karaswisher,,Sway Podcast,podcaster,Hosts tech and politics podcast
Michael Barbaro,,YOR,en,New,@mikiebarb,@mikiebarb,,The Daily,podcaster,Hosts news podcast
Sam Sanders,,YOR,en,New,@samsanders,@samsanders,,Into It,podcaster,Hosts culture and politics podcast
Roxane Gay,,YOR,en,New,@roxanegay74,@rgay,,Hear to Slay,podcaster,Hosts culture and politics podcast
Alicia Garza,,YOR,en,New,@chasinggarza,@aliciagarza,,Lady Don't Take No,podcaster,Hosts social justice podcast
Brittany Packnett Cunningham,,YOR,en,New,@mspackyetti,@MsPackyetti,,Undistracted,podcaster,Hosts social justice podcast
Trevor Noah,,YOR,en,New,@trevornoah,@Trevornoah,,The Daily Show,podcaster,Hosts political comedy show
Jon Favreau,,YOR,en,New,@jonfavs,@jonfavs,,Pod Save America,podcaster,Hosts political podcast
Jon Lovett,,YOR,en,New,@jonlovett,@jonlovett,,Pod Save America,podcaster,Hosts political podcast
Tommy Vietor,,YOR,en,New,@tvietor08,@TVietor08,,Pod Save America,podcaster,Hosts political podcast
Ana Kasparian,,YOR,en,New,@anakasparianofficial,@AnaKasparian,,The Young Turks,podcaster,Hosts political commentary show
Cenk Uygur,,YOR,en,New,@cenkuygur,@cenkuygur,,The Young Turks,podcaster,Hosts political commentary show
Francesca Fiorentini,,YOR,en,New,@franifio,@franifio,,The Bitchuation Room,podcaster,Hosts political commentary podcast
Hasan Piker,,YOR,en,New,@hasandpiker,@hasanthehun,,The HasanAbi Podcast,podcaster,Hosts political commentary podcast
Sarah Kendzior,,YOR,en,New,@sarahkendzior,@sarahkendzior,,Gaslit Nation,podcaster,Hosts political analysis podcast
Andrea Chalupa,,YOR,en,New,@andreachalupa,@AndreaChalupa,,Gaslit Nation,podcaster,Hosts political analysis podcast
Ben Rhodes,,YOR,en,New,@brhodes,@brhodes,,Pod Save the World,podcaster,Hosts foreign policy podcast
