name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Cyril Dion,,FRA,fr,Paris,@cyrildion,@cyrildion,,,activist,Environmental activist and filmmaker
Camille Etienne,,FRA,fr,Paris,@graine_de_possible,@CamilleEtienne_,,,activist,Climate activist and speaker
Alice Barbe,,FRA,fr,Paris,@alicebarbe,not_sure,,,activist,"Co-founder of Singa, refugee rights"
Adélaïde Charlier,,FRA,fr,Paris,@adelaidecharlier,@adelaidecharli1,,,activist,Youth climate activist
Valérie Masson-Delmotte,,FRA,fr,Paris,@valmasdel,@valmasdel,,,activist,Climate scientist and IPCC member
Lucie Pinson,,FRA,fr,Paris,@lucie_pinson,not_sure,,,activist,"Environmental activist, finance sector focus"
Marie Toussaint,,FRA,fr,Paris,@marietoussaint.eu,@marietouss1,,,activist,"MEP, environmental lawyer"
Juliette Rousseau,,FRA,fr,Paris,@julietterousseau,not_sure,,,activist,Author and climate activist
Clémence Dubois,,FRA,fr,Paris,@clemdubois,not_sure,,,activist,Campaigner at 350.org France
Pauline Boyer,,FRA,fr,Paris,@paulineboyer,not_sure,,,activist,"Climate activist, Alternatiba"
Thomas Wagner,,FRA,fr,Paris,@thomaswagner,not_sure,,,activist,"Environmental activist, Zero Waste France"
Léa Falco,,FRA,fr,Paris,@lea_falco,not_sure,,,activist,Youth climate activist
Raphaël Glucksmann,,FRA,fr,Paris,@raphaelglucksmann,@rglucks1,,,activist,"MEP, human rights and climate"
Hugo Viel,,FRA,fr,Paris,@hugoviel,not_sure,,,activist,Youth climate activist
Clara Mayer,,FRA,fr,Paris,@clara_mayer,not_sure,,,activist,"Climate activist, Fridays for Future"
Jean-Marc Jancovici,,FRA,fr,Paris,@jeanmarcjancovici,@JMJancovici,,,activist,Energy and climate expert
Laetitia Van Eeckhout,,FRA,fr,Paris,@laetitiavaneeckhout,not_sure,,,activist,Journalist and environmental activist
Yann Arthus-Bertrand,,FRA,fr,Paris,@yannarthusbertrand,not_sure,,,activist,Photographer and environmentalist
Hélène Le Teno,,FRA,fr,Paris,@helenelteno,not_sure,,,activist,Sustainability expert and activist
Nicolas Hulot,,FRA,fr,Paris,@nicolashulot,not_sure,,,activist,Environmental activist and former minister
Anne-Sophie Novel,,FRA,fr,Paris,@annesophienovel,not_sure,,,activist,Journalist and eco-activist
Baptiste Giraud,,FRA,fr,Paris,@baptistegiraud,not_sure,,,activist,"Climate activist, Greenpeace France"
