name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Fondation pour la Nature et l'Homme,,FRA,fr,Paris,@fondation_nature_homme,@FondationNH,,,other,Prominent environmental NGO in France
Greenpeace France,,FRA,fr,Paris,@greenpeacefr,@greenpeacefr,,,other,Active in climate and environmental advocacy
Réseau Action Climat,,FRA,fr,Paris,@reseauactionclimat,@RACFrance,,,other,Coalition of climate-focused NGOs
France Nature Environnement,,FRA,fr,Paris,@francenatureenvironnement,@FNEasso,,,other,Federation of French environmental organizations
Alternatiba Paris,,FRA,fr,Paris,@alternatiba_paris,@Alternatiba75,,,other,Grassroots movement for climate action
WWF France,,FRA,fr,Paris,@wwffrance,@WWFFrance,,,other,Global conservation organization with Paris presence
Les Amis de la Terre France,,FRA,fr,Paris,@amisdelaterrefr,@amisdelaterre,,,other,Environmental justice organization
Réseau Sortir du Nucléaire,,FRA,fr,Paris,@sortirdunucleaire,@sdnfr,,,other,Anti-nuclear advocacy group
Fondation GoodPlanet,,FRA,fr,Paris,@fondationgoodplanet,@GoodPlanet_,,,other,Promotes sustainable development and ecology
Terre de Liens,,FRA,fr,Paris,@terredeliens,@TerredeLiens,,,other,Supports sustainable agriculture and land preservation
Réseau Environnement Santé,,FRA,fr,Paris,@reseau_environnement_sante,@ReseauEnvironne,,,other,Focuses on health and environmental issues
Surfrider Foundation Europe,,FRA,fr,Paris,@surfridereurope,@SurfriderEU,,,other,Protects oceans and coastlines
LPO Île-de-France,,FRA,fr,Paris,@lpo_idf,@LPOFrance,,,other,Bird protection and biodiversity organization
Réseau Semences Paysannes,,FRA,fr,Paris,@reseau_semences_paysannes,@RSP_Semences,,,other,Promotes agricultural biodiversity
Générations Futures,,FRA,fr,Paris,@generationsfutures,@genefutures,,,other,Focuses on health and environmental protection
Zero Waste France,,FRA,fr,Paris,@zerowastefr,@ZeroWasteFR,,,other,Advocates for waste reduction and sustainability
France Libertés,,FRA,fr,Paris,@francelibertes,@francelibertes,,,other,Focuses on human rights and environmental issues
Réseau École et Nature,,FRA,fr,Paris,@reseau_ecole_et_nature,not_sure,,,other,Promotes environmental education
