name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Nicolas Meyrieux,,FRA,fr,Paris,@nicolasmeyrieux,not_sure,,La Barbe,podcaster,Hosts eco-focused podcast
Anne Ghesquière,,FRA,fr,Paris,@anneghesquiere,not_sure,,Métamorphose Podcast,podcaster,Focus on personal transformation and ecology
Julien Vidal,,FRA,fr,Paris,@julienvidal_,not_sure,,Ça Commence Par Moi,podcaster,Sustainability and climate action advocate
Clément Viktorovitch,,FRA,fr,Paris,@clemviktorovitch,not_sure,,Le Monde,podcaster,Geopolitics and societal issues
Lucile Torregrossa,,FRA,fr,Paris,@luciletorregrossa,not_sure,,Basilic Podcast,podcaster,Focus on ecology and sustainable living
Perrine Hervé-Gruyer,,FRA,fr,Paris,@perrinehervegruyer,not_sure,,Ferme du Bec Hellouin,podcaster,Permaculture and sustainable agriculture
Alexis Poulin,,FRA,fr,Paris,@alexpoulin,not_sure,,Le Monde Moderne,podcaster,Geopolitics and modern issues
Marie Treppoz,,FRA,fr,Paris,@marietreppoz,not_sure,,Greenletter Club,podcaster,Environmental news and interviews
Cyril Dion,,FRA,fr,Paris,@cyrildion,not_sure,,Demain,podcaster,Climate activism and documentary filmmaker
Valentine Labbé,,FRA,fr,Paris,@valentine.labbe,not_sure,,Les Engagés,podcaster,Social and environmental activism
Mathilde Icard,,FRA,fr,Paris,@mathildeicard,not_sure,,Les Pieds sur Terre,podcaster,Focus on societal and environmental stories
Antoine Lagneau,,FRA,fr,Paris,@antoinelagneau,not_sure,,Sismique,podcaster,Explores future societal changes
Hélène Binet,,FRA,fr,Paris,@helenebinet,not_sure,,Le Podcast de l'Écologie,podcaster,Environmental issues and solutions
Sophie Combes,,FRA,fr,Paris,@sophiecombes,not_sure,,Greenwave Podcast,podcaster,Climate change and sustainability
Thomas Wagner,,FRA,fr,Paris,@thomaswagner,not_sure,,Le Podcast des Possibles,podcaster,Focus on sustainable futures
Camille Etienne,,FRA,fr,Paris,@graine_de_possible,not_sure,,Graine de Possible,podcaster,Climate activism and youth engagement
Guillaume Meurice,,FRA,fr,Paris,@guillaumemeurice,not_sure,,France Inter,podcaster,Political satire and social issues
Laetitia Vasseur,,FRA,fr,Paris,@laetitiavasseur,not_sure,,HOP,podcaster,Focus on sustainability and circular economy
Yann Arthus-Bertrand,,FRA,fr,Paris,@yannarthusbertrand,@Yann_A_B,,GoodPlanet Foundation,podcaster,Environmental photography and activism
Fanny Agostini,,FRA,fr,Paris,@fannyagostini,not_sure,,Ensemble pour la Biodiversité,podcaster,Biodiversity and climate change
Hugo Clément,,FRA,fr,Paris,@hugoclementk,@hugoclement,,Sur le Front,podcaster,Environmental journalism and activism
Isabelle Autissier,,FRA,fr,Paris,@isabelleautissier,not_sure,,WWF France,podcaster,Marine conservation and climate action
Baptiste Gaborit,,FRA,fr,Paris,@baptistegaborit,not_sure,,Climax,podcaster,Climate change and environmental issues
Céline Cousteau,,FRA,fr,Paris,@celinecousteau,not_sure,,CauseCentric Productions,podcaster,Environmental advocacy and storytelling
Jérémie Pichon,,FRA,fr,Paris,@famillezerodechet,not_sure,,Famille Zéro Déchet,podcaster,Zero waste lifestyle and sustainability
Sophie Larmoyer,,FRA,fr,Paris,@sophielarmoyer,not_sure,,Europe 1,podcaster,International affairs and geopolitics
François Gemenne,,FRA,fr,Paris,@francoisgemenne,not_sure,,Hugo Décrypte,podcaster,Climate change and migration
Sarah Roubato,,FRA,fr,Paris,@sarahroubato,not_sure,,Les Mots du Clic,podcaster,Cultural and environmental narratives
Raphaël Glucksmann,,FRA,fr,Paris,@raphaelglucksmann,@rglucks1,,Place Publique,podcaster,Political and social issues
Nathalie Croisé,,FRA,fr,Paris,@nathaliecroise,not_sure,,Green Reflex,podcaster,Sustainability and green economy
Jean-Marc Jancovici,,FRA,fr,Paris,@jancovici,@JMJancovici,,The Shift Project,podcaster,Energy transition and climate policy
Stéphane Foucart,,FRA,fr,Paris,@stephanefoucart,not_sure,,Le Monde,podcaster,Environmental journalism
Aline Gubri,,FRA,fr,Paris,@consommons_sainement,not_sure,,Consommons Sainement,podcaster,Sustainable living and eco-friendly tips
Pierre Gilbert,,FRA,fr,Paris,@pierregilbert,not_sure,,Le Podcast de la Transition,podcaster,Focus on energy and ecological transition
Sophie Caillat,,FRA,fr,Paris,@sophiecaillat,not_sure,,Les Jours,podcaster,Environmental and societal issues
Philippe Verdier,,FRA,fr,Paris,@philippeverdier,not_sure,,Climat Investigation,podcaster,Climate change and weather
Laure Noualhat,,FRA,fr,Paris,@laurenoualhat,not_sure,,Soif de Sens,podcaster,Environmental activism and storytelling
Bénédicte Manier,,FRA,fr,Paris,@benedictemanier,not_sure,,Le Monde,podcaster,Social innovation and sustainability
Frédéric Denhez,,FRA,fr,Paris,@fredericdenhez,not_sure,,France Inter,podcaster,Environmental issues and solutions
Sophie Binet,,FRA,fr,Paris,@sophiebinet,not_sure,,CGT,podcaster,Labor rights and environmental justice
Baptiste Monsaingeon,,FRA,fr,Paris,@baptistemonsaingeon,not_sure,,Plastic Odyssey,podcaster,Ocean conservation and plastic pollution
Pauline Boyer,,FRA,fr,Paris,@paulineboyer,not_sure,,Alternatiba,podcaster,Climate activism and community initiatives
Vincent Verzat,,FRA,fr,Paris,@vincentverzat,not_sure,,Partager C'est Sympa,podcaster,Social justice and environmental activism
Sophie Rabhi,,FRA,fr,Paris,@sophierabhi,not_sure,,Hameau des Buis,podcaster,Eco-villages and sustainable living
Aurélien Barrau,,FRA,fr,Paris,@aurelienbarrau,not_sure,,CNRS,podcaster,Astrophysics and environmental advocacy
Léa Bello,,FRA,fr,Paris,@leabello,not_sure,,Le Monde,podcaster,Science communication and climate change
Bastien Lachaud,,FRA,fr,Paris,@bastienlachaud,not_sure,,La France Insoumise,podcaster,Political and environmental issues
Claire Nouvian,,FRA,fr,Paris,@claire_nouvian,not_sure,,Bloom Association,podcaster,Marine conservation and environmental policy
Romain Julliard,,FRA,fr,Paris,@romainjulliard,not_sure,,MNHN,podcaster,Biodiversity and conservation science
Delphine Batho,,FRA,fr,Paris,@delphine.batho,not_sure,,Génération Écologie,podcaster,Political and environmental advocacy
Jean Jouzel,,FRA,fr,Paris,@jeanjouzel,not_sure,,IPCC,podcaster,Climate science and policy
Valérie Masson-Delmotte,,FRA,fr,Paris,@valmasdel,not_sure,,IPCC,podcaster,Climate science and policy
Lucile Schmid,,FRA,fr,Paris,@lucileschmid,not_sure,,La Fabrique Écologique,podcaster,Environmental policy and innovation
Nicolas Hulot,,FRA,fr,Paris,@nicolashulot,not_sure,,Fondation Nicolas Hulot,podcaster,Environmental advocacy and policy
Corinne Lepage,,FRA,fr,Paris,@corinnelepage,not_sure,,Cap21,podcaster,Environmental law and policy
Sandrine Rousseau,,FRA,fr,Paris,@sandrine_rousseau,not_sure,,EELV,podcaster,Political and environmental advocacy
Yannick Jadot,,FRA,fr,Paris,@yannickjadot,not_sure,,EELV,podcaster,Political and environmental advocacy
Eva Joly,,FRA,fr,Paris,@evajoly,not_sure,,EELV,podcaster,Political and environmental advocacy
Karima Delli,,FRA,fr,Paris,@karimadelli,@KarimaDelli,,EELV,podcaster,Political and environmental advocacy
David Cormand,,FRA,fr,Paris,@davidcormand,@DavidCormand,,EELV,podcaster,Political and environmental advocacy
Michèle Rivasi,,FRA,fr,Paris,@michelerivasi,@MicheleRivasi,,EELV,podcaster,Political and environmental advocacy
Pascal Canfin,,FRA,fr,Paris,@pascalcanfin,@pcanfin,,Renew Europe,podcaster,Political and environmental advocacy
Clémence Bodoc,,FRA,fr,Paris,@clemencebodoc,not_sure,,La Poudre,podcaster,Covers feminism and social issues
Nora Bouazzouni,,FRA,fr,Paris,@norabz,not_sure,,Plan Culinaire,podcaster,Explores food and sustainability
Baptiste Roux,,FRA,fr,Paris,@baptisteroux,not_sure,,Le Podcast de l'Écologie,podcaster,Discusses environmental topics
Marie Misset,,FRA,fr,Paris,@mariemisset,not_sure,,Nouveau Modèle,podcaster,Focuses on sustainable fashion
Antoine Lenoir,,FRA,fr,Paris,@antoinelenoir,not_sure,,Le Bruit de l'Eau,podcaster,Explores water conservation
Valérie Masson-Delmotte,,FRA,fr,Paris,@valerie_masson_delmotte,not_sure,,IPCC,podcaster,Climate scientist and communicator
Sophie Jovillard,,FRA,fr,Paris,@sophiejovillard,not_sure,,Échappées Belles,podcaster,Travel and culture with environmental focus
Mathilde Imer,,FRA,fr,Paris,@mathilde_imer,not_sure,,Convention Citoyenne pour le Climat,podcaster,Climate policy advocate
Alice Tumler,,FRA,fr,Paris,@alicetumler,not_sure,,France 2,podcaster,Cultural and environmental topics
Élise Lucet,,FRA,fr,Paris,@eliselucet,@EliseLucet,,Cash Investigation,podcaster,Investigative journalist
Sandrine Roudaut,,FRA,fr,Paris,@sandrine_roudaut,not_sure,,La Collapso Heureuse,podcaster,Discusses societal collapse and resilience
Géraldine Woessner,,FRA,fr,Paris,@geraldinewoessner,@GeWoessner,,Europe 1,podcaster,Covers politics and environment
Sophie Rahal,,FRA,fr,Paris,@sophierahal,not_sure,,Radio France,podcaster,Covers environmental issues
Philippe Descola,,FRA,fr,Paris,@philippedescola,not_sure,,Collège de France,podcaster,Anthropologist focusing on nature-culture relations
Aurore Stéphant,,FRA,fr,Paris,@aurorestephant,not_sure,,Les Mines et l'Environnement,podcaster,Discusses mining and sustainability
Bruno Latour,,FRA,fr,Paris,@brunolatour,not_sure,,Sciences Po,podcaster,Philosopher of science and environment
Gaël Giraud,,FRA,fr,Paris,@gaelgiraud,not_sure,,Georgetown University,podcaster,Economist focusing on climate change
Delphine Batho,,FRA,fr,Paris,@delphinebatho,not_sure,,Génération Écologie,podcaster,Politician and environmental advocate
Marie Toussaint,,FRA,fr,Paris,@marietoussaint,not_sure,,European Parliament,podcaster,Environmental lawyer and MEP
Benoît Thévard,,FRA,fr,Paris,@benoitthevard,not_sure,,The Shift Project,podcaster,Energy transition expert
Claire Nouvian,,FRA,fr,Paris,@clairenouvian,not_sure,,Bloom Association,podcaster,Marine conservation advocate
Arnaud Gauffier,,FRA,fr,Paris,@arnaudgauffier,not_sure,,WWF France,podcaster,Focuses on biodiversity
