name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Fridays For Future Rome,,ITA,it,Rome,@fridaysforfuture_roma,@fff_roma,,Fridays For Future,activist,Local chapter of global climate movement
Legambiente Lazio,,ITA,it,Rome,@legambientelazio,@LegambienteLazio,,Legambiente,activist,Regional branch of environmental NGO
Greenpeace Italia,,ITA,it,Rome,@greenpeace_italia,@Greenpeace_ITA,,Greenpeace,activist,National office with Rome presence
WWF Italia,,ITA,it,Rome,@wwfitalia,@WWFitalia,,WWF,activist,National office with strong Rome ties
LIPU Lazio,,ITA,it,Rome,@lipulazio,not_sure,,LIPU,activist,Bird protection group active in Rome
Extinction Rebellion Roma,,ITA,it,Rome,@xr_roma,@XRroma,,Extinction Rebellion,activist,Local chapter of global movement
Amnesty International Italia,,ITA,it,Rome,@amnestyitalia,@amnestyitalia,,Amnesty International,activist,Human rights NGO with Rome office
Italia Nostra Roma,,ITA,it,Rome,@italianostraroma,not_sure,,Italia Nostra,activist,Heritage and environment NGO
Rete della Pace,,ITA,it,Rome,@retedellapace,not_sure,,Rete della Pace,activist,Peace network active in Rome
Forum Ambientalista,,ITA,it,Rome,@forumambientalista,not_sure,,Forum Ambientalista,activist,Environmental advocacy group in Rome
Movimento per la Decrescita Felice,,ITA,it,Rome,@decrescitafelice,not_sure,,Movimento per la Decrescita Felice,activist,Promotes sustainable living in Rome
Cittadinanzattiva Lazio,,ITA,it,Rome,@cittadinanzattivalazio,not_sure,,Cittadinanzattiva,activist,Civic engagement NGO in Rome
Libera Lazio,,ITA,it,Rome,@liberalazio,not_sure,,Libera,activist,Anti-mafia and social justice group
Slow Food Lazio,,ITA,it,Rome,@slowfoodlazio,not_sure,,Slow Food,activist,Promotes sustainable food practices
Green Italia,,ITA,it,Rome,@greenitalia,not_sure,,Green Italia,activist,Political movement for green policies
Rete Zero Waste Italia,,ITA,it,Rome,@retezerowaste,not_sure,,Rete Zero Waste,activist,Promotes zero waste lifestyle
Associazione Terra!,,ITA,it,Rome,@associazioneterra,not_sure,,Associazione Terra!,activist,Focuses on environmental justice
Greenaccord Onlus,,ITA,it,Rome,@greenaccord,not_sure,,Greenaccord,activist,Environmental journalism network
Rete dei Comuni Solidali,,ITA,it,Rome,@recomsol,not_sure,,Rete dei Comuni Solidali,activist,Network of solidarity municipalities
Associazione Antigone,,ITA,it,Rome,@associazioneantigone,not_sure,,Associazione Antigone,activist,Focus on human rights and justice
Associazione A Sud,,ITA,it,Rome,@asudonlus,not_sure,,Associazione A Sud,activist,Environmental and social justice NGO
Rete degli Studenti Medi,,ITA,it,Rome,@retedeglistudenti,not_sure,,Rete degli Studenti Medi,activist,Student network for social change
