name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greta Thunberg Italia,,ITA,it,Rome,@gretathunbergitalia,not_sure,,Fridays for Future,influencer,Local chapter of global climate movement
Federica Gasbarro,,ITA,it,Rome,@federica_gasbarro,not_sure,,,influencer,Climate activist and author
Luca Mercalli,,ITA,it,Rome,@lucamercalli,not_sure,,Società Meteorologica Italiana,influencer,Meteorologist and climate communicator
Fridays for Future Rome,,ITA,it,Rome,@fff_roma,@fff_roma,,Fridays for Future,influencer,Local climate action group
Greenpeace Italia,,ITA,it,Rome,@greenpeace_italia,@Greenpeace_ITA,,Greenpeace,influencer,Environmental NGO with Rome presence
Legambiente Lazio,,ITA,it,Rome,@legambientelazio,@LegambienteLazio,,Legambiente,influencer,Regional branch of national environmental NGO
WWF Italia,,ITA,it,Rome,@wwfitalia,@WWFitalia,,WWF,influencer,Conservation NGO active in Rome
ClimaX Roma,,ITA,it,Rome,@climaxroma,not_sure,,,influencer,Climate action group in Rome
Giorgio Vacchiano,,ITA,it,Rome,@giorgiovacchiano,not_sure,,University of Milan,influencer,Forest scientist and climate expert
Extinction Rebellion Italia,,ITA,it,Rome,@extinctionrebellionitalia,@XR_Italia,,Extinction Rebellion,influencer,Environmental movement with Rome activities
Italia Nostra,,ITA,it,Rome,@italianostra,@ItaliaNostra,,Italia Nostra,influencer,Heritage and environment NGO
Earth Day Italia,,ITA,it,Rome,@earthdayitalia,not_sure,,Earth Day Network,influencer,Organizes Earth Day events in Rome
Federico Grazzini,,ITA,it,Rome,@federicograzzini,not_sure,,Meteorologist,influencer,Weather expert and climate communicator
Cittadini per l'Aria,,ITA,it,Rome,@cittadiniperlaria,not_sure,,Cittadini per l'Aria,influencer,Air quality advocacy group
Rete Zero Waste Italia,,ITA,it,Rome,@retezerowaste,not_sure,,Zero Waste Network,influencer,Promotes waste reduction in Rome
Slow Food Italia,,ITA,it,Rome,@slowfood_italia,@SlowFoodItaly,,Slow Food,influencer,Promotes sustainable food practices
Green Italia,,ITA,it,Rome,@greenitalia,@GreenItalia,,Green Italia,influencer,Political movement for environmental issues
Alleanza per il Clima Italia,,ITA,it,Rome,@alleanzaperilclima,not_sure,,Climate Alliance,influencer,Network of municipalities for climate action
Federico Spadini,,ITA,it,Rome,@federicospadini,not_sure,,Greenpeace,influencer,Greenpeace activist and campaigner
Climathon Roma,,ITA,it,Rome,@climathonroma,not_sure,,Climathon,influencer,Climate hackathon event in Rome
Associazione Italiana Agricoltura Biologica,,ITA,it,Rome,@aiab_italia,not_sure,,AIAB,influencer,Promotes organic farming in Italy
Green City Italia,,ITA,it,Rome,@greencityitalia,not_sure,,Green City Network,influencer,Urban sustainability network
Rete Clima,,ITA,it,Rome,@reteclima,not_sure,,Rete Clima,influencer,Climate action network
Movimento per la Decrescita Felice,,ITA,it,Rome,@decrescitafelice,not_sure,,Decrescita Felice,influencer,Promotes sustainable living practices
Francesco Ferrante,,ITA,it,Rome,@francescoferrante,not_sure,,Green Italia,influencer,Environmental policy expert
Associazione Italiana per la Wilderness,,ITA,it,Rome,@wildernessitalia,not_sure,,AIW,influencer,Conservation of wild areas
Eco dalle Città,,ITA,it,Rome,@ecodallecitta,not_sure,,Eco dalle Città,influencer,Environmental news platform
Fondazione UniVerde,,ITA,it,Rome,@fondazioneuniverde,not_sure,,UniVerde Foundation,influencer,Promotes environmental education
Associazione Ambiente e Lavoro,,ITA,it,Rome,@ambienteelavoro,not_sure,,Ambiente e Lavoro,influencer,Focus on environmental and workplace safety
GreenMe Italia,,ITA,it,Rome,@greenmeitalia,not_sure,,GreenMe,influencer,Sustainable lifestyle magazine
Forum Italiano dei Movimenti per l'Acqua,,ITA,it,Rome,@acquabenecomune,not_sure,,Water Forum,influencer,Advocates for water as a public good
Associazione Italiana Compostaggio,,ITA,it,Rome,@compostaggio,not_sure,,AIC,influencer,Promotes composting practices
Associazione Italiana per l'Agricoltura Biodinamica,,ITA,it,Rome,@biodinamica,not_sure,,AIAB,influencer,Promotes biodynamic agriculture
Associazione Italiana per l'Energia del Vento,,ITA,it,Rome,@eolico,not_sure,,ANEV,influencer,Promotes wind energy
Associazione Italiana per l'Energia Solare,,ITA,it,Rome,@solareitalia,not_sure,,GSE,influencer,Promotes solar energy
Associazione Italiana per l'Energia Idroelettrica,,ITA,it,Rome,@idroelettrico,not_sure,,Hydro Association,influencer,Promotes hydropower
Associazione Italiana per l'Energia Geotermica,,ITA,it,Rome,@geotermia,not_sure,,Geothermal Association,influencer,Promotes geothermal energy
Associazione Italiana per l'Energia Nucleare,,ITA,it,Rome,@nucleareitalia,not_sure,,Nuclear Association,influencer,Promotes nuclear energy
Associazione Italiana per l'Energia da Biomasse,,ITA,it,Rome,@biomasseitalia,not_sure,,Biomass Association,influencer,Promotes biomass energy
Associazione Italiana per l'Energia da Rifiuti,,ITA,it,Rome,@rifiutienergia,not_sure,,Waste-to-Energy Association,influencer,Promotes waste-to-energy solutions
