name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Giovanni De Mauro,,ITA,it,Rome,@internazionale,not_sure,,Internazionale,journalist,"Editor-in-chief, covers global issues"
Elena Comelli,,ITA,it,Rome,@elenacomelli,@elenacomelli,,Corriere della Sera,journalist,Writes on climate and energy
Francesca Santolini,,ITA,it,Rome,@francescasantolini,not_sure,,La Repubblica,journalist,Covers environmental policies
Alessandro Farruggia,,ITA,it,Rome,@alessandrofarruggia,not_sure,,Il Resto del Carlino,journalist,Focuses on climate change
Luca Mercalli,,ITA,it,Rome,@lucamercalli,not_sure,,Rai 3,journalist,Hosts climate-focused TV show
Marina Forti,,ITA,it,Rome,@marinaforti,not_sure,,Internazionale,journalist,Writes on environmental issues
Stefano Liberti,,ITA,it,Rome,@stefanoliberti,not_sure,,Internazionale,journalist,Covers geopolitics and environment
Valentina Petrini,,ITA,it,Rome,@valentinapetrini,not_sure,,La7,journalist,Investigative journalist on social issues
Fabio Tonacci,,ITA,it,Rome,@fabiotonacci,not_sure,,La Repubblica,journalist,Covers climate and energy
Silvia Bencivelli,,ITA,it,Rome,@silviabencivelli,not_sure,,Rai Radio 3,journalist,"Science journalist, covers climate"
Giorgio Zanchini,,ITA,it,Rome,@giorgiozanchini,not_sure,,Rai Radio 1,journalist,Hosts geopolitics radio show
Federica Bianchi,,ITA,it,Rome,@federicabianchi,not_sure,,L'Espresso,journalist,Writes on international affairs
Andrea Vico,,ITA,it,Rome,@andreavico,not_sure,,La Stampa,journalist,Covers climate science
Giulia Innocenzi,,ITA,it,Rome,@giuliainnocenzi,not_sure,,Rai 2,journalist,Focuses on environmental documentaries
Antonio Cianciullo,,ITA,it,Rome,@antoniocianciullo,not_sure,,La Repubblica,journalist,Covers climate change and policies
Cristina Nadotti,,ITA,it,Rome,@cristinanadotti,not_sure,,La Repubblica,journalist,Writes on environmental topics
Marco Cattaneo,,ITA,it,Rome,@marcocattaneo,not_sure,,National Geographic Italia,journalist,"Editor, covers nature and science"
Paolo Magliocco,,ITA,it,Rome,@paolomagliocco,not_sure,,Sky TG24,journalist,Covers climate and technology
Elisabetta Tola,,ITA,it,Rome,@elisabettatola,not_sure,,Rai Radio 3,journalist,"Science journalist, covers environment"
Lorenzo Tondo,,ITA,it,Rome,@lorenzotondo,not_sure,,The Guardian,journalist,Covers Italian and Mediterranean issues
Giuseppe De Bellis,,ITA,it,Rome,@giuseppedebellis,not_sure,,Sky TG24,journalist,"Director, covers international news"
Serena Danna,,ITA,it,Rome,@serenadanna,not_sure,,Corriere della Sera,journalist,Focuses on digital and social issues
Alessandra Viola,,ITA,it,Rome,@alessandraviola,not_sure,,Rai 3,journalist,Covers science and environment
Francesco Costa,,ITA,it,Rome,@francescocosta21,@francescocosta,,Il Post,journalist,"Deputy editor, covers global issues"
Chiara Bellini,,ITA,it,Rome,@chiarabellini,not_sure,,La Repubblica,journalist,Writes on climate and sustainability
Gabriele Romagnoli,,ITA,it,Rome,@gabriele.romagnoli,not_sure,,La Repubblica,journalist,Covers international affairs
Marta Serafini,,ITA,it,Rome,@martaserafini,@martaserafini,,Corriere della Sera,journalist,Focuses on geopolitics and security
Francesco Battistini,,ITA,it,Rome,@francescobattistini,not_sure,,Corriere della Sera,journalist,Covers Middle East and geopolitics
Paola De Carolis,,ITA,it,Rome,@paoladecarolis,not_sure,,Corriere della Sera,journalist,Writes on international news
Giovanna Botteri,,ITA,it,Rome,@giovannabotteri,not_sure,,Rai News,journalist,"Senior correspondent, covers global issues"
Alessandro Barbera,,ITA,it,Rome,@alessandrobarbera,@alexbarbera,,La Stampa,journalist,Covers economics and geopolitics
Francesca Mannocchi,,ITA,it,Rome,@francescamannocchi,@mannocchia,,Freelance,journalist,Covers conflict zones and migration
Giulia Cerino,,ITA,it,Rome,@giuliacerino,not_sure,,Rai 3,journalist,Focuses on investigative journalism
Luca Attanasio,,ITA,it,Rome,@lucaattanasio,not_sure,,Freelance,journalist,Covers Africa and migration
Angela Mauro,,ITA,it,Rome,@angelamauro,not_sure,,HuffPost Italia,journalist,Writes on European politics
Giovanni Tizian,,ITA,it,Rome,@giovannitizian,not_sure,,L'Espresso,journalist,"Investigative journalist, covers crime and politics"
Alessia Candito,,ITA,it,Rome,@alessiacandito,not_sure,,La Repubblica,journalist,Covers Southern Italy and crime
Federico Rampini,,ITA,it,Rome,@federicorampini,@RampiniTweets,,La Repubblica,journalist,"Senior correspondent, covers global issues"
Gianluca Di Feo,,ITA,it,Rome,@gianlucadifeo,@gianlucadifeo,,La Repubblica,journalist,Focuses on defense and security
Alessandra Sardoni,,ITA,it,Rome,@alessandrasardoni,not_sure,,La7,journalist,"Political journalist, covers Italian politics"
Giovanni Floris,,ITA,it,Rome,@giovannifloris,@giovannifloris,,La7,journalist,Hosts political talk show
Monica Maggioni,,ITA,it,Rome,@monicamaggioni,not_sure,,Rai News,journalist,"Director, covers international news"
Lucia Annunziata,,ITA,it,Rome,@luciaannunziata,not_sure,,HuffPost Italia,journalist,"Editor, covers politics and society"
Marco Damilano,,ITA,it,Rome,@marcodamilano,@marcodamilano,,L'Espresso,journalist,"Editor, covers Italian politics"
Concita De Gregorio,,ITA,it,Rome,@concitadegregorio,@concitadeg,,La Repubblica,journalist,"Columnist, covers social issues"
Gianni Riotta,,ITA,it,Rome,@gianniriotta,@riotta,,La Stampa,journalist,"Columnist, covers international affairs"
Barbara Serra,,ITA,it,Rome,@barbaraserra,@BarbaraGSerra,,Al Jazeera,journalist,"Presenter, covers global news"
Massimo Giannini,,ITA,it,Rome,@massimogiannini,@MassimGiannini,,La Stampa,journalist,"Editor, covers politics and economy"
Francesca Caferri,,ITA,it,Rome,@francescacaferri,not_sure,,La Repubblica,journalist,Covers Middle East and migration
Alberto Negri,,ITA,it,Rome,@albertonegri,not_sure,,Il Sole 24 Ore,journalist,Covers geopolitics and economics
Giovanni Valentini,,ITA,it,Rome,@giovannivalentini,not_sure,,La Repubblica,journalist,"Columnist, covers media and politics"
Paolo Mieli,,ITA,it,Rome,@paolomieli,not_sure,,Corriere della Sera,journalist,"Columnist, covers history and politics"
Michele Serra,,ITA,it,Rome,@micheleserra,not_sure,,La Repubblica,journalist,"Columnist, covers culture and society"
Beppe Severgnini,,ITA,it,Rome,@beppesevergnini,@beppesevergnini,,Corriere della Sera,journalist,"Columnist, covers Italian and global issues"
Marco Travaglio,,ITA,it,Rome,@marcotravaglio,@marcotravaglio,,Il Fatto Quotidiano,journalist,"Editor, covers politics and justice"
Lilli Gruber,,ITA,it,Rome,@lilligruber,@liligruber,,La7,journalist,Hosts political talk show
Enrico Mentana,,ITA,it,Rome,@enricomentana,@ementana,,La7,journalist,"Director, covers Italian and global news"
Michele Santoro,,ITA,it,Rome,@michelesantoro,not_sure,,Freelance,journalist,Hosts political talk shows
Gad Lerner,,ITA,it,Rome,@gadlerner,@gadlernertweet,,La Repubblica,journalist,"Columnist, covers politics and society"
Corrado Augias,,ITA,it,Rome,@corradoaugias,not_sure,,La Repubblica,journalist,"Columnist, covers culture and history"
Gianni Minà,,ITA,it,Rome,@giannimina,not_sure,,Freelance,journalist,Covers Latin America and global issues
Dario Di Vico,,ITA,it,Rome,@dariodivico,not_sure,,Corriere della Sera,journalist,Covers economics and labor
Giovanni Bianconi,,ITA,it,Rome,@giovannibianconi,not_sure,,Corriere della Sera,journalist,Covers crime and justice
Giuseppe Cruciani,,ITA,it,Rome,@giuseppecruciani,@giucruciani,,Radio 24,journalist,Hosts talk show on current affairs
Alessandro Sallusti,,ITA,it,Rome,@alessandrosallusti,@alesallusti,,Libero,journalist,"Editor, covers politics and society"
Maurizio Molinari,,ITA,it,Rome,@mauriziomolinari,@mauromolinari,,La Repubblica,journalist,"Editor, covers global issues"
Marco Imarisio,,ITA,it,Rome,@marcoimarisio,not_sure,,Corriere della Sera,journalist,Covers social issues and migration
Giovanni De Mauro,,ITA,it,Rome,@giovannidemauro,not_sure,,Internazionale,journalist,"Editor-in-chief of Internazionale, covers global issues"
Luca Fraioli,,ITA,it,Rome,@lucafraioli,not_sure,,La Repubblica,journalist,Focuses on environmental issues
Alessandro Gilioli,,ITA,it,Rome,@alessandrogilioli,@agilioli,,L'Espresso,journalist,Covers politics and international relations
Emanuele Bompan,,ITA,it,Rome,@emanuelebompan,@emanuelebompan,,La Stampa,journalist,Covers climate change and sustainability
Serena Giacomin,,ITA,it,Rome,@serenagiacomin,@serenagiacomin,,Meteo Expert,journalist,"Meteorologist, focuses on climate issues"
Chiara Spadaro,,ITA,it,Rome,@chiaraspadaro,not_sure,,Altreconomia,journalist,Focuses on sustainable development
Francesco Martone,,ITA,it,Rome,@francescomartone,not_sure,,Il Manifesto,journalist,Writes on peace and international relations
Elisa Palazzi,,ITA,it,Rome,@elisapalazzi,not_sure,,CNR,journalist,"Researcher, covers climate science"
Paolo Attivissimo,,ITA,it,Rome,@paoloattivissimo,@disinformatico,,Rai Radio 1,journalist,Covers technology and misinformation
Luca Telese,,ITA,it,Rome,@lucatelese,@lucatelese,,La7,journalist,Focuses on politics and society
Federica Angeli,,ITA,it,Rome,@federicaangeli,@federicaangeli,,La Repubblica,journalist,"Investigative journalist, covers social issues"
Daria Bignardi,,ITA,it,Rome,@dariabignardi,@dariabig,,La7,journalist,"TV host, covers cultural topics"
Milena Gabanelli,,ITA,it,Rome,@milenagabanelli,@milenagabanelli,,Corriere della Sera,journalist,"Investigative journalist, covers social issues"
Myrta Merlino,,ITA,it,Rome,@myrtamerlino,@myrtamerlino,,La7,journalist,Hosts talk show on current affairs
Andrea Scanzi,,ITA,it,Rome,@andreascanzi,@AndreaScanzi,,Il Fatto Quotidiano,journalist,Writes on politics and society
Piero Angela,,ITA,it,Rome,@pieroangela,not_found,,Rai,journalist,"Science communicator, covers environmental issues"
Antonio Di Bella,,ITA,it,Rome,@antoniodibella,not_found,,Rai,journalist,Covers international news
Federico Fubini,,ITA,it,Rome,@federicofubini,not_sure,,Corriere della Sera,journalist,Writes on economy and geopolitics
Serena Dandini,,ITA,it,Rome,@serenadandini,not_sure,,Rai,journalist,"TV host, covers cultural topics"
Roberto Saviano,,ITA,it,Rome,@robertosaviano_official,@robertosaviano,,La Repubblica,journalist,Writes on organized crime and society
Alessandra Ziniti,,ITA,it,Rome,@alessandraziniti,not_sure,,La Repubblica,journalist,Covers immigration and social issues
Giuseppe Smorto,,ITA,it,Rome,@giuseppesmorto,not_sure,,La Repubblica,journalist,Writes on politics and society
Francesco Merlo,,ITA,it,Rome,@francescomerlo,not_sure,,La Repubblica,journalist,Writes on politics and culture
Antonio Padellaro,,ITA,it,Rome,@antoniopadellaro,not_sure,,Il Fatto Quotidiano,journalist,Writes on politics and society
Giorgio Meletti,,ITA,it,Rome,@giorgiomeletti,not_sure,,Il Fatto Quotidiano,journalist,Covers economy and finance
Francesco Piccinini,,ITA,it,Rome,@francescopi,not_sure,,Fanpage.it,journalist,"Editor, covers social issues"
Alessandra Arachi,,ITA,it,Rome,@alessandraarachi,not_sure,,Corriere della Sera,journalist,Writes on society and culture
Gian Antonio Stella,,ITA,it,Rome,@gianantoniostella,not_sure,,Corriere della Sera,journalist,Writes on politics and society
Massimo Franco,,ITA,it,Rome,@massimofranco,not_sure,,Corriere della Sera,journalist,Writes on politics and international relations
Aldo Cazzullo,,ITA,it,Rome,@aldocazzullo,not_sure,,Corriere della Sera,journalist,Writes on politics and culture
Francesco Verderami,,ITA,it,Rome,@francescoverderami,not_sure,,Corriere della Sera,journalist,Writes on politics and society
Luigi Ferrarella,,ITA,it,Rome,@luigiferrarella,not_sure,,Corriere della Sera,journalist,Covers crime and justice
Mario Calabresi,,ITA,it,Rome,@mariocalabresi,@mariocalabresi,,La Repubblica,journalist,"Editor, covers politics and society"
