name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Jason Mark,,FRA,en,San,@earthjason,not_sure,,Sierra Magazine,podcaster,Hosts climate-focused podcast
Greg Dalton,,FRA,en,San,@climateone,@climateone,,Climate One,podcaster,Hosts Climate One podcast
Molly Wood,,FRA,en,San,@mollywood,@mollywood,,Marketplace Tech,podcaster,Covers tech and climate issues
Kara Swisher,,FRA,en,San,@karaswisher,@karaswisher,,Pivot Podcast,podcaster,Discusses tech and geopolitics
Roman Mars,,FRA,en,San,@romanmars,@romanmars,,99% Invisible,podcaster,Explores design and environment
Ariel Waldman,,FRA,en,San,@arielwaldman,@arielwaldman,,Offworld,podcaster,Covers space and environment
Rose Eveleth,,FRA,en,San,@roseveleth,@roseveleth,,Flash Forward,podcaster,"Explores future scenarios, including climate"
Kevin Roose,,FRA,en,San,@kevinroose,@kevinroose,,The New York Times,podcaster,Covers tech and society
Manoush Zomorodi,,FRA,en,San,@manoushz,@manoushz,,Note to Self,podcaster,Focuses on tech and human behavior
Ezra Klein,,FRA,en,San,@ezraklein,@ezraklein,,The Ezra Klein Show,podcaster,Discusses politics and climate
Ashley Ahearn,,FRA,en,San,@ashley_ahearn,not_sure,,Terrestrial,podcaster,Focuses on environmental stories
Leah Stokes,,FRA,en,San,@leahstokes,@leahstokes,,A Matter of Degrees,podcaster,Covers climate change solutions
David Roberts,,FRA,en,San,@drvox,@drvox,,Volts,podcaster,Focuses on energy and climate
Amy Westervelt,,FRA,en,San,@amywestervelt,@amywestervelt,,Drilled,podcaster,Investigates climate accountability
Alex Blumberg,,FRA,en,San,@abexlumberg,not_sure,,Gimlet Media,podcaster,Covers business and climate
Sarah Gonzalez,,FRA,en,San,@radio_gonzalez,not_sure,,Planet Money,podcaster,Covers economics and environment
Roxanne Khamsi,,FRA,en,San,@rkhamsi,not_sure,,Science Vs,podcaster,"Debunks science myths, including climate"
Sam Sanders,,FRA,en,San,@samsanders,@samsanders,,Into It,podcaster,Covers culture and politics
Avery Trufelman,,FRA,en,San,@trufelman,@trufelman,,Articles of Interest,podcaster,Explores design and environment
Al Letson,,FRA,en,San,@al_letson,@Al_Letson,,Reveal,podcaster,Investigates social justice issues
