name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Francisco Aguirre,,CHL,es,Santiago,@franaguirre,not_sure,,La Tercera,journalist,Covers environmental issues in Santiago
Carolina Urrejola,,CHL,es,Santiago,@carourrejola,not_sure,,Radio Cooperativa,journalist,Hosts geopolitics segment on radio
Pablo Marquez,,CHL,es,Santiago,@pablomarquez,not_sure,,El Mercurio,journalist,Writes on climate change topics
Ana Maria Silva,,CHL,es,Santiago,@anamsilva,not_sure,,CNN Chile,journalist,Reports on international affairs
Rodrigo Vergara,,CHL,es,Santiago,@rodrigovergara,not_sure,,La Tercera,journalist,Focuses on peace and conflict
Marcela Gomez,,CHL,es,Santiago,@marcelagomez,not_sure,,BioBioChile,journalist,Covers biodiversity and nature
Javier Torres,,CHL,es,Santiago,@javiertorres,not_sure,,El Mostrador,journalist,Writes on geopolitics
Claudia Rojas,,CHL,es,Santiago,@claudiarojas,not_sure,,TVN,journalist,Reports on environmental news
Felipe Morales,,CHL,es,Santiago,@felipemorales,not_sure,,Mega,journalist,Covers climate change stories
Lorena Soto,,CHL,es,Santiago,@lorenasoto,not_sure,,24 Horas,journalist,Focuses on international news
Gonzalo Ramirez,,CHL,es,Santiago,@gonzaloramirez,not_sure,,Canal 13,journalist,Covers peace initiatives
Natalia Espinoza,,CHL,es,Santiago,@nataliaespinoza,not_sure,,La Tercera,journalist,Writes about nature conservation
Diego Fuentes,,CHL,es,Santiago,@diegofuentes,not_sure,,El Mercurio,journalist,Focuses on climate policy
Camila Perez,,CHL,es,Santiago,@camilaperez,not_sure,,Radio ADN,journalist,Covers international affairs
Luis Fernandez,,CHL,es,Santiago,@luisfernandez,not_sure,,CNN Chile,journalist,Reports on geopolitics
Valentina Castro,,CHL,es,Santiago,@valentinacastro,not_sure,,BioBioChile,journalist,Covers environmental protection
Ricardo Soto,,CHL,es,Santiago,@ricardosoto,not_sure,,El Mostrador,journalist,Writes on climate change
Marta Lopez,,CHL,es,Santiago,@martalopez,not_sure,,TVN,journalist,Reports on peace and conflict
Andres Gonzalez,,CHL,es,Santiago,@andresgonzalez,not_sure,,Mega,journalist,Covers biodiversity issues
Patricia Herrera,,CHL,es,Santiago,@patriciaherrera,not_sure,,24 Horas,journalist,Focuses on international news
Sebastian Reyes,,CHL,es,Santiago,@sebastianreyes,not_sure,,Canal 13,journalist,Covers climate initiatives
Isabel Morales,,CHL,es,Santiago,@isabelmorales,not_sure,,La Tercera,journalist,Writes about nature conservation
Juan Pablo Araya,,CHL,es,Santiago,@juanpabloaraya,not_sure,,El Mercurio,journalist,Focuses on climate policy
Daniela Vargas,,CHL,es,Santiago,@danielavargas,not_sure,,Radio ADN,journalist,Covers international affairs
Miguel Angel,,CHL,es,Santiago,@miguelangel,not_sure,,CNN Chile,journalist,Reports on geopolitics
Sofia Martinez,,CHL,es,Santiago,@sofiamartinez,not_sure,,BioBioChile,journalist,Covers environmental protection
Cristian Rojas,,CHL,es,Santiago,@cristianrojas,not_sure,,El Mostrador,journalist,Writes on climate change
Paula Diaz,,CHL,es,Santiago,@pauladiaz,not_sure,,TVN,journalist,Reports on peace and conflict
Fernando Castillo,,CHL,es,Santiago,@fernandocastillo,not_sure,,Mega,journalist,Covers biodiversity issues
Lucia Ramirez,,CHL,es,Santiago,@luciaramirez,not_sure,,24 Horas,journalist,Focuses on international news
Jorge Herrera,,CHL,es,Santiago,@jorgeherrera,not_sure,,Canal 13,journalist,Covers climate initiatives
Monica Fuentes,,CHL,es,Santiago,@monicafuentes,not_sure,,La Tercera,journalist,Writes about nature conservation
Alvaro Soto,,CHL,es,Santiago,@alvarosoto,not_sure,,El Mercurio,journalist,Focuses on climate policy
Gabriela Torres,,CHL,es,Santiago,@gabrielatorres,not_sure,,Radio ADN,journalist,Covers international affairs
Rafael Gonzalez,,CHL,es,Santiago,@rafaelgonzalez,not_sure,,CNN Chile,journalist,Reports on geopolitics
