name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace Brasil,,PAU,en,Sao,@greenpeacebrasil,@GreenpeaceBR,,Greenpeace,activist,Environmental protection and climate action
SOS Mata Atlântica,,PAU,en,Sao,@sosmataatlantica,@sosma,,SOS Mata Atlântica,activist,Conserves Atlantic Forest biodiversity
Instituto Socioambiental,,PAU,en,Sao,@socioambiental,@socioambiental,,Instituto Socioambiental,activist,Focuses on environmental and indigenous rights
WWF Brasil,,PAU,en,Sao,@wwfbrasil,@WWF_Brasil,,WWF,activist,Nature conservation and climate action
Amigos da Terra Brasil,,PAU,en,Sao,@amigosdaterra,not_sure,,Amigos da Terra,activist,Environmental justice and sustainability
Instituto Alana,,PAU,en,Sao,@institutoalana,@institutoalana,,Instituto Alana,activist,Focus on children's rights and environment
Instituto Akatu,,PAU,en,Sao,@institutoakatu,@institutoakatu,,Instituto Akatu,activist,Promotes conscious consumption
Rede Nossa São Paulo,,PAU,en,Sao,@nossasaopaulo,not_sure,,Rede Nossa São Paulo,activist,Sustainable city development
Instituto Ethos,,PAU,en,Sao,@institutoethos,@InstitutoEthos,,Instituto Ethos,activist,Corporate social responsibility and sustainability
Observatório do Clima,,PAU,en,Sao,@observatorioclima,@obsclima,,Observatório do Clima,activist,Climate change monitoring and advocacy
Instituto de Energia e Meio Ambiente,,PAU,en,Sao,@iema_energia,@iemaenergia,,IEMA,activist,Energy and environmental policy
Instituto de Pesquisas Ecológicas,,PAU,en,Sao,@ipe_instituto,@ipe_instituto,,IPE,activist,Biodiversity conservation and research
Instituto Terra,,PAU,en,Sao,@institutoterra,@institutoterra,,Instituto Terra,activist,Reforestation and environmental education
Movimento dos Trabalhadores Rurais Sem Terra,,PAU,en,Sao,@mst_oficial,@MST_Oficial,,MST,activist,Land reform and sustainable agriculture
Instituto de Defesa do Consumidor,,PAU,en,Sao,@idecbr,@idec,,IDEC,activist,Consumer rights and sustainability
Instituto de Estudos Avançados da USP,,PAU,en,Sao,@ieausp,not_sure,,IEA USP,activist,Research on sustainability and climate
Instituto de Desenvolvimento Sustentável Mamirauá,,PAU,en,Sao,@mamiraua,@mamiraua,,Mamirauá,activist,Amazon conservation and sustainable development
Instituto de Pesquisa Ambiental da Amazônia,,PAU,en,Sao,@ipam_amazonia,@ipam_amazonia,,IPAM,activist,Amazon research and climate policy
Marina Silva,,PAU,en,Sao,@marinasilva,@MarinaSilva,,Sustainability Network,activist,"Former Minister of Environment, climate advocate"
Carlos Rittl,,PAU,en,Sao,@carlosrittl,@carlosrittl,,Climate Observatory,activist,"Climate policy expert, environmentalist"
Natalie Unterstell,,PAU,en,Sao,@natalieunterstell,@unterstell,,Talanoa,activist,Climate governance specialist
Tasso Azevedo,,PAU,en,Sao,@tassoaz,@tassoaz,,MapBiomas,activist,"Forestry engineer, climate change expert"
Adriana Ramos,,PAU,en,Sao,@adrianaramos,not_sure,,ISA,activist,Indigenous rights and environmental advocate
