name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace East Asia,,CHN,zh,Shanghai,@greenpeaceeastasia,@GreenpeaceEA,,Greenpeace,influencer,Major environmental NGO in Shanghai
Shanghai Roots & Shoots,,CHN,zh,Shanghai,@rootsandshoots_sh,not_sure,,Roots & Shoots,influencer,Youth-led environmental action group
Shanghai Environmental Protection Bureau,,CHN,zh,Shanghai,@shanghai_epb,not_sure,,Shanghai Government,influencer,Local government environmental agency
China Biodiversity Conservation and Green Development Foundation,,CHN,zh,Shanghai,@cbcgdf,@CBCGDF_China,,CBCGDF,influencer,National NGO with Shanghai projects
Shanghai Climate Action Network,,CHN,zh,Shanghai,@shanghai_climate,not_sure,,Local Climate Network,influencer,Promotes climate initiatives in Shanghai
Shanghai International Studies University Green Society,,CHN,zh,Shanghai,@shisu_green,not_sure,,SISU,influencer,University student environmental group
Shanghai Wild Bird Society,,CHN,zh,Shanghai,@shwildbirds,not_sure,,Local Bird Society,influencer,Focuses on bird conservation in Shanghai
Shanghai Green Building Council,,CHN,zh,Shanghai,@shgreenbuilding,not_sure,,Green Building Council,influencer,Promotes sustainable architecture in Shanghai
Friends of Nature Shanghai,,CHN,zh,Shanghai,@fon_shanghai,not_sure,,Friends of Nature,influencer,Local chapter of national environmental NGO
Shanghai Green Drinks,,CHN,zh,Shanghai,@shanghaigreendrinks,not_sure,,Green Drinks,influencer,Hosts sustainability networking events
Shanghai Green Light-Year,,CHN,zh,Shanghai,@greenlightyear_sh,not_sure,,Local Environmental Group,influencer,Focuses on renewable energy advocacy
Shanghai Green Oasis,,CHN,zh,Shanghai,@greenoasis_sh,not_sure,,Local NGO,influencer,Urban greening and community gardens
Shanghai Green Youth,,CHN,zh,Shanghai,@shgreen_youth,not_sure,,Youth Environmental Group,influencer,Engages youth in environmental action
Shanghai Green Future,,CHN,zh,Shanghai,@shgreenfuture,not_sure,,Local NGO,influencer,Promotes sustainable urban development
Shanghai Green Earth,,CHN,zh,Shanghai,@greenearth_sh,not_sure,,Local Environmental Group,influencer,Focuses on waste reduction and recycling
Shanghai Green Action,,CHN,zh,Shanghai,@greenaction_sh,not_sure,,Local NGO,influencer,Advocates for clean air and water
Shanghai Green Community,,CHN,zh,Shanghai,@greencommunity_sh,not_sure,,Local NGO,influencer,Supports community-led environmental projects
Shanghai Green Life,,CHN,zh,Shanghai,@greenlife_sh,not_sure,,Local NGO,influencer,Promotes eco-friendly lifestyles
Shanghai Green Vision,,CHN,zh,Shanghai,@greenvision_sh,not_sure,,Local NGO,influencer,Focuses on environmental education
Shanghai Green Path,,CHN,zh,Shanghai,@greenpath_sh,not_sure,,Local NGO,influencer,Promotes sustainable transportation
