name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Wang Wei,,CHN,zh,Shanghai,@wangwei_journalist,not_sure,,Shanghai Daily,journalist,Covers environmental issues in Shanghai
Li Ming,,CHN,zh,Shanghai,@liming_news,not_sure,,Shanghai News,journalist,Reports on climate change impacts
Zhang Lei,,CHN,zh,Shanghai,@zhanglei_reports,not_sure,,East China Morning Post,journalist,Focuses on geopolitics and international affairs
Chen Yu,,CHN,zh,Shanghai,@chenyu_journalism,not_sure,,Shanghai Observer,journalist,Writes about urban biodiversity
Liu Fang,,CHN,zh,Shanghai,@liufang_climate,not_sure,,Shanghai Green News,journalist,Specializes in climate policy
Zhao Hui,,CHN,zh,Shanghai,@zhaohui_worldnews,not_sure,,Global Times Shanghai,journalist,Covers international peace initiatives
Sun Mei,,CHN,zh,Shanghai,@sunmei_environment,not_sure,,Shanghai Environmental Journal,journalist,Reports on local environmental policies
Gao Lin,,CHN,zh,Shanghai,@gaolin_geo,not_sure,,Shanghai Geopolitical Review,journalist,Analyzes geopolitical trends
Huang Rong,,CHN,zh,Shanghai,@huangrong_nature,not_sure,,Nature Shanghai,journalist,Writes about nature conservation
Xu Jie,,CHN,zh,Shanghai,@xujie_climate,not_sure,,Shanghai Climate News,journalist,Focuses on climate change solutions
Yang Qian,,CHN,zh,Shanghai,@yangqian_peace,not_sure,,Shanghai Peace Journal,journalist,Covers peace and conflict resolution
Zhou Li,,CHN,zh,Shanghai,@zhouli_worldaffairs,not_sure,,Shanghai World Affairs,journalist,Reports on global geopolitical issues
Deng Fei,,CHN,zh,Shanghai,@dengfei_journalist,not_sure,,Shanghai Times,journalist,Covers environmental sustainability
Fang Yuan,,CHN,zh,Shanghai,@fangyuan_climate,not_sure,,Shanghai Climate Review,journalist,Focuses on climate adaptation
Jin Hua,,CHN,zh,Shanghai,@jinhua_nature,not_sure,,Shanghai Nature Journal,journalist,Writes about biodiversity conservation
Qian Li,,CHN,zh,Shanghai,@qianli_geo,not_sure,,Shanghai Geopolitical News,journalist,Analyzes international relations
Tang Wei,,CHN,zh,Shanghai,@tangwei_environment,not_sure,,Shanghai Environmental News,journalist,Reports on environmental protection
Yin Yue,,CHN,zh,Shanghai,@yinyue_climate,not_sure,,Shanghai Climate Journal,journalist,Focuses on climate science
Zheng Hao,,CHN,zh,Shanghai,@zhenghao_peace,not_sure,,Shanghai Peace News,journalist,Covers peacebuilding efforts
Liao Min,,CHN,zh,Shanghai,@liaomin_worldnews,not_sure,,Shanghai World News,journalist,Reports on global affairs
Peng Yu,,CHN,zh,Shanghai,@pengyu_environment,not_sure,,Shanghai Environmental Journal,journalist,Writes about environmental justice
