name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Tim Silverwood,,AUS,en,Sydney,@timsilverwood,@timsilverwood,,Take 3 for the Sea,influencer,Co-founder of Take 3 for the Sea
Laura Wells,,AUS,en,Sydney,@iamlaurawells,@iamlaurawells,,,influencer,Environmental advocate and model
Craig Reucassel,,AUS,en,Sydney,@craigreucassel,@craigreucassel,,War on Waste,influencer,Host of War on Waste
Sarah Wilson,,AUS,en,Sydney,@_sarahwilson_,@_sarahwilson,,,influencer,Author and climate activist
Alex Dyson,,AUS,en,Sydney,@alexdyson,@alexdyson,,,influencer,Radio host and climate advocate
Anna Rose,,AUS,en,Sydney,@annarose,not_sure,,Australian Youth Climate Coalition,influencer,Co-founder of AYCC
Damon Gameau,,AUS,en,Sydney,@damon.gameau,@damongameau,,2040 Film,influencer,Director of 2040 film
Jess Miller,,AUS,en,Sydney,@jessmiller_syd,not_sure,,,influencer,Former Deputy Lord Mayor of Sydney
Paul Gilding,,AUS,en,Sydney,@paulgilding,not_sure,,,influencer,Author and climate strategist
David Pocock,,AUS,en,Sydney,@davidpocock,@pocockdavid,,,influencer,"Former rugby player, environmentalist"
Lucy Siegle,,AUS,en,Sydney,@theseagull,@lucysiegle,,,influencer,Environmental journalist and author
Jon Dee,,AUS,en,Sydney,@jondeetv,@jondeetv,,DoSomething,influencer,Founder of DoSomething
Tara Hunt,,AUS,en,Sydney,@missrogue,@missrogue,,,influencer,Digital strategist and environmental advocate
Tim Flannery,,AUS,en,Sydney,@timflanneryau,not_sure,,Climate Council,influencer,Chief Councillor at Climate Council
Zali Steggall,,AUS,en,Sydney,@zalisteggall,@zalisteggall,,,influencer,Federal MP and climate advocate
Clover Moore,,AUS,en,Sydney,@clovermooresydney,@clovermoore,,City of Sydney,influencer,Lord Mayor of Sydney
Adam Bandt,,AUS,en,Sydney,@adambandt,@AdamBandt,,Australian Greens,influencer,Leader of the Australian Greens
Vanessa Pirotta,,AUS,en,Sydney,@vanessapirotta,not_sure,,,influencer,Marine biologist and science communicator
Tanya Plibersek,,AUS,en,Sydney,@tanya_plibersek,@tanya_plibersek,,,influencer,Federal MP and environmental advocate
Michael Mobbs,,AUS,en,Sydney,@sustainablehouse,not_sure,,,influencer,Sustainability expert and author
Kirsten Banks,,AUS,en,Sydney,@astrokirsten,@AstroKirsten,,,influencer,Astrophysicist and science communicator
Craig Leeson,,AUS,en,Sydney,@craigleeson,@craigleeson,,A Plastic Ocean,influencer,Director of A Plastic Ocean
Celia Pacquola,,AUS,en,Sydney,@celia_pacquola,not_sure,,,influencer,Comedian and environmental advocate
Osher Günsberg,,AUS,en,Sydney,@osher_gunsberg,@oshergunsberg,,,influencer,TV host and mental health advocate
Megan Gale,,AUS,en,Sydney,@megankgale,not_sure,,,influencer,Model and environmental advocate
Tim Winton,,AUS,en,Sydney,@timwintonauthor,not_sure,,,influencer,Author and environmental advocate
Jessica Watson,,AUS,en,Sydney,@jessicawatson_93,not_sure,,,influencer,Sailor and climate advocate
Robyn Davidson,,AUS,en,Sydney,@robyn.davidson,not_sure,,,influencer,Author and environmental advocate
Peter Garrett,,AUS,en,Sydney,@petergarrett,@pgarrett,,,influencer,Musician and environmentalist
Lynne Malcolm,,AUS,en,Sydney,@lynne_malcolm,not_sure,,All in the Mind,influencer,ABC Radio National host
Costa Georgiadis,,AUS,en,Sydney,@costasworld,@costasworld,,Gardening Australia,influencer,Host of Gardening Australia
Alice Zaslavsky,,AUS,en,Sydney,@aliceinframes,@aliceinframes,,,influencer,Food writer and climate advocate
Samuel Johnson,,AUS,en,Sydney,@samueljjohnson78,not_sure,,,influencer,Actor and charity founder
Magda Szubanski,,AUS,en,Sydney,@magda_szubanski,@MagdaSzubanski,,,influencer,Actress and LGBTQ+ advocate
Yassmin Abdel-Magied,,AUS,en,Sydney,@yassmin_a,@yassmin_a,,,influencer,Writer and social advocate
Kumi Taguchi,,AUS,en,Sydney,@kumitaguchi,not_sure,,,influencer,Journalist and TV presenter
Benjamin Law,,AUS,en,Sydney,@mrbenjaminlaw,@mrbenjaminlaw,,,influencer,Writer and broadcaster
Cathy Freeman,,AUS,en,Sydney,@cathyfreeman,not_sure,,,influencer,Olympian and advocate
Jessica Mauboy,,AUS,en,Sydney,@jessicamauboy1,@jessicamauboy,,,influencer,Singer and actress
Miranda Tapsell,,AUS,en,Sydney,@misstap,not_sure,,,influencer,Actress and advocate
Deborah Mailman,,AUS,en,Sydney,@debmailman,not_sure,,,influencer,Actress and advocate
Brooke Boney,,AUS,en,Sydney,@brooke.boney,@boneybrooke,,,influencer,TV presenter and journalist
Nakkiah Lui,,AUS,en,Sydney,@nakkiahlui,not_sure,,,influencer,Writer and comedian
Briggs,,AUS,en,Sydney,@selfiebriggsy,@Briggs,,,influencer,Musician and advocate
Rove McManus,,AUS,en,Sydney,@rovemcmanus,@Rove,,,influencer,TV host and comedian
Hamish Blake,,AUS,en,Sydney,@hamishblakeshotz,@hamishblake,,,influencer,Comedian and TV host
Andy Lee,,AUS,en,Sydney,@andytomlee,@andy_lee,,,influencer,Comedian and TV host
Julia Zemiro,,AUS,en,Sydney,@juliazemiro,@julia_zemiro,,,influencer,TV host and comedian
Charlie Pickering,,AUS,en,Sydney,@charliepick,@charliepick,,,influencer,Comedian and TV host
Leigh Sales,,AUS,en,Sydney,@leigh_sales,@leighsales,,,influencer,Journalist and author
Annabel Crabb,,AUS,en,Sydney,@annabelcrabb,@annabelcrabb,,,influencer,Journalist and author
Waleed Aly,,AUS,en,Sydney,@waleed.aly,not_sure,,,influencer,Journalist and academic
Lisa Wilkinson,,AUS,en,Sydney,@lisa_wilkinson,@Lisa_Wilkinson,,,influencer,TV host and journalist
Carrie Bickmore,,AUS,en,Sydney,@bickmorecarrie,@BickmoreCarrie,,,influencer,TV host and journalist
Hamish Macdonald,,AUS,en,Sydney,@hamishnews,@hamishNews,,,influencer,Journalist and TV host
Jan Fran,,AUS,en,Sydney,@jan__fran,@jan__fran,,,influencer,Journalist and TV host
Marc Fennell,,AUS,en,Sydney,@marcfennell,@marcfennell,,,influencer,Journalist and TV host
Virginia Trioli,,AUS,en,Sydney,@virginia_trioli,@LaTrioli,,,influencer,Journalist and TV host
Michael Rowland,,AUS,en,Sydney,@mjrowland68,@mjrowland68,,,influencer,Journalist and TV host
David Speers,,AUS,en,Sydney,@davidspeers,@David_Speers,,,influencer,Journalist and TV host
Georgie Tunny,,AUS,en,Sydney,@georgie_tunny,@georgie_tunny,,,influencer,Journalist and TV host
Lisa Millar,,AUS,en,Sydney,@lisamillarabc,@LisaMillar,,,influencer,Journalist and TV host
Tony Armstrong,,AUS,en,Sydney,@tonyarmstrong,not_sure,,,influencer,Journalist and TV host
Narelda Jacobs,,AUS,en,Sydney,@nareldajacobs,not_sure,,,influencer,Journalist and TV host
Rachael Leahcar,,AUS,en,Sydney,@rachaelleahcar,not_sure,,,influencer,Singer and advocate
Casey Donovan,,AUS,en,Sydney,@caseydonovan88,not_sure,,,influencer,Singer and advocate
Kate Ceberano,,AUS,en,Sydney,@therealkateceberano,not_sure,,,influencer,Singer and advocate
Jimmy Barnes,,AUS,en,Sydney,@jimmybarnesofficial,@JimmyBarnes,,,influencer,Musician and advocate
Paul Kelly,,AUS,en,Sydney,@paulkellyofficial,@paulkelly,,,influencer,Musician and advocate
Missy Higgins,,AUS,en,Sydney,@missyhigginsmusic,@missyhiggins,,,influencer,Musician and advocate
John Butler,,AUS,en,Sydney,@johnbutlertrio,@JohnButlerTrio,,,influencer,Musician and advocate
Xavier Rudd,,AUS,en,Sydney,@xavierruddofficial,@xavierrudd,,,influencer,Musician and advocate
Kasey Chambers,,AUS,en,Sydney,@kaseychambersmusic,@kaseychambers,,,influencer,Musician and advocate
Jessica Rowe,,AUS,en,Sydney,@jessjrowe,not_sure,,,influencer,TV host and author
Samantha Armytage,,AUS,en,Sydney,@sam_armytage,@sam_armytage,,,influencer,TV host and journalist
Natalie Barr,,AUS,en,Sydney,@natalie_barr7,@natalie_barr,,,influencer,TV host and journalist
David Koch,,AUS,en,Sydney,@kochie_online,@kochie_online,,,influencer,TV host and journalist
Mel Doyle,,AUS,en,Sydney,@melissadoyle7,not_sure,,,influencer,TV host and journalist
Larry Emdur,,AUS,en,Sydney,@larryemdur,not_sure,,,influencer,TV host and journalist
Kylie Gillies,,AUS,en,Sydney,@kyliegillies,not_sure,,,influencer,TV host and journalist
Angela Bishop,,AUS,en,Sydney,@angelabishop10,not_sure,,,influencer,TV host and journalist
Denise Drysdale,,AUS,en,Sydney,@denisedrysdale,not_sure,,,influencer,TV host and comedian
Sarah Harris,,AUS,en,Sydney,@whatsarahsnapped,not_sure,,,influencer,TV host and journalist
Tracy Grimshaw,,AUS,en,Sydney,@tracygrimshaw,not_sure,,,influencer,TV host and journalist
Karl Stefanovic,,AUS,en,Sydney,@karlstefanovic_,not_sure,,,influencer,TV host and journalist
Allison Langdon,,AUS,en,Sydney,@allisonlangdon,not_sure,,,influencer,TV host and journalist
Ben Fordham,,AUS,en,Sydney,@benfordham9,not_sure,,,influencer,Radio host and journalist
Ray Hadley,,AUS,en,Sydney,@rayhadley2gb,not_sure,,,influencer,Radio host and journalist
Alan Jones,,AUS,en,Sydney,@alanjonesaus,not_sure,,,influencer,Radio host and journalist
Deb Knight,,AUS,en,Sydney,@deborah_knight,not_sure,,,influencer,Radio host and journalist
Amanda Keller,,AUS,en,Sydney,@amandarosekeller,not_sure,,,influencer,Radio host and TV presenter
Brendan Jones,,AUS,en,Sydney,@brendanjonesy,not_sure,,,influencer,Radio host and TV presenter
Richard Wilkins,,AUS,en,Sydney,@richardwilkins,not_sure,,,influencer,TV host and journalist
Sylvia Jeffreys,,AUS,en,Sydney,@sylviajeffreys,not_sure,,,influencer,TV host and journalist
Georgie Gardner,,AUS,en,Sydney,@georgiegardner9,not_sure,,,influencer,TV host and journalist
Tom Gleeson,,AUS,en,Sydney,@nonstoptom,not_sure,,,influencer,Comedian and TV host
Wil Anderson,,AUS,en,Sydney,@wilanderson,not_sure,,,influencer,Comedian and TV host
Hugh Riminton,,AUS,en,Sydney,@hughriminton,not_sure,,,influencer,Journalist and TV host
Chris Bath,,AUS,en,Sydney,@chrisbath,not_sure,,,influencer,Journalist and TV host
Jennifer Byrne,,AUS,en,Sydney,@jenniferbyrne,not_sure,,,influencer,Journalist and TV host
