name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Peter Hannam,,AUS,en,Sydney,@p_hannam,@p_hannam,,Sydney Morning Herald,journalist,Covers environment and climate issues
Lisa Cox,,AUS,en,Sydney,@lisacoxnews,@lisacox,,The Guardian Australia,journalist,Writes on environment and biodiversity
Ben Doherty,,AUS,en,Sydney,@bendohertycorro,@bendohertycorro,,The Guardian Australia,journalist,Focuses on geopolitics and international affairs
Michael Slezak,,AUS,en,Sydney,@michaelslezak,@michaelslezak,,ABC News,journalist,Environment reporter for ABC
Kate Doyle,,AUS,en,Sydney,@katemfdoyle,@katemfdoyle,,ABC News,journalist,Covers climate science and policy
Nick O'Malley,,AUS,en,Sydney,@nickomalley,@npomalley,,Sydney Morning Herald,journalist,Writes on climate change and energy
Adam Morton,,AUS,en,Sydney,@adamlmorton,@adamlmorton,,The Guardian Australia,journalist,"Environment editor, covers climate policy"
Laura Chung,,AUS,en,Sydney,@laura_chung,not_sure,,Sydney Morning Herald,journalist,Reports on environmental issues
Graham Readfearn,,AUS,en,Sydney,@readfearn,@readfearn,,The Guardian Australia,journalist,Covers climate change and environment
Calla Wahlquist,,AUS,en,Sydney,@callapilla,@callapilla,,The Guardian Australia,journalist,Writes on environment and indigenous issues
James Massola,,AUS,en,Sydney,@jamesmassola,@jamesmassola,,Sydney Morning Herald,journalist,Covers politics and international affairs
Kelsey Munro,,AUS,en,Sydney,@kelseymunro,@kelseymunro,,ABC News,journalist,Focuses on geopolitics and security
Naaman Zhou,,AUS,en,Sydney,@naamanzhou,@naamanzhou,,The Guardian Australia,journalist,Covers environment and climate
Paul Karp,,AUS,en,Sydney,@paul_karp,@Paul_Karp,,The Guardian Australia,journalist,Writes on politics and climate policy
Anne Davies,,AUS,en,Sydney,@annedavies,not_sure,,The Guardian Australia,journalist,"Investigative journalist, covers environment"
Rick Morton,,AUS,en,Sydney,@rjmorton,@SquigglyRick,,The Saturday Paper,journalist,Writes on social issues and environment
Eryk Bagshaw,,AUS,en,Sydney,@erykbagshaw,@ErykBagshaw,,Sydney Morning Herald,journalist,Covers international affairs and geopolitics
Jacqueline Maley,,AUS,en,Sydney,@jacqueline_maley,@JacquelineMaley,,Sydney Morning Herald,journalist,Writes on politics and social issues
Josh Butler,,AUS,en,Sydney,@joshbutler,@JoshButler,,The Guardian Australia,journalist,Covers politics and climate policy
Christopher Knaus,,AUS,en,Sydney,@knausc,@knausc,,The Guardian Australia,journalist,"Investigative journalist, covers environment"
Helen Davidson,,AUS,en,Sydney,@heldavidson,@heldavidson,,The Guardian Australia,journalist,Writes on indigenous affairs and environment
Michael McGowan,,AUS,en,Sydney,@mmcgowan,@mmcgowan,,The Guardian Australia,journalist,Covers politics and environment
Katharine Murphy,,AUS,en,Sydney,@murpharoo,@murpharoo,,The Guardian Australia,journalist,"Political editor, covers climate policy"
Paul Farrell,,AUS,en,Sydney,@farrellpf,@FarrellPF,,ABC News,journalist,"Investigative journalist, covers environment"
