name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Niloofar Hamedi,,IRN,fa,Tehran,@niloofar_hamedi,not_sure,,Environmental Journalist,activist,Prominent environmental journalist in Tehran
Hossein Ronaghi,,IRN,fa,Tehran,@hosseinronaghi,@HosseinRonaghi,,Human Rights Activist,activist,Advocates for peace and human rights
Sepideh Gholian,,IRN,fa,Tehran,@sepideh_gholian,not_sure,,Social Activist,activist,Focuses on social justice and peace
Parvin Ardalan,,IRN,fa,Tehran,@parvinardalan,not_sure,,Women's Rights Activist,activist,Prominent women's rights advocate
Kaveh Madani,,IRN,fa,Tehran,@kavehmadani,@KavehMadani,,Environmental Scientist,activist,Focuses on water management and climate
Fatemeh Sepehri,,IRN,fa,Tehran,@fatemeh_sepehri,not_sure,,Political Activist,activist,Advocates for democracy and peace
Nasrin Sotoudeh,,IRN,fa,Tehran,@nasrinsotoudeh,not_sure,,Human Rights Lawyer,activist,Prominent human rights lawyer
Mohammad Maleki,,IRN,fa,Tehran,@mohammadmaleki,not_sure,,Environmental Activist,activist,Focuses on urban environmental issues
Shirin Ebadi,,IRN,fa,Tehran,@shirin_ebadi,not_sure,,Nobel Laureate,activist,Advocates for peace and human rights
Arash Sadeghi,,IRN,fa,Tehran,@arashsadeghi,@ArashSadeghi,,Political Activist,activist,Focuses on political reform and peace
Narges Mohammadi,,IRN,fa,Tehran,@nargesmohammadi,not_sure,,Human Rights Activist,activist,Advocates for peace and human rights
Zahra Rahnavard,,IRN,fa,Tehran,@zahra_rahnavard,not_sure,,Political Activist,activist,Focuses on political reform and peace
Bahareh Hedayat,,IRN,fa,Tehran,@bahareh_hedayat,@BaharehHedayat,,Student Activist,activist,Advocates for democracy and peace
Mohammad Nourizad,,IRN,fa,Tehran,@mohammadnourizad,not_sure,,Political Activist,activist,Focuses on political reform and peace
Golrokh Ebrahimi Iraee,,IRN,fa,Tehran,@golrokh_iraee,not_sure,,Human Rights Activist,activist,Advocates for peace and human rights
Reza Khandan,,IRN,fa,Tehran,@rezakhandan,not_sure,,Human Rights Activist,activist,Advocates for peace and human rights
Mojgan Keshavarz,,IRN,fa,Tehran,@mojgankeshavarz,not_sure,,Women's Rights Activist,activist,Focuses on women's rights and peace
