name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Iran Environmentalists Society,,IRN,fa,Tehran,@iran_environmentalists,not_sure,,,other,Prominent environmental NGO in Tehran
Tehran Peace Forum,,IRN,fa,Tehran,@tehranpeaceforum,not_sure,,,other,Hosts peace and conflict resolution events
Green Tehran Initiative,,IRN,fa,Tehran,@greentehran,not_sure,,,other,Focuses on urban sustainability projects
Iranian Geopolitical Society,,IRN,fa,Tehran,@irangeopolitics,not_sure,,,other,Analyzes regional geopolitical issues
Tehran Climate Action,,IRN,fa,Tehran,@tehranclimateaction,not_sure,,,other,Advocates for climate policy changes
Nature Conservation Iran,,IRN,fa,Tehran,@natureconservationiran,not_sure,,,other,Works on biodiversity protection
Iran Peace and Conflict Studies,,IRN,fa,Tehran,@iranpeaceconflict,not_sure,,,other,Researches peace and conflict in Iran
Tehran Environmental Research Center,,IRN,fa,Tehran,@tehranenviroresearch,not_sure,,,other,Conducts environmental impact studies
Iranian Biodiversity Network,,IRN,fa,Tehran,@iranbiodiversity,not_sure,,,other,Promotes biodiversity awareness
Tehran International Relations Institute,,IRN,fa,Tehran,@tehranintlrelations,not_sure,,,other,Focuses on international diplomacy
Iranian Climate Advocates,,IRN,fa,Tehran,@iranclimateadvocates,not_sure,,,other,Campaigns for climate action in Iran
Tehran Peace Builders,,IRN,fa,Tehran,@tehranpeacebuilders,not_sure,,,other,Engages in peace-building activities
Iranian Nature Lovers,,IRN,fa,Tehran,@irannaturelovers,not_sure,,,other,Promotes nature conservation efforts
Tehran Geopolitical Forum,,IRN,fa,Tehran,@tehrangeopoliticalforum,not_sure,,,other,Discusses geopolitical trends
Iranian Environmental Policy Group,,IRN,fa,Tehran,@iranenvpolicy,not_sure,,,other,Advises on environmental policy
Tehran Biodiversity Council,,IRN,fa,Tehran,@tehranbiodiversity,not_sure,,,other,Coordinates biodiversity initiatives
Iranian Peace Coalition,,IRN,fa,Tehran,@iranpeacecoalition,not_sure,,,other,Promotes peace and dialogue
Tehran Climate Network,,IRN,fa,Tehran,@tehranclimatenetwork,not_sure,,,other,Connects climate activists
Iranian Geopolitical Analysis,,IRN,fa,Tehran,@irangeopoliticalanalysis,not_sure,,,other,Provides geopolitical insights
Tehran Nature Conservation Society,,IRN,fa,Tehran,@tehrannatureconservation,not_sure,,,other,Focuses on protecting natural habitats
Iranian Climate Forum,,IRN,fa,Tehran,@iranclimateforum,not_sure,,,other,Hosts climate change discussions
Tehran Peace Initiative,,IRN,fa,Tehran,@tehranpeaceinitiative,not_sure,,,other,Initiates peace projects
Iranian Biodiversity Advocates,,IRN,fa,Tehran,@iranbiodiversityadvocates,not_sure,,,other,Advocates for biodiversity protection
Tehran Geopolitical Insights,,IRN,fa,Tehran,@tehrangeopoliticalinsights,not_sure,,,other,Shares geopolitical knowledge
