name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Ehsan Soltani,,IRN,fa,Tehran,@ehsansoltani_podcast,not_sure,,Climate Talks Iran,podcaster,Hosts climate change podcast in Tehran
Sara Mohammadi,,IRN,fa,Tehran,@saramohammadi_podcast,not_sure,,Peaceful Minds,podcaster,Focuses on peace and conflict resolution
Ali Rezaei,,IRN,fa,Tehran,@alirezaei_geo,not_sure,,Geopolitics Today,podcaster,Covers geopolitics and international affairs
Neda Khosravi,,IRN,fa,Tehran,@nedakhosravi,not_sure,,Nature's Voice,podcaster,Discusses biodiversity and conservation
Reza Farhadi,,IRN,fa,Tehran,@rezafarhadi_podcast,not_sure,,Green Tehran,podcaster,Environmental issues in Tehran
Leila Azadi,,IRN,fa,Tehran,@leilaazadi,not_sure,,Future of Iran,podcaster,Focus on Iran's future and sustainability
Mohammad Karimi,,IRN,fa,Tehran,@mohammadkarimi_podcast,not_sure,,Peace Talks Iran,podcaster,Peace initiatives in Iran
Fatemeh Hosseini,,IRN,fa,Tehran,@fatemehhosseini,not_sure,,Tehran Climate Action,podcaster,Climate action and policy discussions
Hassan Ghasemi,,IRN,fa,Tehran,@hassanghasemi,not_sure,,World Affairs Iran,podcaster,Global affairs and Iran's role
Zahra Jafari,,IRN,fa,Tehran,@zahrajafari,not_sure,,Eco Tehran,podcaster,Ecological issues in Tehran
Mehdi Shariati,,IRN,fa,Tehran,@mehdishariati,not_sure,,Iran Peace Podcast,podcaster,Discusses peace and diplomacy
Parisa Rahimi,,IRN,fa,Tehran,@parisarahimi,not_sure,,Tehran Nature Podcast,podcaster,Nature conservation in Tehran
Amir Hossein,,IRN,fa,Tehran,@amirhossein_podcast,not_sure,,Geopolitical Insights,podcaster,Geopolitical analysis and insights
Shirin Nazari,,IRN,fa,Tehran,@shirinnazari,not_sure,,Peaceful Iran,podcaster,Focus on peace-building efforts
Navid Ahmadi,,IRN,fa,Tehran,@navidahmadi,not_sure,,Climate Conversations,podcaster,Climate change discussions in Iran
Roya Kiani,,IRN,fa,Tehran,@royakiani,not_sure,,Tehran Green Podcast,podcaster,Environmental awareness in Tehran
Saeed Moradi,,IRN,fa,Tehran,@saeedmoradi,not_sure,,Iran's Future,podcaster,Sustainability and future planning
Nima Jalali,,IRN,fa,Tehran,@nimajalali,not_sure,,Peace and Progress,podcaster,Peace and progress in Iran
Yasmin Farzan,,IRN,fa,Tehran,@yasminfarzan,not_sure,,Tehran Talks,podcaster,Covers various Tehran issues
Arash Kamali,,IRN,fa,Tehran,@arashkamali,not_sure,,Global Iran,podcaster,Iran's global role and impact
Elham Sadeghi,,IRN,fa,Tehran,@elhamsadeghi,not_sure,,Nature and Us,podcaster,Human-nature relationship discussions
Kian Ramezani,,IRN,fa,Tehran,@kianramezani,not_sure,,Iranian Geopolitics,podcaster,Geopolitical issues in Iran
Mona Tavakoli,,IRN,fa,Tehran,@monatavakoli,not_sure,,Peaceful Tehran,podcaster,Peace initiatives in Tehran
Reyhaneh Azimi,,IRN,fa,Tehran,@reyhanehazimi,not_sure,,Tehran's Green Future,podcaster,Focus on green initiatives
Omid Karami,,IRN,fa,Tehran,@omidkarami,not_sure,,Iran's Climate Voice,podcaster,Climate change advocacy in Iran
Shahram Nouri,,IRN,fa,Tehran,@shahramnouri,not_sure,,Tehran Peace Podcast,podcaster,Peace and conflict resolution
Niloofar Zand,,IRN,fa,Tehran,@niloofar_zand,not_sure,,Eco Iran,podcaster,Environmental issues in Iran
Babak Yazdani,,IRN,fa,Tehran,@babakyazdani,not_sure,,Iran's Future Podcast,podcaster,Discusses Iran's future challenges
Maryam Khorrami,,IRN,fa,Tehran,@maryamkhorrami,not_sure,,Tehran's Nature,podcaster,Nature and biodiversity in Tehran
Reza Shokri,,IRN,fa,Tehran,@rezashokri,not_sure,,Peaceful Iran Podcast,podcaster,Focus on peace and diplomacy
Afsaneh Jafari,,IRN,fa,Tehran,@afsanehjafari,not_sure,,Tehran's Green Voice,podcaster,Environmental advocacy in Tehran
Hamid Rezaei,,IRN,fa,Tehran,@hamidrezaei,not_sure,,Iran's Geopolitical Podcast,podcaster,Geopolitical discussions in Iran
Simin Mohammadi,,IRN,fa,Tehran,@siminmohammadi,not_sure,,Peace and Nature,podcaster,Peace and environmental issues
Farhad Khosravi,,IRN,fa,Tehran,@farhadkhosravi,not_sure,,Tehran's Future,podcaster,Future planning and sustainability
Zeinab Rahmani,,IRN,fa,Tehran,@zeinabrahmani,not_sure,,Iran's Nature Podcast,podcaster,Nature conservation in Iran
Arman Ahmadi,,IRN,fa,Tehran,@armanahmadi,not_sure,,Tehran Geopolitics,podcaster,Geopolitical issues in Tehran
Shabnam Sadeghi,,IRN,fa,Tehran,@shabnamsadeghi,not_sure,,Peaceful Tehran Podcast,podcaster,Focus on peace initiatives
Naser Gholami,,IRN,fa,Tehran,@nasergolami,not_sure,,Tehran's Climate Voice,podcaster,Climate change advocacy in Tehran
Ladan Hosseini,,IRN,fa,Tehran,@ladanhosseini,not_sure,,Iran's Peace Podcast,podcaster,Peace and conflict resolution
Soroush Tavakoli,,IRN,fa,Tehran,@soroushtavakoli,not_sure,,Tehran's Green Podcast,podcaster,Environmental issues in Tehran
Mitra Azimi,,IRN,fa,Tehran,@mitraazimi,not_sure,,Iran's Future Voice,podcaster,Discusses Iran's future challenges
Kaveh Ramezani,,IRN,fa,Tehran,@kavehramezani,not_sure,,Tehran's Geopolitical Insights,podcaster,Geopolitical analysis in Tehran
Ramin Karimi,,IRN,fa,Tehran,@raminkarimi,not_sure,,Peace and Nature Podcast,podcaster,Focus on peace and environment
Shirin Ghasemi,,IRN,fa,Tehran,@shiringhasemi,not_sure,,Tehran's Nature Voice,podcaster,Nature conservation in Tehran
Ali Akbari,,IRN,fa,Tehran,@aliakbari,not_sure,,Iran's Geopolitical Voice,podcaster,Geopolitical discussions in Iran
Neda Rahimi,,IRN,fa,Tehran,@nedarahimi,not_sure,,Peaceful Iran Voice,podcaster,Focus on peace initiatives
Farzaneh Yazdani,,IRN,fa,Tehran,@farzaneyazdani,not_sure,,Tehran's Green Future,podcaster,Environmental advocacy in Tehran
Hossein Shariati,,IRN,fa,Tehran,@hosseinshariati,not_sure,,Iran's Climate Podcast,podcaster,Climate change discussions in Iran
Zahra Karimi,,IRN,fa,Tehran,@zahrakarimi,not_sure,,Tehran's Peace Podcast,podcaster,Peace and conflict resolution
Mohammad Rezaei,,IRN,fa,Tehran,@mohammadrezaei,not_sure,,Tehran's Geopolitical Voice,podcaster,Geopolitical issues in Tehran
Arezoo Sadeghi,,IRN,fa,Tehran,@arezoosadeghi,not_sure,,Peaceful Tehran Voice,podcaster,Focus on peace initiatives
Parviz Ghasemi,,IRN,fa,Tehran,@parvizghasemi,not_sure,,Tehran's Nature Podcast,podcaster,Nature conservation in Tehran
Shahla Mohammadi,,IRN,fa,Tehran,@shahlamohammadi,not_sure,,Iran's Future Podcast,podcaster,Discusses Iran's future challenges
Kianoush Ahmadi,,IRN,fa,Tehran,@kianoushahmadi,not_sure,,Tehran's Geopolitical Podcast,podcaster,Geopolitical analysis in Tehran
Narges Tavakoli,,IRN,fa,Tehran,@nargestavakoli,not_sure,,Peace and Nature Podcast,podcaster,Focus on peace and environment
Sahar Hosseini,,IRN,fa,Tehran,@saharhosseini,not_sure,,Tehran's Nature Voice,podcaster,Nature conservation in Tehran
Arash Yazdani,,IRN,fa,Tehran,@arashyazdani,not_sure,,Iran's Geopolitical Voice,podcaster,Geopolitical discussions in Iran
Mina Rahmani,,IRN,fa,Tehran,@minarahmani,not_sure,,Peaceful Iran Voice,podcaster,Focus on peace initiatives
Sina Karimi,,IRN,fa,Tehran,@sinakarimi,not_sure,,Tehran's Green Future,podcaster,Environmental advocacy in Tehran
Yasaman Shariati,,IRN,fa,Tehran,@yasamanshariati,not_sure,,Iran's Climate Podcast,podcaster,Climate change discussions in Iran
Roya Akbari,,IRN,fa,Tehran,@royaakbari,not_sure,,Tehran's Peace Podcast,podcaster,Peace and conflict resolution
Saeed Rezaei,,IRN,fa,Tehran,@saeedrezaei,not_sure,,Tehran's Geopolitical Voice,podcaster,Geopolitical issues in Tehran
Niloofar Sadeghi,,IRN,fa,Tehran,@niloofarsadeghi,not_sure,,Peaceful Tehran Voice,podcaster,Focus on peace initiatives
Babak Mohammadi,,IRN,fa,Tehran,@babakmohammadi,not_sure,,Tehran's Nature Podcast,podcaster,Nature conservation in Tehran
Shirin Yazdani,,IRN,fa,Tehran,@shirinyazdani,not_sure,,Iran's Future Podcast,podcaster,Discusses Iran's future challenges
Kaveh Ahmadi,,IRN,fa,Tehran,@kavehahmadi,not_sure,,Tehran's Geopolitical Podcast,podcaster,Geopolitical analysis in Tehran
Afsaneh Tavakoli,,IRN,fa,Tehran,@afsanehtavakoli,not_sure,,Peace and Nature Podcast,podcaster,Focus on peace and environment
Naser Hosseini,,IRN,fa,Tehran,@naserhosseini,not_sure,,Tehran's Nature Voice,podcaster,Nature conservation in Tehran
Zahra Ghasemi,,IRN,fa,Tehran,@zahraghasemi,not_sure,,Iran's Geopolitical Voice,podcaster,Geopolitical discussions in Iran
Mohammad Tavakoli,,IRN,fa,Tehran,@mohammadtavakoli,not_sure,,Peaceful Iran Voice,podcaster,Focus on peace initiatives
Simin Karimi,,IRN,fa,Tehran,@siminkarimi,not_sure,,Tehran's Green Future,podcaster,Environmental advocacy in Tehran
Farhad Shariati,,IRN,fa,Tehran,@farhadshariati,not_sure,,Iran's Climate Podcast,podcaster,Climate change discussions in Iran
Shabnam Akbari,,IRN,fa,Tehran,@shabnamakbari,not_sure,,Tehran's Peace Podcast,podcaster,Peace and conflict resolution
Arman Rezaei,,IRN,fa,Tehran,@armanrezaei,not_sure,,Tehran's Geopolitical Voice,podcaster,Geopolitical issues in Tehran
Neda Sadeghi,,IRN,fa,Tehran,@nedasadeghi,not_sure,,Peaceful Tehran Voice,podcaster,Focus on peace initiatives
Soroush Mohammadi,,IRN,fa,Tehran,@soroushmohammadi,not_sure,,Tehran's Nature Podcast,podcaster,Nature conservation in Tehran
Yasmin Yazdani,,IRN,fa,Tehran,@yasminyazdani,not_sure,,Iran's Future Podcast,podcaster,Discusses Iran's future challenges
Reza Ahmadi,,IRN,fa,Tehran,@rezaahmadi,not_sure,,Tehran's Geopolitical Podcast,podcaster,Geopolitical analysis in Tehran
Roya Hosseini,,IRN,fa,Tehran,@royahosseini,not_sure,,Tehran's Nature Voice,podcaster,Nature conservation in Tehran
Ali Ghasemi,,IRN,fa,Tehran,@alighasemi,not_sure,,Iran's Geopolitical Voice,podcaster,Geopolitical discussions in Iran
Niloofar Tavakoli,,IRN,fa,Tehran,@niloofartavakoli,not_sure,,Peaceful Iran Voice,podcaster,Focus on peace initiatives
Babak Karimi,,IRN,fa,Tehran,@babakkarimi,not_sure,,Tehran's Green Future,podcaster,Environmental advocacy in Tehran
Shirin Shariati,,IRN,fa,Tehran,@shirinshariati,not_sure,,Iran's Climate Podcast,podcaster,Climate change discussions in Iran
Kian Akbari,,IRN,fa,Tehran,@kianakbari,not_sure,,Tehran's Peace Podcast,podcaster,Peace and conflict resolution
Ali Rezaei,,IRN,fa,Tehran,@climatechangeiran,not_sure,,Climate Change Iran Podcast,podcaster,Hosts top climate podcast in Iran
Sara Mohammadi,,IRN,fa,Tehran,@peacepodcast_iran,not_sure,,Peace Podcast Iran,podcaster,Focuses on peace and conflict resolution
Mehdi Hosseini,,IRN,fa,Tehran,@naturetalks_tehran,not_sure,,Nature Talks Tehran,podcaster,Discusses biodiversity and conservation
Fatemeh Karimi,,IRN,fa,Tehran,@geopolitics_podcast_ir,not_sure,,Geopolitics Podcast Iran,podcaster,Covers international affairs and geopolitics
Reza Farhadi,,IRN,fa,Tehran,@greenfuture_iran,not_sure,,Green Future Iran,podcaster,Environmental protection and sustainability focus
Neda Shafiei,,IRN,fa,Tehran,@iran_peace_wave,not_sure,,Iran Peace Wave,podcaster,Promotes peace initiatives in Iran
Hossein Ahmadi,,IRN,fa,Tehran,@tehranclimatepod,not_sure,,Tehran Climate Pod,podcaster,Climate change discussions in Tehran
Leila Sadat,,IRN,fa,Tehran,@biodiversity_iran,not_sure,,Biodiversity Iran,podcaster,Focus on biodiversity and nature conservation
Mohammad Jafari,,IRN,fa,Tehran,@iran_geopolitics,not_sure,,Iran Geopolitics Podcast,podcaster,Geopolitical analysis and discussions
Zahra Kiani,,IRN,fa,Tehran,@peaceandnature_iran,not_sure,,Peace and Nature Iran,podcaster,Integrates peace and environmental topics
Green Tehran Podcast,,IRN,fa,Tehran,@greentehranpodcast,not_sure,,Green Tehran Podcast,podcaster,Focuses on Tehran's environmental issues
Climate Voices Iran,,IRN,fa,Tehran,@climatevoicesiran,not_sure,,Climate Voices Iran,podcaster,Discusses climate change impacts in Iran
Peaceful Tehran,,IRN,fa,Tehran,@peacefultehran,not_sure,,Peaceful Tehran,podcaster,Covers peace initiatives in Tehran
Tehran Geopolitics,,IRN,fa,Tehran,@tehrangeopolitics,not_sure,,Tehran Geopolitics,podcaster,Analyzes geopolitical issues affecting Tehran
Nature Talks Iran,,IRN,fa,Tehran,@naturetalksiran,not_sure,,Nature Talks Iran,podcaster,Explores biodiversity and nature conservation
Eco Tehran,,IRN,fa,Tehran,@ecotehran,not_sure,,Eco Tehran,podcaster,Focuses on ecological sustainability in Tehran
