name,email,country,language,city,instagram,twitter,phone,organization,type,notes
David Suzuki,,CAN,en,Vancouver,@davidsuzukifdn,@DavidSuzukiFDN,,The David Suzuki Podcast,podcaster,Hosts top climate podcast
Laura Lynch,,CAN,en,Vancouver,@lauralynchcbc,not_sure,,What on Earth,podcaster,Hosts CBC climate podcast
Kai Nagata,,CAN,en,Vancouver,@kainagata,@kainagata,,Dogwood BC,podcaster,Focuses on environmental issues
Arno Kopecky,,CAN,en,Vancouver,@arnokopecky,not_sure,,The Narwhal,podcaster,Covers environmental and geopolitical topics
Emma Gilchrist,,CAN,en,Vancouver,@emmagilchrist,not_sure,,The Narwhal,podcaster,Environmental journalism and podcasting
Tzeporah Berman,,CAN,en,Vancouver,@tzeporah,@Tzeporah,,Stand.earth,podcaster,Climate and environmental advocacy
Megan Leslie,,CAN,en,Vancouver,@megleslie,not_sure,,WWF Canada,podcaster,Focus on biodiversity and conservation
J.B. MacKinnon,,CAN,en,Vancouver,@jbmackinnon,not_sure,,Author and Podcaster,podcaster,Covers sustainability and environment
Andrea Reimer,,CAN,en,Vancouver,@andreareimer,@andreareimer,,Former Vancouver City Councillor,podcaster,Urban sustainability and policy
Kai Cheng Thom,,CAN,en,Vancouver,@kaichengthom,not_sure,,Writer and Podcaster,podcaster,Social justice and environmental issues
Seth Klein,,CAN,en,Vancouver,@sethdklein,@SethDKlein,,Climate Emergency Unit,podcaster,Climate policy and action
Anjali Appadurai,,CAN,en,Vancouver,@anjaliapp,not_sure,,Climate Justice Advocate,podcaster,Climate justice and activism
Rhiannon Bennett,,CAN,en,Vancouver,@rhiannonbennett,not_sure,,Indigenous Climate Action,podcaster,Indigenous perspectives on climate
Ben West,,CAN,en,Vancouver,@benwestca,not_sure,,Climate and Energy Solutions,podcaster,Focus on climate solutions
Alyssa Greenberg,,CAN,en,Vancouver,@alyssagreenberg,not_sure,,Environmental Podcaster,podcaster,Covers local environmental issues
Kevin Huang,,CAN,en,Vancouver,@kevinjhuang,not_sure,,Hua Foundation,podcaster,Cultural and environmental advocacy
Merran Smith,,CAN,en,Vancouver,@merransmith,not_sure,,Clean Energy Canada,podcaster,Clean energy and climate policy
Shannon Daub,,CAN,en,Vancouver,@shannon_daub,not_sure,,Canadian Centre for Policy Alternatives,podcaster,Policy and environmental issues
Lindsay Coulter,,CAN,en,Vancouver,@queenofgreen,not_sure,,David Suzuki Foundation,podcaster,Sustainability and green living
Megan Leslie,,CAN,en,Vancouver,@meganleslie,not_sure,,WWF Canada,podcaster,Environmental advocacy
Tzeporah Berman,,CAN,en,Vancouver,@tzeporahberman,@Tzeporah,,Stand.earth,podcaster,Climate campaigner
Mark Jaccard,,CAN,en,Vancouver,@markjaccard,not_sure,,Simon Fraser University,podcaster,Energy economist and author
Zoe Craig-Sparrow,,CAN,en,Vancouver,@zoecraigsparrow,not_sure,,Justice for Girls,podcaster,Advocates for indigenous rights
Jody Vance,,CAN,en,Vancouver,@jodyvance,@jodyvance,,UnSpun Podcast,podcaster,Covers politics and society
Briony Penn,,CAN,en,Vancouver,@brionypenn,not_sure,,Environmental Educator,podcaster,Focuses on nature conservation
Melina Laboucan-Massimo,,CAN,en,Vancouver,@melina_miyowapan,@Melina_MLM,,Indigenous Climate Action,podcaster,Focuses on indigenous climate issues
Naomi Klein,,CAN,en,Vancouver,@naomiklein,@NaomiAKlein,,Author and Activist,podcaster,Covers climate and politics
Severn Cullis-Suzuki,,CAN,en,Vancouver,@severncullissuzuki,not_sure,,Environmental Activist,podcaster,Focuses on sustainability and youth activism
Laura Lynch,,CAN,en,Vancouver,@cbcwhatonearth,not_sure,,What on Earth,podcaster,CBC climate change podcast
Kai Nagata,,CAN,en,Vancouver,@dogwoodbc,@kainagata,,Dogwood BC,podcaster,Focus on environmental issues
Jesse Brown,,CAN,en,Vancouver,@canadaland,@JesseBrown,,CANADALAND,podcaster,Covers Canadian politics and media
Megan Leslie,,CAN,en,Vancouver,@wwfcanada,not_sure,,WWF Canada,podcaster,Hosts nature conservation podcast
Mark Leiren-Young,,CAN,en,Vancouver,@leirenyoung,@leirenyoung,,The Green Interview,podcaster,Interviews on environmental topics
Stephen Hui,,CAN,en,Vancouver,@stephenhui,not_sure,,Author and Podcaster,podcaster,Covers hiking and nature topics
Emma Gilchrist,,CAN,en,Vancouver,@thenarwhalca,not_sure,,The Narwhal,podcaster,Environmental journalism podcast
Kai Chan,,CAN,en,Vancouver,@kaichanubc,not_sure,,UBC Professor,podcaster,Focus on biodiversity and conservation
Paul Kershaw,,CAN,en,Vancouver,@gen_squeeze,not_sure,,Generation Squeeze,podcaster,Focus on generational equity and climate
Ben West,,CAN,en,Vancouver,@benwestdotca,not_sure,,Environmental Activist,podcaster,Focus on climate action
Caitlyn Vernon,,CAN,en,Vancouver,@caitlynvernon,not_sure,,Sierra Club BC,podcaster,Environmental advocacy and education
Jude Isabella,,CAN,en,Vancouver,@hakaiinstitute,not_sure,,Hakai Magazine,podcaster,Focus on coastal science and societies
Megan Adams,,CAN,en,Vancouver,@meganadams,not_sure,,Raincoast Conservation Foundation,podcaster,Discusses biodiversity and conservation
Jesse Brown,,CAN,en,Vancouver,@jessebrown,@JesseBrown,,CANADALAND,podcaster,Covers Canadian politics and media
Andrew Weaver,,CAN,en,Vancouver,@ajweaver,not_sure,,Climate Scientist and Podcaster,podcaster,Discusses climate science
Elizabeth May,,CAN,en,Vancouver,@elizabethmaymp,@ElizabethMay,,Green Party of Canada,podcaster,Covers environmental policy
Ian Hanomansing,,CAN,en,Vancouver,@ianhanomansing,@cbcian,,CBC News,podcaster,Covers Canadian and global issues
Nikki Sanchez,,CAN,en,Vancouver,@nikkilaes,not_sure,,Decolonize Together,podcaster,Focuses on decolonization and environment
Ziya Tong,,CAN,en,Vancouver,@ziyatong,@ziyatong,,Author and Podcaster,podcaster,Covers science and environment
Kevin Vallely,,CAN,en,Vancouver,@kevinvallely,not_sure,,Adventurer and Podcaster,podcaster,Discusses exploration and climate
Alyssa McDonald,,CAN,en,Vancouver,@alyssamcdonald,not_sure,,Journalist and Podcaster,podcaster,Covers environmental issues
Andrew Nikiforuk,,CAN,en,Vancouver,@andrewnikiforuk,not_sure,,Journalist and Podcaster,podcaster,Discusses energy and environment
Kaiya Gamble,,CAN,en,Vancouver,@kaiyagamble,not_sure,,Youth Activist and Podcaster,podcaster,Focuses on youth climate action
Alyssa Green,,CAN,en,Vancouver,@alyssagreen,not_sure,,Environmental Educator,podcaster,Covers environmental education
